Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.539584815346
CUB000	1	0.568188662053
CUB000	2	0.561277138463
CUB000	3	0.506575452054
CUB000	5	0.493363835278
CUB000	6	0.507126889112
CUB000	7	0.576220926791
CUB000	8	0.494494033989
CUB003	0.5	0.521659687139
CUB003	1	0.568799458575
CUB003	2	0.594901005623
CUB003	3	0.590758979206
CUB003	4	0.531587671829
CUB003	5	0.669239308438
CUB003	6	0.635955675839
CUB003	7	0.640497989011
CUB003	8	0.631222633107
CUB004	2	0.511447299215
CUB004	3	0.48941172761
CUB004	4	0.507506276121
CUB004	5	0.476268332252
CUB004	6	0.512491470868
CUB004	7	0.495011849983
CUB004	8	0.469078786767
CUB007	0.5	0.626489382526
CUB007	1	0.579714425673
CUB007	3	0.526561592272
CUB007	4	0.614952351345
CUB007	5	0.619949914553
CUB007	6	0.527194597272
CUB007	7	0.546686640081
CUB007	8	0.505733564855
CUB008	0.5	0.604417564223
CUB008	1	0.573733082256
CUB008	2	0.5101155972
CUB008	3	0.542483948347
CUB008	4	0.577135761865
CUB008	5	0.580956590503
CUB008	6	0.605612787353
CUB008	7	0.550306492782
CUB008	8	0.606286700765
CUB009	0.5	0.528268552285
CUB009	1	0.559353553749
CUB009	2	0.661054394107
CUB009	3	0.634021266633
CUB009	4	0.607488555273
CUB009	5	0.572078198761
CUB009	6	0.561025329747
CUB009	8	0.548996229611
CUB010	0.5	0.621667687999
CUB010	1	0.647014269602
CUB010	2	0.66403542447
CUB010	3	0.57014929837
CUB010	4	0.578750336296
CUB010	5	0.559340856955
CUB010	6	0.606930480081
CUB010	7	0.609744072115
CUB010	8	0.588591458124
CUB011	2	0.602460179555
CUB011	3	0.660259423
CUB011	5	0.56989604251
CUB011	6	0.580802525725
CUB011	7	0.586860301823
CUB011	8	0.609529367334
CUB012	0.5	0.570349674973
CUB012	1	0.560896835051
CUB012	2	0.564701455734
CUB012	3	0.560928538332
CUB012	4	0.635836938494
CUB012	5	0.619776193472
CUB012	6	0.53936468739
CUB012	7	0.601418388615
CUB012	8	0.60368970786
CUB015	1	0.644133059234
CUB015	2	0.626087444497
CUB015	3	0.615685979901
CUB015	4	0.63124702499
CUB015	5	0.643826508345
CUB015	6	0.589601347086
CUB015	7	0.563515745847
CUB015	8	0.602686917922
CUB016	0.5	0.722413672671
CUB016	1	0.632129526475
CUB016	2	0.590516333803
CUB016	3	0.608084480089
CUB016	5	0.61163318193
CUB016	7	0.661820935764
CUB016	8	0.669550650122
CUB017	1	0.586659006224
CUB017	2	0.577945268882
CUB017	3	0.541142483583
CUB017	4	0.533253808316
CUB017	5	0.534374417674
CUB017	6	0.584906871926
CUB017	7	0.57162036706
CUB017	8	0.511675833481
CUB019	1	0.576100572408
CUB019	2	0.528732874754
CUB019	3	0.549932888382
CUB019	4	0.533317894482
CUB019	5	0.549590523548
CUB019	6	0.6393629728
CUB019	7	0.589072525717
CUB019	8	0.594550465828
CUB026	1	0.705486795432
CUB026	2	0.574058769792
CUB026	3	0.521798721672
CUB026	4	0.566553632299
CUB026	5	0.534581796398
CUB026	7	0.631908955485
CUB026	8	0.557814661989
CUB027	1	0.578819394888
CUB027	2	0.546697683645
CUB027	3	0.506212967444
CUB027	4	0.513143382668
CUB027	5	0.534665225606
CUB027	6	0.595778025068
CUB027	7	0.603737707624
CUB027	8	0.579568054409
CUB028	1	0.688264148286
CUB028	2	0.567801938576
CUB028	4	0.557947078692
CUB028	5	0.600606612505
CUB028	6	0.57279755609
CUB028	7	0.599510692468
CUB028	8	0.539461829817
CUB029	1	0.640615013406
CUB029	2	0.602136315621
CUB029	3	0.58693364189
CUB029	5	0.581562588519
CUB029	6	0.556709753266
CUB029	8	0.600690095195
CUB032	1	0.678963281462
CUB032	2	0.577327834306
CUB032	3	0.571898450466
CUB032	4	0.580335832773
CUB032	5	0.555838477563
CUB032	6	0.552796765058
CUB032	8	0.604102190878
CUB033	0.5	0.554414559998
CUB033	1	0.514407918264
CUB033	2	0.533245207165
CUB033	3	0.4247961368
CUB033	4	0.531819566654
CUB033	5	0.522002569316
CUB033	6	0.583548068944
CUB033	7	0.606425035168
CUB033	8	0.57309314339
CUB036	0.5	0.636135623944
CUB036	1	0.588915243327
CUB036	2	0.629762478347
CUB036	3	0.597657813436
CUB036	4	0.584316829822
CUB036	5	0.597230931365
CUB036	6	0.594325260312
CUB037	0.5	0.535722302019
CUB037	1	0.568207380379
CUB037	2	0.590171252456
CUB037	3	0.56769655926
CUB037	4	0.54322922287
CUB037	5	0.580702220296
CUB037	6	0.573856134541
CUB037	8	0.568437073514
CUB038	0.5	0.561029901357
CUB038	1	0.541969802445
CUB038	2	0.553036894961
CUB038	3	0.568578301831
CUB038	5	0.552479031064
CUB038	7	0.736246386499
CUB038	8	0.692708859639
CUB040	0.5	0.560392136527
CUB040	1	0.560013410777
CUB040	2	0.572781070813
CUB040	3	0.575894886182
CUB040	4	0.522151240866
CUB040	5	0.650228346332
CUB040	6	0.650626137316
CUB040	7	0.593854223988
CUB040	8	0.616062510038
CUB042	0.5	0.526434920314
CUB042	2	0.553463956522
CUB042	3	0.543399757444
CUB042	4	0.605255187242
CUB042	5	0.546418489493
CUB042	6	0.496990650865
CUB042	7	0.542636280259
CUB042	8	0.467752143711
CUB044	0.5	0.570703653024
CUB044	1	0.598197653326
CUB044	2	0.528076701536
CUB044	3	0.576287959286
CUB044	4	0.521619890613
CUB044	5	0.525130611088
CUB044	6	0.668200122469
CUB044	7	0.633220966934
CUB044	8	0.627098078033
CUB048	0.5	0.539914885068
CUB048	1	0.498648748749
CUB048	2	0.501065429598
CUB048	3	0.502469217528
CUB048	4	0.535089881494
CUB048	5	0.540728528425
CUB048	6	0.520212537423
CUB048	7	0.500400498303
CUB048	8	0.577967923908
CUB049	0.5	0.614324533544
CUB049	1	0.593385753502
CUB049	2	0.60919086303
CUB049	3	0.595678859186
CUB049	4	0.564909108697
CUB049	6	0.556451661365
CUB050	1	0.56624610946
CUB050	2	0.513407556398
CUB050	3	0.514366982843
CUB050	4	0.483458479722
CUB050	5	0.473177831702
CUB050	6	0.499464319616
CUB050	7	0.560276447043
CUB050	8	0.51912646846
CUB051	0.5	0.587334521881
CUB051	1	0.5456302857
CUB051	2	0.62856917994
CUB051	5	0.648548024623
CUB051	7	0.571977890513
CUB051	8	0.623314760848
CUB052	0.5	0.510268449329
CUB052	1	0.47290821589
CUB052	2	0.46594825579
CUB052	3	0.500970737465
CUB052	4	0.523743654454
CUB052	5	0.533480043244
CUB052	6	0.518969066772
CUB052	7	0.481792182401
CUB052	8	0.504154920008
CUB053	0.5	0.595475950808
CUB053	1	0.536095448368
CUB053	2	0.475812653966
CUB053	3	0.514036188419
CUB053	4	0.618719635592
CUB053	5	0.525812988966
CUB053	6	0.606719887217
CUB053	7	0.578418333964
CUB053	8	0.736743111953
CUB056	1	0.593935801642
CUB056	2	0.5791309661
CUB056	3	0.561624487804
CUB056	4	0.553080189945
CUB056	5	0.56477710764
CUB056	6	0.578518885595
CUB056	8	0.593070132681
CUB061	0.5	0.540972127772
CUB061	2	0.539237390233
CUB061	4	0.54172983516
CUB061	5	0.571141414243
CUB061	7	0.537857622708
CUB061	8	0.532350769904
NAU101	1	0.489243722347
NAU101	2	0.52856976736
NAU101	3	0.508793083488
NAU101	4	0.516120194765
NAU101	5	0.469611647263
NAU101	6	0.465983513735
NAU101	8	0.505728719811
NAU101	9	0.507347024938
NAU102	1	0.656866837143
NAU102	2	0.555889276128
NAU102	3	0.520331950051
NAU102	4	0.549560215809
NAU102	5	0.603434449245
NAU102	9	0.577436079221
NAU105	1	0.599432510123
NAU105	2	0.536003280671
NAU105	3	0.498748862602
NAU105	5	0.478741441148
NAU105	6	0.534455097328
NAU105	8	0.509021894427
NAU106	1	0.612402667959
NAU106	3	0.6128994366
NAU106	4	0.535709360578
NAU106	5	0.518437064654
NAU106	6	0.524848808791
NAU106	8	0.591916304341
NAU106	9	0.570440019772
NAU107	1	0.698427920958
NAU107	2	0.598040050245
NAU107	3	0.539581959943
NAU107	4	0.551964009517
NAU107	5	0.527741525117
NAU107	6	0.499718840578
NAU107	8	0.589897075538
NAU107	9	0.538777173554
NAU108	1	0.581525454968
NAU108	2	0.580383098213
NAU108	3	0.597536136294
NAU108	4	0.816182107554
NAU108	5	0.794815257323
NAU108	6	0.670429979178
NAU109	1	0.562796653461
NAU109	2	0.594685135414
NAU109	3	0.57952323437
NAU109	4	0.539931587892
NAU109	5	0.539014616152
NAU109	6	0.548315509381
NAU109	8	0.559951177001
NAU109	9	0.532393377825
NAU110	1	0.567413171003
NAU110	2	0.52850674435
NAU110	3	0.483522550272
NAU110	4	0.502643010043
NAU110	5	0.527903172631
NAU110	6	0.498544572318
NAU110	8	0.55923768398
NAU110	9	0.550974125348
NAU114	1	0.605838142112
NAU114	2	0.618886626836
NAU114	3	0.582611714798
NAU114	4	0.565928801619
NAU114	5	0.546490798707
NAU114	6	0.586363634237
NAU114	8	0.620562250481
NAU117	1	0.587358846281
NAU117	2	0.528530678914
NAU117	3	0.620497376673
NAU117	6	0.548101880255
NAU117	7	0.572064015586
NAU117	8	0.598418839918
NAU117	9	0.586943187983
NAU121	1	0.589731900974
NAU121	2	0.621575355744
NAU121	3	0.635125314992
NAU121	4	0.63689999917
NAU121	5	0.623494329902
NAU121	6	0.60766354761
NAU121	8	0.670377661761
NAU121	9	0.61911809647
NAU123	1	0.569550534514
NAU123	2	0.563122795298
NAU123	3	0.559550466785
NAU123	4	0.547300416111
NAU123	5	0.559843131468
NAU123	6	0.558312143157
NAU123	8	0.577363069671
NAU123	9	0.568269202509
NAU124	1	0.627525324736
NAU124	2	0.626300699895
NAU124	3	0.615337522456
NAU124	4	0.564192894894
NAU124	5	0.604292130957
NAU124	6	0.64536635898
NAU124	8	0.596730285425
NAU124	9	0.590218922177
NAU129	1	0.593842925851
NAU129	2	0.613975135008
NAU129	3	0.650176107903
NAU129	4	0.621775380168
NAU129	5	0.630066362195
NAU129	6	0.602692527279
NAU129	8	0.619281672807
NAU129	9	0.572768312679
NAU130	2	0.590948347552
NAU130	3	0.608676924328
