Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.373684162903
CUB000	1	0.418729562261
CUB000	2	0.460443079793
CUB000	3	0.319750785382
CUB000	4	0.370011139884
CUB000	5	0.372093710211
CUB000	6	0.402785158703
CUB000	7	0.325850587904
CUB000	8	0.301123579487
CUB003	0.5	0.340498670378
CUB003	1	0.428715182991
CUB003	2	0.356328597165
CUB003	3	0.342445419638
CUB003	4	0.283789127941
CUB003	5	0.368322989002
CUB003	6	0.37592838704
CUB003	7	0.309971830165
CUB003	8	0.288055320703
CUB004	0.5	0.400084563805
CUB004	1	0.302436251966
CUB004	2	0.380519435918
CUB004	3	0.360703239061
CUB004	4	0.398554250721
CUB004	5	0.329976554495
CUB004	6	0.350265817644
CUB004	7	0.389041567071
CUB004	8	0.340539833771
CUB007	0.5	0.26846432079
CUB007	1	0.354985246064
CUB007	2	0.496580971097
CUB007	3	0.458489835582
CUB007	4	0.401551078451
CUB007	5	0.448935324593
CUB007	7	0.402815275315
CUB007	8	0.293696814868
CUB009	0.5	0.353496451635
CUB009	1	0.40150192247
CUB009	2	0.40720298655
CUB009	3	0.400461513373
CUB009	4	0.37974366042
CUB009	5	0.390922984439
CUB009	6	0.371631086533
CUB009	7	0.379000818813
CUB009	8	0.409415903005
CUB010	0.5	0.364497267705
CUB010	1	0.351795109804
CUB010	2	0.357498448106
CUB010	3	0.328045352665
CUB010	4	0.377286964047
CUB010	5	0.26751780634
CUB010	6	0.286425073505
CUB010	7	0.333037474073
CUB010	8	0.308330154088
CUB011	1	0.319835636246
CUB011	2	0.364958024595
CUB011	3	0.34799334581
CUB011	5	0.380087374259
CUB011	6	0.285023002608
CUB011	7	0.388233417235
CUB011	8	0.42096029635
CUB012	0.5	0.244388566429
CUB012	1	0.341074791114
CUB012	2	0.297687525313
CUB012	3	0.242218294463
CUB012	4	0.404074627957
CUB012	5	0.441310633027
CUB012	6	0.256139621779
CUB012	7	0.317233737665
CUB012	8	0.366366316605
CUB015	1	0.501432685047
CUB015	2	0.557797388489
CUB015	3	0.334462966022
CUB015	4	0.346185130532
CUB015	5	0.243210986852
CUB015	6	0.281590802778
CUB015	7	0.413002440088
CUB015	8	0.454106241403
CUB016	0.5	0.364979928519
CUB016	1	0.514951480126
CUB016	2	0.462266335092
CUB016	3	0.354965152466
CUB016	5	0.362065443311
CUB016	6	0.701601688033
CUB016	7	0.694019742712
CUB016	8	0.440674931466
CUB017	1	0.518962029437
CUB017	2	0.607596177523
CUB017	3	0.519170038007
CUB017	4	0.238104897888
CUB017	5	0.339996621913
CUB017	6	0.273044547934
CUB017	7	0.321363519743
CUB017	8	0.337027750847
CUB019	1	0.381790405713
CUB019	2	0.301321959211
CUB019	3	0.243304988781
CUB019	4	0.274416472745
CUB019	5	0.22538190301
CUB019	6	0.333381287761
CUB019	7	0.356420573531
CUB019	8	0.309689110799
CUB026	1	0.346188351205
CUB026	2	0.379206544294
CUB026	3	0.357583198824
CUB026	4	0.286812010352
CUB026	5	0.320747851592
CUB026	7	0.362885840724
CUB026	8	0.386965067174
CUB027	1	0.376911319401
CUB027	2	0.418022335253
CUB027	3	0.282843391741
CUB027	4	0.360678232719
CUB027	5	0.382088424705
CUB027	6	0.36202044992
CUB027	7	0.33977289777
CUB027	8	0.236161823477
CUB028	1	0.38432058274
CUB028	2	0.313211112637
