Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.416878809106
CUB000	1	0.583299336332
CUB000	2	0.519110333101
CUB000	3	0.507077531354
CUB000	5	0.461041968745
CUB000	6	0.420543112439
CUB000	7	0.417949280213
CUB000	8	0.491729944967
CUB003	0.5	0.76993760517
CUB003	1	0.729111237685
CUB003	2	0.604056026798
CUB003	3	0.411920709465
CUB003	4	0.470029283757
CUB003	5	0.413902560483
CUB003	6	0.469269749606
CUB003	7	0.570610644347
CUB003	8	0.572890772241
CUB004	0.5	0.511357048411
CUB004	1	0.516648268166
CUB004	2	0.404439972452
CUB004	3	0.494711359655
CUB004	4	0.515789122353
CUB004	5	0.406025267212
CUB004	6	0.434188402968
CUB004	7	0.443525058251
CUB004	8	0.397456277876
CUB007	1	0.854121868515
CUB007	2	0.460628656698
CUB007	3	0.4635642139
CUB007	4	0.472491039059
CUB007	5	0.411270787608
CUB007	6	0.468217437277
CUB007	7	0.458891181039
CUB007	8	0.468289139789
CUB008	0.5	0.422570831798
CUB008	1	0.420978695355
CUB008	2	0.378653510006
CUB008	3	0.384689810615
CUB008	4	0.425825077824
CUB008	5	0.371720016174
CUB008	6	0.397948665641
CUB008	7	0.380917501806
CUB008	8	0.390695856787
CUB009	0.5	0.418559850034
CUB009	1	0.424057466945
CUB009	2	0.419704498162
CUB009	3	0.447442155115
CUB009	4	0.415658654874
CUB009	5	0.366201727571
CUB009	7	0.42694880406
CUB009	8	0.409668475947
CUB010	0.5	0.391169128914
CUB010	1	0.450361720656
CUB010	2	0.448644744684
CUB010	3	0.461519877902
CUB010	4	0.469701397548
CUB010	5	0.452246674444
CUB010	6	0.452415923249
CUB010	7	0.447601327854
CUB010	8	0.409385092774
CUB011	1	0.400438756084
CUB011	2	0.405506932294
CUB011	3	0.399958926564
CUB011	5	0.432342491051
CUB011	6	0.438717588857
CUB011	7	0.406479797981
CUB011	8	0.420995417845
CUB012	0.5	0.587031959829
CUB012	1	0.65852364303
CUB012	2	0.40108712706
CUB012	3	0.426497265507
CUB012	5	0.441816164985
CUB012	6	0.39077287295
CUB012	7	0.386598259568
CUB012	8	0.471699731452
CUB015	1	0.505197631259
CUB015	2	0.466999064954
CUB015	3	0.506975252404
CUB015	4	0.470694579764
CUB015	5	0.471699437246
CUB015	6	0.54750022978
CUB015	7	0.462386130697
CUB015	8	0.39730008672
CUB017	1	0.631902812234
CUB017	2	0.469794295253
CUB017	3	0.477425785981
CUB017	4	0.564312202207
CUB017	5	0.479217542888
CUB017	6	0.479810289043
CUB017	7	0.627784366979
CUB017	8	0.654128829017
CUB019	1	0.451390736495
CUB019	2	0.406756853112
CUB019	3	0.403825714602
CUB019	4	0.502415936604
CUB019	5	0.568406696902
CUB019	6	0.468281879713
CUB019	7	0.426577264019
CUB019	8	0.438143547492
CUB026	1	0.532970698053
CUB026	2	0.40286186415
CUB026	3	0.430460784409
CUB026	4	0.521639423541
CUB026	5	0.517382327702
CUB026	7	0.453386096572
CUB026	8	0.432584695639
CUB027	1	0.692901772158
CUB027	2	0.633845872308
CUB027	3	0.534465115616
CUB027	4	0.600705530513
CUB027	5	0.60860411089
CUB027	6	0.438169852921
CUB027	7	0.430464796854
CUB027	8	0.631048821435
