#SampleID	CU	NAU	NCS
G11545	0.536	0.326	0.138
G10663	0.288	0.564	0.148
G11532	0.612	0.336	0.052
G10121	0.416	0.398	0.186
G11460	0.294	0.564	0.142
G10654	0.224	0.7	0.076
G11193	0.294	0.576	0.13
G10799	0.774	0.164	0.062
G11524	0.76	0.188	0.052
G11140	0.298	0.674	0.028
G11555	0.416	0.378	0.206
G10600	0.154	0.782	0.064
G10820	0.676	0.268	0.056
G10774	0.468	0.468	0.064
G10197	0.626	0.248	0.126
G11298	0.184	0.742	0.074
G10419	0.41	0.406	0.184
G10637	0.254	0.576	0.17
G11582	0.498	0.464	0.038
G10462	0.24	0.67	0.09
G10705	0.524	0.394	0.082
G10818	0.654	0.268	0.078
G10104	0.534	0.404	0.062
G10914	0.352	0.578	0.07
G10980	0.282	0.64	0.078
G10406	0.206	0.652	0.142
G11124	0.296	0.632	0.072
G11546	0.71	0.228	0.062
G11123	0.436	0.488	0.076
G10389	0.492	0.358	0.15
G10353	0.392	0.242	0.366
G11407	0.356	0.482	0.162
G11528	0.592	0.37	0.038
G10161	0.58	0.34	0.08
G10771	0.514	0.406	0.08
G11598	0.668	0.256	0.076
G11242	0.272	0.67	0.058
G10808	0.336	0.526	0.138
G10880	0.39	0.444	0.166
G10392	0.272	0.466	0.262
G11129	0.348	0.462	0.19
G11424	0.418	0.342	0.24
G10358	0.222	0.56	0.218
G10402	0.272	0.592	0.136
G10754	0.428	0.464	0.108
G10954	0.442	0.434	0.124
G10176	0.506	0.416	0.078
G11496	0.24	0.316	0.444
G11206	0.216	0.672	0.112
G11168	0.272	0.546	0.182
G10831	0.47	0.414	0.116
G11428	0.168	0.346	0.486
G10139	0.364	0.456	0.18
G10330	0.242	0.222	0.536
G11433	0.366	0.358	0.276
G10899	0.448	0.366	0.186
G10336	0.358	0.238	0.404
G10888	0.494	0.366	0.14
G11278	0.188	0.664	0.148
G11485	0.358	0.19	0.452
G10989	0.124	0.806	0.07
G11436	0.336	0.426	0.238
G11004	0.26	0.626	0.114
G11125	0.342	0.492	0.166
G10796	0.52	0.362	0.118
G10399	0.298	0.524	0.178
G10007	0.314	0.32	0.366
G10868	0.386	0.478	0.136
G10136	0.554	0.378	0.068
G11565	0.332	0.53	0.138
G10671	0.274	0.584	0.142
G10471	0.276	0.612	0.112
G11506	0.518	0.3	0.182
G10313	0.316	0.414	0.27
G10441	0.26	0.668	0.072
G10992	0.196	0.654	0.15
G11413	0.36	0.366	0.274
G11336	0.318	0.488	0.194
G11169	0.254	0.574	0.172
G10764	0.47	0.424	0.106
G10927	0.402	0.444	0.154
G10190	0.552	0.354	0.094
G10617	0.354	0.494	0.152
G10575	0.484	0.376	0.14
G10812	0.286	0.588	0.126
G10634	0.398	0.532	0.07
G11505	0.514	0.35	0.136
G10760	0.702	0.18	0.118
G10784	0.48	0.43	0.09
G10609	0.338	0.554	0.108
G10693	0.392	0.516	0.092
G11322	0.24	0.42	0.34
G10757	0.398	0.376	0.226
G11167	0.226	0.656	0.118
G11175	0.39	0.502	0.108
G10709	0.466	0.31	0.224
G11186	0.178	0.722	0.1
G11569	0.526	0.286	0.188
G10714	0.608	0.288	0.104
G11019	0.356	0.54	0.104
G10996	0.19	0.756	0.054
G10721	0.646	0.298	0.056
G11010	0.414	0.45	0.136
G10657	0.19	0.74	0.07
G10965	0.296	0.52	0.184
G11529	0.548	0.374	0.078
G10737	0.544	0.394	0.062
G10147	0.726	0.222	0.052
G10198	0.592	0.332	0.076
G10103	0.602	0.288	0.11
G10828	0.488	0.386	0.126
G11458	0.422	0.378	0.2
G10309	0.332	0.276	0.392
G10599	0.424	0.398	0.178
G10974	0.25	0.638	0.112
G10173	0.324	0.552	0.124
G10002	0.28	0.538	0.182
G11267	0.2	0.7	0.1
G10780	0.414	0.492	0.094
G10968	0.326	0.528	0.146
G10993	0.21	0.716	0.074
G10162	0.526	0.37	0.104
G11408	0.238	0.562	0.2
G11197	0.396	0.49	0.114
G11490	0.39	0.426	0.184
G11065	0.414	0.468	0.118
G11158	0.328	0.502	0.17
G11154	0.178	0.718	0.104
G10861	0.28	0.56	0.16
G11491	0.428	0.364	0.208
G11170	0.17	0.768	0.062
G10107	0.506	0.33	0.164
G11234	0.228	0.634	0.138
G10605	0.308	0.558	0.134
G11394	0.226	0.558	0.216
G11457	0.386	0.434	0.18
G10871	0.32	0.474	0.206
G10795	0.6	0.316	0.084
G10193	0.568	0.376	0.056
G11260	0.246	0.658	0.096
G10628	0.318	0.584	0.098
G10606	0.244	0.65	0.106
G10195	0.604	0.322	0.074
G11150	0.174	0.684	0.142
G11361	0.332	0.522	0.146
G11047	0.326	0.546	0.128
G11223	0.29	0.638	0.072
G11370	0.324	0.37	0.306
G10997	0.238	0.686	0.076
G10874	0.68	0.234	0.086
G11323	0.41	0.378	0.212
G10856	0.388	0.512	0.1
G11151	0.232	0.648	0.12
G11580	0.54	0.39	0.07
G10945	0.234	0.65	0.116
G10022	0.32	0.556	0.124
G10684	0.286	0.644	0.07
G11568	0.422	0.288	0.29
G10526	0.67	0.26	0.07
G10340	0.436	0.366	0.198
G11191	0.186	0.688	0.126
G11561	0.476	0.45	0.074
G10167	0.33	0.528	0.142
G10184	0.632	0.318	0.05
G10435	0.376	0.48	0.144
G11199	0.226	0.664	0.11
G10840	0.538	0.388	0.074
G10745	0.446	0.42	0.134
G10119	0.47	0.412	0.118
G11194	0.228	0.638	0.134
G10966	0.578	0.27	0.152
G10187	0.472	0.456	0.072
G10113	0.714	0.236	0.05
G10472	0.324	0.628	0.048
G10021	0.392	0.466	0.142
G10749	0.772	0.156	0.072
G10497	0.288	0.666	0.046
G10484	0.292	0.62	0.088
G10034	0.322	0.454	0.224
G10756	0.468	0.406	0.126
G10846	0.638	0.286	0.076
G10494	0.298	0.64	0.062
G11352	0.318	0.462	0.22
G10615	0.37	0.588	0.042
G11183	0.298	0.646	0.056
G11549	0.53	0.384	0.086
G10180	0.686	0.238	0.076
G10651	0.432	0.464	0.104
G10809	0.52	0.4	0.08
G10191	0.484	0.446	0.07
G10779	0.612	0.276	0.112
G10669	0.332	0.634	0.034
G10412	0.166	0.796	0.038
G11508	0.628	0.276	0.096
G11423	0.398	0.346	0.256
G10941	0.286	0.64	0.074
G10137	0.574	0.394	0.032
G10647	0.312	0.632	0.056
G10400	0.296	0.634	0.07
G10787	0.578	0.264	0.158
G11510	0.594	0.354	0.052
G11482	0.486	0.384	0.13
G11030	0.322	0.57	0.108
G11477	0.496	0.292	0.212
G10752	0.726	0.226	0.048
G10959	0.336	0.526	0.138
G10735	0.736	0.216	0.048
G10682	0.36	0.522	0.118
G11599	0.416	0.424	0.16
G10981	0.26	0.654	0.086
G10416	0.3	0.63	0.07
G10192	0.61	0.22	0.17
G10000	0.402	0.43	0.168
G11581	0.67	0.286	0.044
G10643	0.28	0.54	0.18
G11344	0.388	0.458	0.154
G10680	0.254	0.684	0.062
G11548	0.762	0.204	0.034
G11120	0.344	0.456	0.2
G10853	0.698	0.24	0.062
G11230	0.234	0.636	0.13
G10819	0.53	0.338	0.132
G11552	0.656	0.276	0.068
G11023	0.34	0.604	0.056
G10670	0.324	0.646	0.03
G11090	0.334	0.564	0.102
G11501	0.69	0.236	0.074
G10614	0.292	0.598	0.11
G10387	0.418	0.378	0.204
G10700	0.418	0.42	0.162
G10156	0.734	0.2	0.066
G10967	0.592	0.326	0.082
G11494	0.426	0.384	0.19
G10026	0.374	0.326	0.3
G10940	0.368	0.602	0.03
G10448	0.348	0.568	0.084
G10935	0.578	0.342	0.08
G10889	0.59	0.288	0.122
G11563	0.534	0.392	0.074
G10769	0.586	0.252	0.162
G11456	0.274	0.45	0.276
G11489	0.434	0.32	0.246
G10987	0.364	0.606	0.03
G10676	0.374	0.588	0.038
G10903	0.352	0.502	0.146
G10911	0.524	0.374	0.102
G10917	0.48	0.41	0.11
G11522	0.548	0.408	0.044
G10163	0.59	0.316	0.094
G10621	0.356	0.546	0.098
G11239	0.202	0.738	0.06
G10922	0.262	0.692	0.046
G11553	0.626	0.334	0.04
G10632	0.194	0.718	0.088
G10425	0.386	0.532	0.082
G10960	0.29	0.58	0.13
G10704	0.546	0.342	0.112
G10128	0.448	0.404	0.148
G10373	0.324	0.258	0.418
G10126	0.432	0.438	0.13
G10707	0.516	0.424	0.06
G10458	0.268	0.648	0.084
G10921	0.33	0.566	0.104
G11045	0.398	0.516	0.086
G11210	0.352	0.584	0.064
G10175	0.586	0.258	0.156
G10976	0.302	0.538	0.16
G11426	0.272	0.668	0.06
G10836	0.69	0.24	0.07
G10485	0.336	0.568	0.096
G10827	0.528	0.404	0.068
G11349	0.26	0.444	0.296
G10696	0.242	0.71	0.048
G10329	0.302	0.238	0.46
G10145	0.594	0.358	0.048
G10763	0.678	0.272	0.05
G10459	0.352	0.52	0.128
G10642	0.176	0.576	0.248
G11163	0.27	0.652	0.078
G10939	0.214	0.696	0.09
G10833	0.396	0.442	0.162
G10962	0.38	0.528	0.092
G11269	0.328	0.604	0.068
G10153	0.562	0.368	0.07
G11005	0.39	0.514	0.096
G10619	0.32	0.594	0.086
G10612	0.274	0.668	0.058
G11227	0.266	0.612	0.122
G11131	0.316	0.614	0.07
G10675	0.244	0.702	0.054
G11222	0.298	0.594	0.108
G11517	0.654	0.282	0.064
G11007	0.186	0.734	0.08
G10649	0.366	0.578	0.056
G10741	0.61	0.336	0.054
G10498	0.334	0.586	0.08
G11325	0.352	0.318	0.33
G11311	0.526	0.304	0.17
G10426	0.306	0.522	0.172
G10316	0.314	0.486	0.2
G11176	0.338	0.578	0.084
G10867	0.418	0.474	0.108
G11328	0.312	0.554	0.134
G10151	0.646	0.282	0.072
G11118	0.38	0.514	0.106
G11309	0.302	0.352	0.346
G10950	0.174	0.77	0.056
G11217	0.256	0.566	0.178
G10936	0.266	0.602	0.132
G11348	0.266	0.58	0.154
G10449	0.444	0.444	0.112
G11006	0.416	0.496	0.088
G10841	0.538	0.42	0.042
G11312	0.282	0.414	0.304
G11296	0.268	0.626	0.106
G10852	0.5	0.418	0.082
G10456	0.222	0.65	0.128
G10152	0.462	0.43	0.108
G11559	0.304	0.41	0.286
G11371	0.27	0.522	0.208
G11487	0.382	0.316	0.302
G10332	0.402	0.484	0.114
G10012	0.322	0.434	0.244
G10890	0.486	0.366	0.148
G10311	0.402	0.38	0.218
G11148	0.176	0.75	0.074
G11523	0.434	0.402	0.164
G10168	0.59	0.262	0.148
G11080	0.316	0.584	0.1
G10830	0.416	0.416	0.168
G11001	0.216	0.702	0.082
G11389	0.304	0.544	0.152
G11542	0.426	0.418	0.156
G11153	0.218	0.682	0.1
G11117	0.224	0.688	0.088
G10659	0.468	0.456	0.076
G10983	0.228	0.696	0.076
G11166	0.316	0.588	0.096
G10625	0.422	0.526	0.052
G10750	0.66	0.302	0.038
G11530	0.628	0.266	0.106
G11573	0.526	0.382	0.092
G10542	0.622	0.274	0.104
G11063	0.308	0.594	0.098
G10698	0.22	0.646	0.134
G11164	0.206	0.66	0.134
G10743	0.488	0.406	0.106
G10132	0.622	0.276	0.102
G10843	0.336	0.558	0.106
G10906	0.26	0.598	0.142
G11162	0.276	0.638	0.086
G10697	0.374	0.472	0.154
G10182	0.682	0.248	0.07
G11307	0.348	0.336	0.316
G10847	0.434	0.474	0.092
G10742	0.606	0.298	0.096
G10032	0.39	0.458	0.152
G11211	0.218	0.688	0.094
G10618	0.404	0.492	0.104
G11544	0.33	0.572	0.098
G11027	0.22	0.612	0.168
G11276	0.146	0.786	0.068
G10470	0.204	0.7	0.096
G10380	0.498	0.314	0.188
G10715	0.606	0.292	0.102
G11097	0.248	0.626	0.126
G11108	0.254	0.646	0.1
G11418	0.342	0.392	0.266
G10978	0.342	0.594	0.064
G11286	0.174	0.76	0.066
G11570	0.406	0.482	0.112
G10692	0.244	0.662	0.094
G11236	0.31	0.588	0.102
G11500	0.61	0.292	0.098
G10850	0.314	0.522	0.164
G10822	0.71	0.178	0.112
G10433	0.236	0.662	0.102
G10879	0.378	0.486	0.136
G10955	0.466	0.446	0.088
G11379	0.394	0.508	0.098
G10650	0.196	0.76	0.044
G10408	0.226	0.71	0.064
G10751	0.436	0.408	0.156
G10765	0.568	0.342	0.09
G10854	0.306	0.532	0.162
G10165	0.584	0.284	0.132
G10601	0.404	0.544	0.052
G11557	0.346	0.552	0.102
G10937	0.342	0.588	0.07
G11171	0.188	0.744	0.068
G11480	0.27	0.314	0.416
G10436	0.282	0.586	0.132
G11411	0.438	0.394	0.168
G10477	0.312	0.56	0.128
G10656	0.294	0.638	0.068
G10658	0.3	0.61	0.09
G11518	0.682	0.21	0.108
G10928	0.302	0.614	0.084
G10695	0.306	0.598	0.096
G10135	0.57	0.364	0.066
G10824	0.542	0.368	0.09
G10023	0.426	0.472	0.102
G11554	0.672	0.262	0.066
G11104	0.35	0.592	0.058
G10386	0.526	0.348	0.126
G10142	0.422	0.32	0.258
G10913	0.582	0.254	0.164
G10629	0.292	0.634	0.074
G10703	0.668	0.252	0.08
G10181	0.51	0.356	0.134
G10430	0.272	0.63	0.098
G11101	0.292	0.636	0.072
G10364	0.426	0.224	0.35
G10469	0.204	0.722	0.074
G11498	0.226	0.29	0.484
G10407	0.18	0.786	0.034
G11000	0.182	0.708	0.11
G11003	0.296	0.612	0.092
G10143	0.742	0.176	0.082
G10859	0.48	0.464	0.056
G11132	0.27	0.636	0.094
G11550	0.512	0.41	0.078
G10952	0.592	0.334	0.074
G10608	0.186	0.744	0.07
G10108	0.482	0.466	0.052
G11512	0.69	0.256	0.054
G11208	0.346	0.586	0.068
G11198	0.464	0.464	0.072
G11138	0.366	0.57	0.064
G11013	0.264	0.678	0.058
G11018	0.244	0.678	0.078
G11574	0.516	0.434	0.05
G11368	0.35	0.358	0.292
G10732	0.57	0.386	0.044
G10420	0.144	0.798	0.058
G10722	0.676	0.236	0.088
G10523	0.616	0.332	0.052
G11503	0.594	0.326	0.08
G10713	0.59	0.34	0.07
G11353	0.434	0.444	0.122
G11597	0.668	0.258	0.074
G11016	0.304	0.636	0.06
G10855	0.492	0.41	0.098
G10800	0.73	0.206	0.064
G11187	0.394	0.492	0.114
G10791	0.672	0.27	0.058
G11116	0.252	0.698	0.05
G10500	0.492	0.37	0.138
G11229	0.218	0.744	0.038
G10185	0.566	0.306	0.128
G10129	0.452	0.4	0.148
G11012	0.332	0.564	0.104
G11020	0.42	0.51	0.07
G10438	0.272	0.65	0.078
G10773	0.64	0.278	0.082
G11462	0.226	0.366	0.408
G10158	0.57	0.384	0.046
G10661	0.524	0.406	0.07
G11285	0.356	0.596	0.048
G10573	0.492	0.48	0.028
G10413	0.182	0.776	0.042
G10718	0.628	0.31	0.062
G11002	0.4	0.55	0.05
G10768	0.502	0.414	0.084
G10155	0.63	0.282	0.088
G11079	0.326	0.582	0.092
G11216	0.276	0.616	0.108
G11447	0.486	0.394	0.12
G10660	0.206	0.58	0.214
G10761	0.542	0.396	0.062
G10755	0.572	0.346	0.082
G10611	0.304	0.626	0.07
G10924	0.328	0.622	0.05
G11141	0.39	0.578	0.032
G10368	0.24	0.384	0.376
G10986	0.21	0.726	0.064
G10127	0.6	0.332	0.068
G10898	0.632	0.284	0.084
G10146	0.696	0.234	0.07
G10610	0.348	0.606	0.046
G11448	0.372	0.386	0.242
G10171	0.6	0.346	0.054
G11144	0.276	0.63	0.094
G11255	0.34	0.618	0.042
G11533	0.724	0.2	0.076
G10872	0.384	0.538	0.078
G10359	0.388	0.454	0.158
G10123	0.414	0.47	0.116
G10907	0.296	0.626	0.078
G10581	0.6	0.366	0.034
G10531	0.58	0.378	0.042
G10885	0.558	0.348	0.094
G10394	0.524	0.408	0.068
G10031	0.464	0.402	0.134
G10179	0.596	0.344	0.06
G10105	0.618	0.284	0.098
G10793	0.542	0.39	0.068
G10666	0.338	0.592	0.07
G10558	0.502	0.444	0.054
G10724	0.442	0.448	0.11
G11589	0.592	0.332	0.076
G11127	0.326	0.624	0.05
G11215	0.236	0.7	0.064
G10144	0.7	0.236	0.064
G10138	0.48	0.452	0.068
G11558	0.664	0.286	0.05
G10720	0.56	0.394	0.046
G10685	0.446	0.448	0.106
G10140	0.558	0.37	0.072
G11330	0.31	0.524	0.166
G11182	0.22	0.726	0.054
G11556	0.56	0.394	0.046
G10931	0.358	0.59	0.052
G10778	0.594	0.324	0.082
G10991	0.262	0.7	0.038
G10725	0.65	0.31	0.04
G10442	0.412	0.522	0.066
G10351	0.24	0.278	0.482
G10706	0.66	0.236	0.104
G10478	0.262	0.702	0.036
G11572	0.638	0.286	0.076
G11511	0.572	0.354	0.074
G10759	0.722	0.236	0.042
G11417	0.208	0.254	0.538
G10730	0.532	0.436	0.032
G11306	0.328	0.426	0.246
G11081	0.284	0.674	0.042
G10595	0.77	0.164	0.066
G10934	0.266	0.686	0.048
G10990	0.34	0.58	0.08
G10838	0.59	0.352	0.058
G10404	0.42	0.52	0.06
G10782	0.43	0.478	0.092
G11527	0.756	0.218	0.026
G11292	0.292	0.634	0.074
G10482	0.24	0.724	0.036
G10694	0.29	0.626	0.084
G11283	0.354	0.552	0.094
G11009	0.386	0.534	0.08
G10797	0.62	0.292	0.088
G10082	0.316	0.248	0.436
G11161	0.284	0.648	0.068
G11564	0.532	0.396	0.072
G10199	0.754	0.208	0.038
G10690	0.284	0.658	0.058
G10125	0.62	0.316	0.064
G10964	0.374	0.582	0.044
G11584	0.54	0.384	0.076
G10483	0.18	0.806	0.014
G10490	0.23	0.746	0.024
G11052	0.282	0.6	0.118
G10415	0.192	0.782	0.026
G10875	0.632	0.328	0.04
G10881	0.584	0.364	0.052
G10447	0.25	0.706	0.044
G10431	0.374	0.538	0.088
G11590	0.45	0.48	0.07
G11084	0.362	0.596	0.042
G11212	0.408	0.508	0.084
G11596	0.784	0.192	0.024
G11195	0.348	0.568	0.084
G10149	0.522	0.4	0.078
G10728	0.63	0.322	0.048
G10994	0.48	0.472	0.048
G11149	0.462	0.464	0.074
G10148	0.596	0.316	0.088
G10455	0.3	0.65	0.05
G10646	0.314	0.634	0.052
G11137	0.268	0.692	0.04
G10951	0.26	0.646	0.094
G10806	0.686	0.27	0.044
G10961	0.336	0.614	0.05
G10738	0.532	0.362	0.106
G10977	0.43	0.506	0.064
G11535	0.726	0.234	0.04
G11100	0.366	0.594	0.04
G10863	0.49	0.436	0.074
G11225	0.246	0.696	0.058
G10100	0.772	0.182	0.046
G10916	0.442	0.484	0.074
G10638	0.296	0.582	0.122
G10845	0.622	0.3	0.078
G10639	0.348	0.584	0.068
G10177	0.51	0.452	0.038
G10823	0.602	0.304	0.094
G10849	0.634	0.318	0.048
G10189	0.746	0.21	0.044
G10710	0.686	0.262	0.052
G11409	0.552	0.332	0.116
G11583	0.652	0.264	0.084
G10804	0.62	0.344	0.036
G10636	0.438	0.518	0.044
G10423	0.272	0.71	0.018
G10349	0.3	0.342	0.358
F05497	0.428	0.476	0.096
F05425	0.29	0.656	0.054
F05456	0.172	0.792	0.036
F05252	0.252	0.694	0.054
F05453	0.428	0.452	0.12
F05389	0.336	0.44	0.224
F06282	0.284	0.682	0.034
F05821	0.248	0.712	0.04
F06286	0.32	0.518	0.162
F06208	0.25	0.65	0.1
F06598	0.49	0.358	0.152
F06127	0.628	0.246	0.126
F05884	0.318	0.494	0.188
F05295	0.376	0.502	0.122
F06216	0.288	0.64	0.072
F05486	0.198	0.686	0.116
F05961	0.342	0.224	0.434
F05828	0.434	0.514	0.052
F05936	0.384	0.22	0.396
F05100	0.312	0.558	0.13
F05282	0.19	0.732	0.078
F05373	0.276	0.402	0.322
F06162	0.47	0.364	0.166
F06577	0.55	0.368	0.082
F05443	0.32	0.62	0.06
F05646	0.496	0.39	0.114
F05925	0.254	0.258	0.488
F05365	0.336	0.358	0.306
F05490	0.294	0.576	0.13
F05620	0.542	0.376	0.082
F06447	0.646	0.248	0.106
F05024	0.32	0.288	0.392
F05157	0.396	0.468	0.136
F05268	0.248	0.53	0.222
F06366	0.534	0.31	0.156
F06468	0.57	0.32	0.11
F05382	0.29	0.192	0.518
F06414	0.652	0.298	0.05
F05106	0.236	0.622	0.142
F05255	0.348	0.424	0.228
F05966	0.396	0.186	0.418
F05903	0.294	0.352	0.354
F05628	0.566	0.348	0.086
F05974	0.294	0.312	0.394
F06294	0.228	0.698	0.074
F06584	0.63	0.192	0.178
F05458	0.424	0.486	0.09
F06015	0.392	0.204	0.404
F05060	0.246	0.362	0.392
F05629	0.504	0.436	0.06
F06581	0.554	0.29	0.156
F06386	0.496	0.418	0.086
F05523	0.222	0.682	0.096
