#SampleID	CU	NAU	NCS
G10414	0.27	0.672	0.058
G10403	0.308	0.648	0.044
G11185	0.304	0.634	0.062
G11014	0.274	0.694	0.032
G10896	0.468	0.478	0.054
G10876	0.53	0.39	0.08
G11301	0.438	0.448	0.114
G10443	0.246	0.67	0.084
G10948	0.322	0.594	0.084
G10655	0.202	0.676	0.122
G10616	0.102	0.82	0.078
G11103	0.372	0.542	0.086
G10481	0.224	0.676	0.1
G10590	0.46	0.364	0.176
G11142	0.164	0.734	0.102
G11588	0.39	0.526	0.084
G10748	0.51	0.384	0.106
G10188	0.73	0.202	0.068
G11245	0.316	0.53	0.154
G10946	0.19	0.724	0.086
G10169	0.514	0.402	0.084
G11130	0.178	0.726	0.096
G10813	0.606	0.308	0.086
G10604	0.198	0.72	0.082
G11438	0.148	0.75	0.102
G10150	0.378	0.44	0.182
G11172	0.146	0.778	0.076
G11398	0.354	0.446	0.2
G10884	0.354	0.484	0.162
G10794	0.624	0.27	0.106
G10429	0.232	0.67	0.098
G11122	0.36	0.5	0.14
G11471	0.366	0.354	0.28
G10902	0.334	0.59	0.076
G11178	0.272	0.626	0.102
G11484	0.224	0.724	0.052
G11364	0.32	0.384	0.296
G10164	0.65	0.286	0.064
G10112	0.47	0.436	0.094
G10688	0.218	0.642	0.14
G10679	0.418	0.412	0.17
G11112	0.234	0.672	0.094
G10982	0.262	0.602	0.136
G10499	0.292	0.61	0.098
G10303	0.332	0.52	0.148
G11145	0.402	0.51	0.088
G11190	0.288	0.646	0.066
G11057	0.2	0.652	0.148
G11536	0.592	0.25	0.158
G10474	0.25	0.62	0.13
G10495	0.266	0.596	0.138
G10130	0.586	0.326	0.088
G10488	0.176	0.794	0.03
G10969	0.144	0.762	0.094
G10451	0.254	0.65	0.096
G10893	0.474	0.418	0.108
G10624	0.26	0.61	0.13
G10883	0.376	0.518	0.106
G11383	0.276	0.3	0.424
G11575	0.59	0.328	0.082
G11119	0.344	0.522	0.134
G11318	0.35	0.416	0.234
G11213	0.176	0.748	0.076
G10678	0.178	0.67	0.152
G10766	0.66	0.298	0.042
G10918	0.304	0.624	0.072
G10798	0.528	0.32	0.152
G10487	0.228	0.698	0.074
G10932	0.486	0.354	0.16
G11174	0.278	0.65	0.072
G11062	0.298	0.626	0.076
G10689	0.288	0.562	0.15
G10008	0.342	0.556	0.102
G10178	0.692	0.25	0.058
G11107	0.294	0.6	0.106
G10930	0.198	0.652	0.15
G10613	0.264	0.584	0.152
G11147	0.368	0.536	0.096
G10582	0.55	0.334	0.116
G10956	0.182	0.76	0.058
G11470	0.192	0.644	0.164
G11578	0.704	0.192	0.104
G10396	0.274	0.424	0.302
G10672	0.248	0.646	0.106
G10912	0.474	0.42	0.106
G10963	0.37	0.54	0.09
G11453	0.374	0.324	0.302
G11541	0.51	0.334	0.156
G10118	0.536	0.384	0.08
G10102	0.528	0.276	0.196
G10131	0.658	0.268	0.074
G11587	0.54	0.356	0.104
G10115	0.594	0.276	0.13
G11238	0.236	0.614	0.15
G11136	0.318	0.572	0.11
G10970	0.384	0.544	0.072
G10468	0.294	0.594	0.112
G11526	0.388	0.476	0.136
G11156	0.214	0.63	0.156
G10866	0.364	0.462	0.174
G10111	0.486	0.436	0.078
G11562	0.642	0.298	0.06
G11386	0.406	0.262	0.332
G11385	0.322	0.504	0.174
G11567	0.672	0.252	0.076
G10775	0.536	0.412	0.052
G10739	0.506	0.394	0.1
G10339	0.226	0.33	0.444
G10133	0.474	0.432	0.094
G10887	0.59	0.324	0.086
G11184	0.372	0.47	0.158
G10971	0.366	0.446	0.188
G11406	0.342	0.474	0.184
G10687	0.25	0.674	0.076
G10860	0.644	0.266	0.09
G11196	0.258	0.692	0.05
G10712	0.348	0.526	0.126
G11551	0.524	0.368	0.108
G10783	0.548	0.414	0.038
G11351	0.384	0.258	0.358
G10640	0.508	0.422	0.07
G11070	0.296	0.646	0.058
G10020	0.462	0.376	0.162
G10862	0.356	0.488	0.156
G11461	0.236	0.31	0.454
G10998	0.292	0.658	0.05
G11516	0.534	0.336	0.13
G10322	0.2	0.242	0.558
G10665	0.318	0.614	0.068
G11139	0.378	0.496	0.126
G10923	0.32	0.486	0.194
G11015	0.296	0.616	0.088
G11547	0.534	0.39	0.076
G10972	0.326	0.63	0.044
G10174	0.602	0.292	0.106
G11571	0.548	0.402	0.05
G10815	0.47	0.356	0.174
G10356	0.258	0.428	0.314
G11540	0.548	0.358	0.094
G10630	0.246	0.682	0.072
G10891	0.666	0.294	0.04
G10944	0.28	0.654	0.066
G11128	0.272	0.624	0.104
G11189	0.404	0.524	0.072
G10018	0.256	0.238	0.506
G10681	0.28	0.67	0.05
G11440	0.356	0.372	0.272
G10949	0.3	0.514	0.186
G10166	0.568	0.36	0.072
G10905	0.46	0.478	0.062
G11367	0.218	0.432	0.35
G11188	0.258	0.686	0.056
G10631	0.37	0.474	0.156
G10101	0.574	0.3	0.126
G11520	0.484	0.404	0.112
G10367	0.38	0.242	0.378
G10975	0.246	0.686	0.068
G10635	0.26	0.662	0.078
G10116	0.59	0.334	0.076
G11207	0.346	0.546	0.108
G10877	0.51	0.456	0.034
G11143	0.362	0.49	0.148
G10603	0.37	0.534	0.096
G10929	0.298	0.592	0.11
G10664	0.248	0.632	0.12
G10460	0.356	0.568	0.076
G10842	0.258	0.52	0.222
G10691	0.374	0.538	0.088
G11146	0.296	0.55	0.154
G10417	0.292	0.57	0.138
G10014	0.3	0.52	0.18
G11214	0.186	0.706	0.108
G10338	0.35	0.402	0.248
G10733	0.564	0.336	0.1
G10865	0.348	0.51	0.142
G10489	0.168	0.758	0.074
G10785	0.72	0.226	0.054
G10910	0.324	0.57	0.106
G10409	0.352	0.488	0.16
G11203	0.332	0.612	0.056
G10677	0.286	0.566	0.148
G10878	0.36	0.426	0.214
G11514	0.818	0.136	0.046
G10466	0.28	0.568	0.152
G10744	0.59	0.288	0.122
G10662	0.316	0.578	0.106
G10511	0.786	0.178	0.036
G10428	0.286	0.588	0.126
G10602	0.282	0.628	0.09
G11159	0.34	0.604	0.056
G10476	0.23	0.682	0.088
G11224	0.328	0.568	0.104
G11034	0.306	0.56	0.134
G10786	0.578	0.35	0.072
G10444	0.268	0.616	0.116
G11415	0.31	0.346	0.344
G10325	0.352	0.298	0.35
G10892	0.76	0.206	0.034
G10897	0.468	0.41	0.122
G11258	0.256	0.624	0.12
G11152	0.298	0.478	0.224
G10753	0.676	0.21	0.114
G11585	0.466	0.36	0.174
G10825	0.634	0.228	0.138
G11319	0.342	0.372	0.286
G10995	0.336	0.494	0.17
G11403	0.356	0.368	0.276
G10801	0.434	0.458	0.108
G10157	0.49	0.412	0.098
G10776	0.598	0.322	0.08
G11504	0.7	0.24	0.06
G11179	0.226	0.72	0.054
G10538	0.664	0.252	0.084
G11280	0.38	0.584	0.036
G11419	0.244	0.578	0.178
G10492	0.17	0.776	0.054
G11110	0.286	0.624	0.09
G11202	0.252	0.688	0.06
G10702	0.648	0.308	0.044
G10473	0.296	0.616	0.088
G11008	0.276	0.692	0.032
G10496	0.404	0.46	0.136
G10810	0.476	0.466	0.058
G11228	0.228	0.618	0.154
G11226	0.316	0.65	0.034
