	2	3	4	5	6	7
persMeans	0.172784993	0.11771645	0.091382189	0.075525665	0.064693878	0.05672619
persMeans	0.078507705	0.04755822	0.035547942	0.029205356	0.02526193	0.022584289
persMeans	0.112259372	0.07218845	0.055197568	0.045657838	0.039531046	0.03529382
persMeans	0.1247499	0.079731893	0.059957316	0.048786181	0.041616647	0.036531279
persMeans	0.127650864	0.082929782	0.063837129	0.053140097	0.046276801	0.041533612
persMeans	0.120838791	0.074276125	0.054280881	0.043077775	0.036059267	0.031365968
persMeans	0.124070138	0.079152118	0.058752087	0.046474116	0.038143313	0.032146652
persMeans	0.157779857	0.107176266	0.085153013	0.072831752	0.06508085	0.059869036
persMeans	0.155519943	0.104967949	0.081105006	0.067256817	0.058207418	0.051842949
persMeans	0.107518465	0.067127718	0.050021791	0.040393614	0.034208987	0.029965478
persMeans	0.126254333	0.081910235	0.062671045	0.051541689	0.044334975	0.039272031
persMeans	0.117157429	0.076246838	0.059115987	0.04955277	0.043405642	0.039068514
persMeans	0.142147211	0.095770545	0.07522604	0.063331324	0.055334539	0.049460853
persMeans	0.176895944	0.122222222	0.097901235	0.084237213	0.075352734	0.068981481
persMeans	0.160574036	0.110545986	0.087747088	0.074456324	0.065624691	0.059280434
persMeans	0.147356924	0.096199214	0.073944954	0.061555264	0.053473132	0.047706422
persMeans	0.131466385	0.08972783	0.071090695	0.059912008	0.052212733	0.046447262
persMeans	0.133992897	0.091076865	0.071660506	0.060429804	0.053058636	0.047824708
persMeans	0.125466235	0.079620983	0.058745583	0.046483258	0.03828033	0.03236651
persMeans	0.124721345	0.079997213	0.060663199	0.049554152	0.042169794	0.036736021
persMeans	0.144916461	0.091335131	0.068329962	0.055694699	0.04775712	0.042408406
persMeans	0.209789306	0.14407424	0.113357185	0.095483005	0.083746486	0.075395051
persMeans	0.138792522	0.088650725	0.067869877	0.056553642	0.049518854	0.044786547
persMeans	0.176485443	0.123568405	0.10074166	0.088174285	0.08016934	0.074476381
persMeans	0.199470292	0.143493066	0.117383733	0.101734088	0.091135363	0.083492884
persMeans	0.186393833	0.116491709	0.08455804	0.065900908	0.053172068	0.043663472
persMeans	0.171551893	0.125716108	0.104375123	0.091776675	0.083410409	0.077432804
persMeans	0.133389347	0.091615381	0.073130811	0.062073531	0.054438916	0.048681128
persMeans	0.177832975	0.125772019	0.103168636	0.090393394	0.08200188	0.076010338
persMeans	0.240292054	0.175363611	0.144185721	0.12563224	0.113462345	0.104992658
persMeans	0.166189915	0.107454148	0.08110382	0.066240395	0.056873633	0.050647821
persMeans	0.165888799	0.118675595	0.097064394	0.08397592	0.075081169	0.068536932
persMeans	0.136899452	0.091914107	0.07204027	0.060022939	0.051420925	0.044714541
persMeans	0.157993475	0.098209431	0.071394909	0.056451488	0.046912142	0.040193946
persMeans	0.126381402	0.081570081	0.062479784	0.051431941	0.044103774	0.038915094
persMeans	0.126169026	0.076742048	0.056278728	0.045406631	0.038784703	0.034362934
persMeans	0.240378422	0.185351967	0.154635381	0.133218311	0.11678744	0.103462158
persMeans	0.233882996	0.163738813	0.129366921	0.108427246	0.094174677	0.083961717
persMeans	0.132384424	0.085019962	0.064467974	0.052826477	0.045304635	0.040097205
persMeans	0.13625192	0.091305684	0.07250384	0.061699949	0.05422427	0.048387097
persMeans	0.176369296	0.113590304	0.086409696	0.071031194	0.060898073	0.053546592
persMeans	0.133695536	0.082646213	0.06022691	0.047352722	0.03906999	0.033557047
persMeans	0.194302203	0.141289581	0.118060636	0.104939562	0.096344097	0.090120296
persMeans	0.121090171	0.076862135	0.057696263	0.046871202	0.03988586	0.034975789
persMeans	0.147412842	0.096676737	0.075097108	0.062772743	0.054524529	0.048338369
persMeans	0.109596241	0.066128733	0.047172978	0.036520303	0.029745343	0.025149941
persMeans	0.139492316	0.091548567	0.071388343	0.060204821	0.052955071	0.047751227
persMeans	0.191109904	0.125719718	0.096632265	0.080074235	0.068984248	0.060836502
persMeans	0.198047555	0.133945486	0.103363619	0.085057027	0.072878407	0.064276049
persMeans	0.122180208	0.077966149	0.060980452	0.052037453	0.046504058	0.042725099
persMeans	0.134005491	0.090769668	0.072848623	0.0629556	0.056518035	0.051689861
persMeans	0.215841731	0.160102993	0.133269117	0.116960581	0.105735033	0.097251037
persMeans	0.14117768	0.094187003	0.07297779	0.060700576	0.05271456	0.047144914
persMeans	0.10496868	0.064805692	0.048677249	0.040199477	0.035030104	0.031289911
persMeans	0.142509025	0.085301702	0.061712223	0.04910392	0.041400206	0.036326715
persMeans	0.145573684	0.09990774	0.079694194	0.06832087	0.061166683	0.056405318
persMeans	0.134896335	0.08902327	0.069932639	0.059028082	0.051745254	0.046387018
persMeans	0.203959428	0.146003911	0.119503849	0.103660027	0.092997678	0.085329341
persMeans	0.146010359	0.10089134	0.081174349	0.069971907	0.062714598	0.057639395
persMeans	0.146070175	0.086997494	0.062228906	0.04875188	0.040235589	0.034292398
persMeans	0.14685604	0.093229454	0.070535025	0.057997794	0.050055157	0.04469112
