#SampleID	CU	NAU	NCS
P16034	0.348	0.426	0.226
P15748	0.34	0.502	0.158
P15172	0.338	0.394	0.268
P15591	0.47	0.42	0.11
P16395	0.356	0.382	0.262
P16332	0.224	0.708	0.068
P16581	0.532	0.35	0.118
P16247	0.34	0.588	0.072
P16321	0.292	0.628	0.08
P15121	0.39	0.368	0.242
P16299	0.35	0.464	0.186
P15125	0.426	0.348	0.226
P16150	0.232	0.592	0.176
P16210	0.362	0.558	0.08
P15159	0.33	0.21	0.46
P15998	0.58	0.298	0.122
P15796	0.3	0.614	0.086
P15036	0.504	0.326	0.17
P15201	0.478	0.42	0.102
P16466	0.378	0.472	0.15
P15163	0.348	0.41	0.242
P16169	0.268	0.616	0.116
P15117	0.352	0.226	0.422
P16598	0.57	0.298	0.132
P15299	0.302	0.362	0.336
P16187	0.27	0.582	0.148
P15935	0.64	0.248	0.112
P16579	0.486	0.382	0.132
P16463	0.3	0.38	0.32
P16542	0.49	0.404	0.106
P15354	0.356	0.248	0.396
P16177	0.43	0.438	0.132
P15122	0.294	0.4	0.306
P15342	0.278	0.38	0.342
P15556	0.568	0.334	0.098
P16596	0.466	0.288	0.246
P15098	0.574	0.272	0.154
P15531	0.36	0.536	0.104
P16445	0.464	0.38	0.156
P16436	0.34	0.304	0.356
P16088	0.308	0.522	0.17
P16314	0.33	0.586	0.084
P15997	0.436	0.508	0.056
P16092	0.348	0.414	0.238
P16284	0.356	0.506	0.138
P15608	0.62	0.244	0.136
P16538	0.472	0.382	0.146
P15225	0.358	0.43	0.212
P15295	0.544	0.324	0.132
P16166	0.318	0.606	0.076
P16173	0.226	0.712	0.062
P15288	0.41	0.496	0.094
P16404	0.38	0.262	0.358
P15039	0.53	0.34	0.13
P15207	0.418	0.49	0.092
P15781	0.39	0.484	0.126
P15939	0.512	0.306	0.182
P15213	0.464	0.402	0.134
P15757	0.474	0.328	0.198
P15790	0.288	0.644	0.068
P15978	0.54	0.334	0.126
P16465	0.502	0.274	0.224
P15077	0.574	0.274	0.152
P15347	0.366	0.318	0.316
P15260	0.454	0.386	0.16
P15212	0.54	0.274	0.186
P15188	0.506	0.266	0.228
P15031	0.582	0.322	0.096
P16293	0.402	0.434	0.164
P15114	0.34	0.33	0.33
P15060	0.548	0.244	0.208
P16502	0.29	0.326	0.384
P16296	0.476	0.356	0.168
P15362	0.434	0.304	0.262
P16572	0.43	0.422	0.148
P15156	0.302	0.494	0.204
P15731	0.356	0.52	0.124
P16535	0.506	0.364	0.13
P15293	0.468	0.358	0.174
P15283	0.49	0.32	0.19
P15062	0.49	0.3	0.21
P15999	0.494	0.312	0.194
P16094	0.296	0.582	0.122
P16413	0.35	0.318	0.332
P16454	0.478	0.272	0.25
P15054	0.544	0.382	0.074
P15024	0.632	0.264	0.104
P15076	0.492	0.324	0.184
P15592	0.186	0.702	0.112
P15981	0.302	0.47	0.228
P16562	0.644	0.238	0.118
P15777	0.34	0.608	0.052
P16303	0.406	0.448	0.146
P15356	0.398	0.242	0.36
P16427	0.338	0.344	0.318
P16336	0.272	0.64	0.088
P16199	0.51	0.414	0.076
P15990	0.464	0.42	0.116
P16526	0.57	0.322	0.108
P15568	0.322	0.52	0.158
P16326	0.344	0.554	0.102
P16350	0.334	0.49	0.176
P15989	0.58	0.312	0.108
P16559	0.62	0.306	0.074
P16505	0.562	0.262	0.176
P16419	0.396	0.298	0.306
P15219	0.484	0.382	0.134
P15320	0.324	0.33	0.346
P16334	0.34	0.536	0.124
P16257	0.356	0.514	0.13
P15189	0.364	0.374	0.262
P15919	0.598	0.328	0.074
P15195	0.408	0.4	0.192
P16297	0.212	0.694	0.094
P15750	0.4	0.546	0.054
P16063	0.286	0.626	0.088
P16531	0.448	0.402	0.15
P16347	0.34	0.56	0.1
P15709	0.37	0.424	0.206
P15278	0.354	0.474	0.172
P15912	0.454	0.432	0.114
P16181	0.386	0.508	0.106
P16600	0.528	0.348	0.124
P15922	0.434	0.464	0.102
P16507	0.42	0.514	0.066
P15407	0.464	0.296	0.24
P15413	0.372	0.28	0.348
P16516	0.49	0.332	0.178
P16157	0.452	0.464	0.084
P16158	0.252	0.662	0.086
P16170	0.382	0.48	0.138
P16000	0.466	0.374	0.16
P16208	0.32	0.462	0.218
P15047	0.41	0.526	0.064
P15016	0.532	0.312	0.156
P15539	0.574	0.31	0.116
P16414	0.424	0.306	0.27
P15068	0.68	0.212	0.108
P15962	0.436	0.5	0.064
P15328	0.424	0.25	0.326
P16453	0.452	0.22	0.328
P16213	0.296	0.592	0.112
P16240	0.44	0.44	0.12
P15294	0.476	0.45	0.074
P15311	0.336	0.308	0.356
P15234	0.522	0.312	0.166
P16311	0.454	0.456	0.09
P16403	0.458	0.396	0.146
P15137	0.348	0.238	0.414
P15158	0.326	0.288	0.386
P15361	0.364	0.306	0.33
P16229	0.328	0.608	0.064
P15410	0.44	0.286	0.274
P15242	0.548	0.302	0.15
P15530	0.354	0.46	0.186
P16275	0.376	0.46	0.164
P16345	0.27	0.618	0.112
P16524	0.512	0.35	0.138
P15129	0.354	0.314	0.332
P15255	0.476	0.372	0.152
P16196	0.33	0.552	0.118
P15610	0.564	0.354	0.082
P15037	0.562	0.328	0.11
P15011	0.646	0.278	0.076
P16214	0.456	0.428	0.116
P16432	0.24	0.254	0.506
P15938	0.508	0.258	0.234
P16568	0.582	0.322	0.096
P15368	0.392	0.304	0.304
P16361	0.296	0.532	0.172
P15064	0.48	0.368	0.152
P15269	0.568	0.378	0.054
P16078	0.228	0.676	0.096
P16223	0.484	0.404	0.112
P16364	0.18	0.594	0.226
P15589	0.408	0.458	0.134
P16104	0.354	0.484	0.162
P15928	0.364	0.546	0.09
P15979	0.698	0.246	0.056
P16552	0.412	0.404	0.184
P16163	0.232	0.628	0.14
P16212	0.39	0.45	0.16
P15059	0.506	0.374	0.12
P16072	0.398	0.534	0.068
P15732	0.41	0.444	0.146
P15058	0.532	0.25	0.218
P16248	0.454	0.414	0.132
P15415	0.496	0.29	0.214
P15101	0.336	0.318	0.346
P15389	0.352	0.286	0.362
P15126	0.328	0.338	0.334
P15930	0.518	0.322	0.16
P15040	0.616	0.2	0.184
P16348	0.266	0.548	0.186
P15248	0.554	0.364	0.082
P16510	0.542	0.308	0.15
P15377	0.346	0.34	0.314
P15308	0.288	0.264	0.448
P15429	0.388	0.378	0.234
P15771	0.45	0.444	0.106
P15259	0.478	0.436	0.086
P16283	0.434	0.416	0.15
P15139	0.326	0.366	0.308
P16450	0.284	0.466	0.25
P15306	0.378	0.35	0.272
P16362	0.504	0.404	0.092
P15536	0.362	0.56	0.078
P15209	0.644	0.296	0.06
P15175	0.472	0.346	0.182
P15424	0.456	0.402	0.142
P16225	0.218	0.726	0.056
P16508	0.49	0.33	0.18
P15561	0.448	0.43	0.122
P15249	0.478	0.374	0.148
P15723	0.296	0.566	0.138
P15920	0.494	0.354	0.152
P16089	0.316	0.568	0.116
P16452	0.39	0.414	0.196
P15505	0.366	0.43	0.204
P16295	0.402	0.52	0.078
P15055	0.468	0.322	0.21
P15749	0.304	0.586	0.11
P15275	0.48	0.312	0.208
P16272	0.368	0.436	0.196
P15052	0.508	0.414	0.078
P16360	0.264	0.658	0.078
P16597	0.62	0.28	0.1
P15594	0.346	0.56	0.094
P16525	0.63	0.278	0.092
P16392	0.406	0.49	0.104
P15229	0.538	0.258	0.204
P16175	0.394	0.47	0.136
P15705	0.33	0.578	0.092
P16082	0.412	0.452	0.136
P15240	0.428	0.468	0.104
P16083	0.532	0.368	0.1
P15391	0.342	0.308	0.35
P15782	0.352	0.466	0.182
P15271	0.432	0.426	0.142
P16309	0.28	0.626	0.094
P15604	0.548	0.374	0.078
P15399	0.31	0.344	0.346
P16443	0.31	0.352	0.338
P15171	0.332	0.22	0.448
P16551	0.436	0.45	0.114
P15280	0.556	0.35	0.094
P15923	0.38	0.354	0.266
P15601	0.46	0.426	0.114
P15370	0.346	0.374	0.28
P16168	0.29	0.562	0.148
P15074	0.432	0.478	0.09
P16569	0.53	0.334	0.136
P15599	0.304	0.526	0.17
P15759	0.33	0.558	0.112
P15336	0.36	0.368	0.272
P15258	0.564	0.286	0.15
P16149	0.366	0.528	0.106
P15089	0.522	0.334	0.144
P16091	0.172	0.612	0.216
P15436	0.402	0.424	0.174
P15263	0.522	0.404	0.074
P16262	0.28	0.676	0.044
P15048	0.526	0.356	0.118
P16521	0.578	0.274	0.148
P16586	0.566	0.33	0.104
P15951	0.496	0.384	0.12
P16287	0.378	0.544	0.078
P15932	0.492	0.358	0.15
P15111	0.414	0.2	0.386
P16486	0.396	0.306	0.298
P15575	0.38	0.478	0.142
P15770	0.402	0.492	0.106
P15955	0.464	0.266	0.27
P15534	0.346	0.506	0.148
P15046	0.506	0.29	0.204
P16566	0.6	0.318	0.082
P15400	0.434	0.304	0.262
P16098	0.41	0.464	0.126
P15547	0.486	0.42	0.094
P15222	0.52	0.336	0.144
P15057	0.574	0.376	0.05
P15056	0.578	0.33	0.092
P15245	0.574	0.294	0.132
P15508	0.364	0.548	0.088
P15614	0.444	0.5	0.056
P16324	0.366	0.508	0.126
P16523	0.576	0.31	0.114
P15230	0.486	0.382	0.132
P15537	0.286	0.632	0.082
P15566	0.396	0.53	0.074
P15003	0.43	0.41	0.16
P15908	0.478	0.378	0.144
P16467	0.42	0.286	0.294
P16021	0.432	0.462	0.106
P15917	0.454	0.428	0.118
P16528	0.672	0.256	0.072
P16394	0.414	0.49	0.096
P16472	0.394	0.308	0.298
P15562	0.358	0.524	0.118
P15797	0.404	0.474	0.122
P15223	0.57	0.326	0.104
P15096	0.502	0.344	0.154
P15013	0.552	0.324	0.124
P16573	0.438	0.408	0.154
P16265	0.42	0.462	0.118
P15948	0.514	0.382	0.104
P15803	0.462	0.42	0.118
P15014	0.552	0.36	0.088
P16547	0.5	0.382	0.118
P16081	0.472	0.358	0.17
P16549	0.364	0.562	0.074
P15942	0.462	0.414	0.124
P16584	0.524	0.356	0.12
P15733	0.416	0.466	0.118
P16504	0.452	0.304	0.244
P16343	0.438	0.454	0.108
P15517	0.334	0.546	0.12
P15218	0.556	0.274	0.17
P16319	0.29	0.568	0.142
P15327	0.32	0.346	0.334
P15045	0.546	0.284	0.17
P15735	0.362	0.51	0.128
P16270	0.36	0.53	0.11
P16575	0.524	0.278	0.198
P15956	0.484	0.386	0.13
P15909	0.584	0.328	0.088
P15972	0.546	0.284	0.17
P15289	0.458	0.434	0.108
P15597	0.4	0.552	0.048
P16527	0.45	0.41	0.14
P15703	0.362	0.556	0.082
P15572	0.424	0.454	0.122
P15977	0.606	0.34	0.054
P16318	0.386	0.522	0.092
P16416	0.382	0.482	0.136
P15747	0.328	0.6	0.072
P15940	0.368	0.508	0.124
P15253	0.42	0.402	0.178
P15237	0.474	0.424	0.102
P15051	0.46	0.43	0.11
P16435	0.338	0.396	0.266
P16378	0.326	0.556	0.118
P15612	0.422	0.486	0.092
P16204	0.404	0.526	0.07
P16556	0.65	0.288	0.062
P15925	0.538	0.346	0.116
P16576	0.562	0.328	0.11
P15953	0.476	0.382	0.142
P15027	0.556	0.274	0.17
P16062	0.316	0.606	0.078
P15964	0.51	0.392	0.098
P15963	0.536	0.356	0.108
P15793	0.392	0.442	0.166
P15683	0.526	0.318	0.156
P16294	0.41	0.408	0.182
P16442	0.412	0.35	0.238
P16491	0.464	0.38	0.156
P15257	0.56	0.298	0.142
P15331	0.342	0.36	0.298
P15124	0.362	0.362	0.276
P16522	0.436	0.33	0.234
P15710	0.368	0.534	0.098
P15132	0.392	0.432	0.176
P15725	0.406	0.522	0.072
P15043	0.508	0.414	0.078
P16234	0.26	0.608	0.132
P15787	0.426	0.464	0.11
P16129	0.316	0.634	0.05
P16183	0.436	0.356	0.208
P16352	0.408	0.446	0.146
P15206	0.452	0.456	0.092
P16285	0.394	0.53	0.076
P15133	0.378	0.296	0.326
P15985	0.532	0.398	0.07
P16342	0.398	0.452	0.15
P15729	0.316	0.48	0.204
P15238	0.41	0.414	0.176
P16534	0.508	0.314	0.178
P15420	0.46	0.334	0.206
P15065	0.518	0.348	0.134
P15181	0.358	0.348	0.294
P16003	0.524	0.338	0.138
P15799	0.384	0.558	0.058
P16590	0.354	0.416	0.23
P16066	0.28	0.506	0.214
P15915	0.542	0.344	0.114
P16267	0.368	0.584	0.048
P16561	0.586	0.316	0.098
P15200	0.67	0.282	0.048
P16245	0.386	0.46	0.154
P16578	0.588	0.298	0.114
P15086	0.61	0.28	0.11
P15019	0.642	0.25	0.108
P15724	0.286	0.618	0.096
P15618	0.506	0.33	0.164
P15510	0.418	0.39	0.192
P16337	0.382	0.434	0.184
P16482	0.396	0.356	0.248
P15005	0.566	0.3	0.134
P15325	0.286	0.36	0.354
P15208	0.568	0.294	0.138
P15910	0.436	0.39	0.174
P15395	0.446	0.276	0.278
P15028	0.58	0.35	0.07
P15025	0.512	0.396	0.092
P15440	0.428	0.324	0.248
P15548	0.358	0.504	0.138
P15072	0.548	0.322	0.13
P15155	0.564	0.238	0.198
P16477	0.404	0.352	0.244
P15520	0.25	0.616	0.134
P15772	0.416	0.454	0.13
P16335	0.262	0.586	0.152
P16219	0.35	0.538	0.112
P16533	0.38	0.524	0.096
P16317	0.294	0.614	0.092
P16369	0.572	0.316	0.112
P15774	0.292	0.51	0.198
P15936	0.616	0.282	0.102
P16406	0.424	0.336	0.24
P15262	0.456	0.3	0.244
P16383	0.378	0.48	0.142
P16587	0.618	0.312	0.07
P15760	0.092	0.786	0.122
P16356	0.482	0.348	0.17
P15743	0.454	0.424	0.122
P15012	0.54	0.334	0.126
P15949	0.55	0.284	0.166
P15066	0.656	0.242	0.102
P16097	0.128	0.72	0.152
P15745	0.17	0.696	0.134
P16400	0.414	0.508	0.078
P16339	0.252	0.606	0.142
P15284	0.532	0.382	0.086
P16349	0.478	0.382	0.14
P16244	0.28	0.66	0.06
P15569	0.356	0.55	0.094
P15968	0.582	0.278	0.14
P15001	0.388	0.41	0.202
P16100	0.374	0.5	0.126
P16222	0.394	0.498	0.108
P15092	0.67	0.244	0.086
P15546	0.38	0.512	0.108
P15251	0.546	0.398	0.056
P16530	0.434	0.41	0.156
P15957	0.306	0.574	0.12
P16475	0.326	0.406	0.268
P15273	0.392	0.46	0.148
P15789	0.366	0.448	0.186
P15348	0.358	0.338	0.304
P16331	0.388	0.54	0.072
P15008	0.516	0.382	0.102
P15976	0.446	0.298	0.256
P15993	0.458	0.432	0.11
P16065	0.312	0.532	0.156
P15353	0.296	0.406	0.298
P16440	0.408	0.356	0.236
P15422	0.286	0.314	0.4
P15783	0.334	0.554	0.112
P16380	0.462	0.382	0.156
P16325	0.324	0.52	0.156
P15202	0.5	0.394	0.106
P15303	0.394	0.36	0.246
P15070	0.568	0.308	0.124
P15042	0.472	0.462	0.066
P16122	0.24	0.666	0.094
P15239	0.424	0.356	0.22
P15091	0.48	0.322	0.198
P15532	0.328	0.642	0.03
P15775	0.372	0.51	0.118
P16372	0.29	0.6	0.11
P15243	0.372	0.46	0.168
P15247	0.526	0.336	0.138
P16137	0.374	0.5	0.126
P15507	0.376	0.516	0.108
P15272	0.482	0.436	0.082
P15504	0.42	0.49	0.09
P16417	0.408	0.354	0.238
P15297	0.418	0.354	0.228
P16266	0.362	0.524	0.114
P15211	0.416	0.384	0.2
P15595	0.408	0.44	0.152
P15197	0.47	0.384	0.146
P16253	0.312	0.526	0.162
P15083	0.56	0.23	0.21
P15063	0.558	0.336	0.106
P15075	0.63	0.282	0.088
P15674	0.44	0.48	0.08
P15321	0.368	0.202	0.43
P16541	0.54	0.334	0.126
P16340	0.27	0.692	0.038
P15010	0.508	0.36	0.132
P16448	0.47	0.318	0.212
P15563	0.418	0.534	0.048
P15541	0.464	0.426	0.11
P15706	0.406	0.478	0.116
P15708	0.422	0.442	0.136
P16371	0.296	0.654	0.05
P15329	0.35	0.384	0.266
P15032	0.59	0.342	0.068
P15250	0.42	0.436	0.144
P16554	0.422	0.336	0.242
P15602	0.358	0.496	0.146
P16085	0.346	0.566	0.088
P15549	0.392	0.492	0.116
P15551	0.36	0.482	0.158
P16178	0.364	0.538	0.098
P15145	0.368	0.324	0.308
P15779	0.524	0.38	0.096
P16264	0.342	0.54	0.118
P15021	0.462	0.444	0.094
P15224	0.478	0.362	0.16
P16341	0.282	0.624	0.094
P15553	0.418	0.462	0.12
P15333	0.404	0.354	0.242
P15105	0.394	0.432	0.174
P16478	0.388	0.308	0.304
P16386	0.416	0.474	0.11
P15798	0.448	0.366	0.186
P15960	0.442	0.42	0.138
P16176	0.33	0.512	0.158
P15304	0.534	0.346	0.12
P16184	0.292	0.628	0.08
P16591	0.528	0.356	0.116
P15971	0.51	0.314	0.176
P15267	0.534	0.39	0.076
P15100	0.618	0.302	0.08
P15600	0.308	0.594	0.098
P16200	0.336	0.468	0.196
P15002	0.45	0.48	0.07
P15525	0.486	0.4	0.114
P16190	0.356	0.528	0.116
P15711	0.404	0.44	0.156
P16545	0.414	0.448	0.138
P16567	0.42	0.43	0.15
P15310	0.386	0.342	0.272
P15564	0.332	0.508	0.16
P16494	0.486	0.316	0.198
P15193	0.374	0.394	0.232
P15298	0.554	0.324	0.122
P16555	0.394	0.458	0.148
P16366	0.294	0.604	0.102
P15965	0.402	0.424	0.174
P16603	0.46	0.384	0.156
P16424	0.446	0.382	0.172
P15785	0.376	0.486	0.138
P16126	0.35	0.594	0.056
P15192	0.35	0.32	0.33
P15567	0.444	0.498	0.058
P15582	0.3	0.532	0.168
P15707	0.428	0.496	0.076
P16564	0.468	0.332	0.2
P15521	0.346	0.458	0.196
P16095	0.35	0.458	0.192
P16165	0.288	0.614	0.098
P16391	0.288	0.622	0.09
P15023	0.536	0.312	0.152
P16382	0.408	0.516	0.076
P16286	0.204	0.656	0.14
P15740	0.322	0.562	0.116
P16393	0.31	0.536	0.154
P15038	0.562	0.27	0.168
P15967	0.448	0.388	0.164
P15090	0.618	0.284	0.098
P16215	0.3	0.634	0.066
P15153	0.516	0.358	0.126
P16310	0.312	0.564	0.124
P16298	0.482	0.464	0.054
P16086	0.386	0.458	0.156
P16015	0.358	0.486	0.156
P16563	0.576	0.302	0.122
P15686	0.512	0.368	0.12
P16312	0.388	0.508	0.104
P15585	0.486	0.388	0.126
P15966	0.644	0.262	0.094
P15365	0.366	0.35	0.284
P15768	0.176	0.608	0.216
P15266	0.46	0.314	0.226
P15006	0.46	0.406	0.134
P16447	0.35	0.324	0.326
P16488	0.496	0.276	0.228
P16557	0.598	0.242	0.16
P15756	0.292	0.476	0.232
P16263	0.176	0.554	0.27
P16276	0.448	0.488	0.064
P16160	0.342	0.582	0.076
P16101	0.356	0.56	0.084
P15264	0.498	0.37	0.132
P16519	0.526	0.366	0.108
P15988	0.502	0.354	0.144
P16194	0.304	0.656	0.04
P15712	0.296	0.518	0.186
P16074	0.496	0.442	0.062
P16313	0.258	0.674	0.068
P16577	0.516	0.332	0.152
P16449	0.366	0.316	0.318
P16180	0.32	0.57	0.11
P16373	0.478	0.42	0.102
P16070	0.376	0.498	0.126
P16560	0.458	0.346	0.196
P15580	0.3	0.54	0.16
P16506	0.358	0.446	0.196
P15738	0.394	0.488	0.118
P16228	0.324	0.54	0.136
P16365	0.292	0.612	0.096
P16426	0.382	0.49	0.128
P15277	0.658	0.256	0.086
P16274	0.374	0.528	0.098
P15557	0.632	0.31	0.058
P15427	0.332	0.516	0.152
P16315	0.264	0.692	0.044
P15067	0.374	0.444	0.182
P16537	0.566	0.334	0.1
P15766	0.374	0.528	0.098
P15778	0.4	0.46	0.14
P16539	0.412	0.536	0.052
P16411	0.362	0.418	0.22
P16279	0.296	0.62	0.084
P16182	0.388	0.428	0.184
P15252	0.632	0.242	0.126
P15945	0.398	0.496	0.106
P16174	0.24	0.7	0.06
P15926	0.558	0.358	0.084
P16207	0.374	0.462	0.164
P15921	0.522	0.38	0.098
P15093	0.444	0.396	0.16
P16553	0.648	0.272	0.08
P15506	0.308	0.588	0.104
P16288	0.394	0.488	0.118
P15215	0.618	0.266	0.116
P15231	0.362	0.538	0.1
P15528	0.406	0.45	0.144
P16565	0.51	0.366	0.124
P16520	0.438	0.432	0.13
P16601	0.59	0.262	0.148
P16397	0.262	0.676	0.062
P16146	0.38	0.468	0.152
P16154	0.424	0.47	0.106
P15916	0.498	0.398	0.104
P15795	0.464	0.376	0.16
P15970	0.588	0.292	0.12
P16107	0.328	0.582	0.09
P15084	0.532	0.358	0.11
P15241	0.412	0.548	0.04
P15950	0.418	0.54	0.042
P16256	0.386	0.472	0.142
P16595	0.514	0.404	0.082
P15217	0.484	0.384	0.132
P15587	0.444	0.482	0.074
P15061	0.672	0.24	0.088
P16291	0.398	0.58	0.022
P15581	0.396	0.528	0.076
P15519	0.332	0.566	0.102
P15007	0.604	0.316	0.08
P16250	0.316	0.614	0.07
P16306	0.252	0.626	0.122
P16014	0.43	0.482	0.088
P15053	0.448	0.458	0.094
P15904	0.486	0.314	0.2
P15933	0.436	0.468	0.096
P15996	0.486	0.396	0.118
P15672	0.348	0.506	0.146
P15573	0.38	0.448	0.172
P16396	0.262	0.694	0.044
P15079	0.482	0.43	0.088
P15088	0.458	0.428	0.114
P15570	0.53	0.404	0.066
P15392	0.474	0.37	0.156
P15050	0.554	0.304	0.142
P16059	0.36	0.494	0.146
P15513	0.346	0.584	0.07
P16546	0.506	0.384	0.11
P15495	0.494	0.292	0.214
P16550	0.478	0.358	0.164
P15722	0.36	0.506	0.134
P16001	0.598	0.31	0.092
P15673	0.454	0.414	0.132
P15385	0.392	0.448	0.16
P15596	0.394	0.468	0.138
P15514	0.332	0.528	0.14
P16246	0.324	0.556	0.12
P16261	0.386	0.538	0.076
P15715	0.352	0.594	0.054
P15914	0.438	0.422	0.14
P16211	0.388	0.526	0.086
P15671	0.5	0.328	0.172
