#SampleID	CU	NAU	NCS
P15726	0.358	0.588	0.054
P15071	0.472	0.374	0.154
P15716	0.4	0.484	0.116
P16503	0.322	0.286	0.392
P16462	0.338	0.266	0.396
P16496	0.308	0.306	0.386
P15166	0.348	0.254	0.398
P16370	0.308	0.536	0.156
P16355	0.43	0.406	0.164
P15104	0.396	0.228	0.376
P16536	0.46	0.428	0.112
P15717	0.354	0.464	0.182
P16255	0.38	0.416	0.204
P15679	0.548	0.268	0.184
P15018	0.606	0.3	0.094
P16099	0.236	0.654	0.11
P15109	0.37	0.254	0.376
P15244	0.462	0.372	0.166
P16218	0.3	0.564	0.136
P15718	0.414	0.396	0.19
P15742	0.288	0.56	0.152
P15727	0.404	0.452	0.144
P15082	0.612	0.272	0.116
P15281	0.602	0.322	0.076
P15554	0.336	0.484	0.18
P15073	0.55	0.302	0.148
P15087	0.552	0.31	0.138
P15794	0.436	0.424	0.14
P15969	0.592	0.252	0.156
P15256	0.55	0.376	0.074
P15383	0.322	0.414	0.264
P15085	0.508	0.282	0.21
P15418	0.344	0.266	0.39
P16602	0.576	0.236	0.188
P15069	0.592	0.3	0.108
P15030	0.68	0.266	0.054
P16013	0.358	0.59	0.052
P16473	0.34	0.336	0.324
P15682	0.63	0.234	0.136
P16582	0.502	0.43	0.068
P16543	0.548	0.298	0.154
P15934	0.428	0.472	0.1
P15095	0.594	0.268	0.138
P15540	0.352	0.476	0.172
P16357	0.542	0.33	0.128
P16217	0.278	0.544	0.178
P15954	0.55	0.36	0.09
P15130	0.242	0.468	0.29
P16186	0.284	0.582	0.134
P16235	0.366	0.544	0.09
P16439	0.364	0.394	0.242
P15152	0.384	0.346	0.27
P15149	0.422	0.352	0.226
P15728	0.354	0.514	0.132
P15355	0.406	0.242	0.352
P16464	0.414	0.372	0.214
P16544	0.504	0.326	0.17
P15300	0.358	0.48	0.162
P16354	0.39	0.498	0.112
P15764	0.368	0.516	0.116
P16259	0.372	0.528	0.1
P15425	0.458	0.278	0.264
P15020	0.312	0.598	0.09
P15279	0.42	0.406	0.174
P15959	0.336	0.502	0.162
P15268	0.568	0.306	0.126
P16399	0.37	0.542	0.088
P15205	0.47	0.404	0.126
P16377	0.25	0.674	0.076
P15598	0.298	0.59	0.112
P16106	0.356	0.576	0.068
P15081	0.622	0.19	0.188
P15221	0.506	0.408	0.086
P15168	0.398	0.292	0.31
P15350	0.37	0.33	0.3
P15516	0.342	0.52	0.138
P16148	0.294	0.438	0.268
P15235	0.56	0.296	0.144
P15151	0.35	0.272	0.378
P15324	0.34	0.452	0.208
P15784	0.43	0.3	0.27
