PersonalID	c	r	t
G10107	CUB053	1040	1018.25	5
G11569	CUB053	1077	1081.02	6
G10168	CUB053	1151	1139.58	7
G10575	CUB053	1194	1194	8
G10800	CUB056	339	408.7	0
G10715	CUB056	529	585.94	1
G11518	CUB056	713	711.24	2
G11524	CUB056	794	811.63	3
G10192	CUB056	901	901.88	4
G10155	CUB056	967	979.97	5
G10174	CUB056	1046	1050.88	6
G11516	CUB056	1111	1111	8
G11154	NAU101	226	301.67	0
G11125	NAU101	551	477.2	1
G10989	NAU101	601	603.07	2
G11153	NAU101	739	703.86	3
G11168	NAU101	789	769.53	4
G11169	NAU101	814	836.63	5
G11206	NAU101	866	896.22	6
G11238	NAU101	981	948.5	8
G11278	NAU101	998	998	9
G10969	NAU105	152	183.72	0
G10950	NAU105	274	278.82	1
G10956	NAU105	389	347.99	2
G11172	NAU105	424	399.63	3
G11142	NAU105	456	442.89	5
G10616	NAU105	484	479.64	6
G10655	NAU105	516	516	8
G10975	NAU106	388	377.27	0
G10002	NAU106	623	558.52	1
G10939	NAU106	759	687.41	2
G11124	NAU106	856	786.62	3
G11269	NAU106	918	874.53	4
G10612	NAU106	989	948.89	5
G11195	NAU106	1041	1013.99	6
G11045	NAU106	1085	1072.52	8
G10485	NAU106	1129	1129	9
G10982	NAU107	283	291.33	0
G11236	NAU107	477	450.06	1
G11146	NAU107	519	570.44	3
G11062	NAU107	592	663.36	4
G10664	NAU107	699	742.22	5
G10698	NAU107	795	813.08	6
G11214	NAU107	885	873.85	8
G10489	NAU107	928	928	9
G11143	NAU108	239	354.82	0
G11100	NAU108	480	557.9	1
G10964	NAU108	611	706.78	2
G11184	NAU108	885	834.84	3
G11183	NAU108	986	946.67	4
G11139	NAU108	1029	1044.4	5
G11283	NAU108	1129	1129	6
G11162	NAU109	232	482.88	0
G11117	NAU109	522	692.39	1
G10993	NAU109	721	832.09	2
G11170	NAU109	877	943.64	3
G11148	NAU109	960	1039.67	4
G11228	NAU109	1081	1123.12	5
G11280	NAU109	1177	1196.93	6
G11223	NAU109	1276	1266.99	8
G11211	NAU109	1327	1327	9
G10995	NAU110	522	476.66	0
G10978	NAU110	698	700.22	1
G11174	NAU110	881	849.69	2
G11149	NAU110	990	971.77	3
G11023	NAU110	1087	1077.24	4
G11002	NAU110	1163	1170.56	5
G11010	NAU110	1291	1251.88	6
G10666	NAU110	1351	1328.31	8
G10697	NAU110	1399	1399	9
G10959	NAU114	503	372.47	0
G10928	NAU114	698	558.64	1
G11226	NAU114	807	698.23	2
G10603	NAU114	866	809.79	3
G10605	NAU114	928	902.14	4
G10682	NAU114	1023	982.35	5
G10665	NAU114	1085	1054.59	6
G10968	NAU114	1145	1120.46	8
G10471	NAU114	1178	1178	9
G10962	NAU117	320	377.33	0
G10960	NAU117	524	604.25	1
G11147	NAU117	685	763.15	2
G11122	NAU117	763	891.25	3
G10637	NAU117	915	991.46	6
G10624	NAU117	1012	1085.4	7
G10660	NAU117	1168	1168	8
G10983	NAU119	473	452.94	0
G10980	NAU119	681	663.52	1
G10998	NAU119	809	815.44	2
G10630	NAU119	969	936.8	3
G10604	NAU119	1052	1037.29	5
G11213	NAU119	1114	1121.18	6
G11016	NAU119	1205	1196.2	8
G11484	NAU119	1262	1262	9
G10974	NAU121	251	245.94	0
G10936	NAU121	321	391.2	1
G10929	NAU121	430	492.89	2
G11118	NAU121	459	580.26	3
G10613	NAU121	521	655.24	4
G10621	NAU121	596	719.28	5
G10631	NAU121	741	780.87	6
G11005	NAU121	823	837.08	8
G10449	NAU121	888	888	9
G10906	NAU123	554	509.05	0
G10948	NAU123	782	744.57	1
G11185	NAU123	930	909.31	2
G11014	NAU123	1022	1039.21	4
G10635	NAU123	1152	1150.95	5
G11210	NAU123	1257	1244.94	6
G10961	NAU123	1330	1330.54	8
G10431	NAU123	1408	1408	9
G10931	NAU124	378	391.15	0
G10907	NAU124	568	606.24	1
G11161	NAU124	721	745.36	2
G11065	NAU124	821	862.51	3
G10694	NAU124	909	955.06	4
G10654	NAU124	1002	1037.37	5
G11018	NAU124	1098	1109.48	6
G11063	NAU124	1173	1175.39	8
G10462	NAU124	1234	1234	9
G10992	NAU129	234	304.67	1
G11112	NAU129	345	479.33	2
G11186	NAU129	440	593.46	3
G11217	NAU129	673	685.99	4
G10643	NAU129	818	762.32	5
G11080	NAU129	859	826.16	6
G10662	NAU129	878	880	8
G10402	NAU129	934	934	9
G11136	NAU130	593	504.53	0
G10937	NAU130	787	738.92	1
G11123	NAU130	921	905.93	2
G10615	NAU130	1035	1034.12	3
G10601	NAU130	1117	1142.15	4
G10693	NAU130	1220	1234.75	5
G11019	NAU130	1303	1316.7	7
G11426	NAU130	1374	1390.01	8
G10400	NAU130	1459	1459	9
G10905	NAU132	348	310.97	0
G10927	NAU132	555	478.86	1
G11129	NAU132	676	603.59	2
G11047	NAU132	718	699.79	3
G10640	NAU132	816	781.84	4
G10649	NAU132	897	849.99	5
G11009	NAU132	939	909.13	6
G10625	NAU132	957	961.85	8
G10442	NAU132	1014	1014	9
G10916	NAU133	211	356.95	0
G11163	NAU133	405	507.58	1
G11276	NAU133	542	623.15	2
G11027	NAU133	695	716.88	3
G10610	NAU133	728	790	4
G10684	NAU133	794	856.5	5
G10657	NAU133	891	913.85	7
