PersonalID	c	r	t
T20646	CUB000	183	162.44	0
T20678	CUB000	229	224.37	0.5
T20719	CUB000	281	268.3	1
T20767	CUB000	316	301.54	2
T20893	CUB000	338	329.53	3
T20507	CUB000	352	351.18	4
T20512	CUB000	382	371.24	5
T20537	CUB000	397	390.79	6
T20501	CUB000	402	407.07	7
T20822	CUB000	420	420	8
T20651	CUB003	174	164.02	0
T20690	CUB003	244	226.34	0.5
T20689	CUB003	291	266.72	1
T20757	CUB003	316	296.78	2
T20769	CUB003	343	321.27	3
T20546	CUB003	353	342.63	4
T20559	CUB003	363	360.58	5
T20820	CUB003	379	375.34	6
T20591	CUB003	385	388.45	7
T20804	CUB003	401	401	8
T20688	CUB004	179	159.5	0
T20652	CUB004	226	216.75	0.5
T20715	CUB004	244	255.83	1
T20788	CUB004	277	286.29	2
T20895	CUB004	321	308.64	3
T20862	CUB004	337	326.9	4
T20806	CUB004	345	345.99	5
T20853	CUB004	367	361.14	6
T20816	CUB004	373	374.92	7
T20535	CUB004	388	388	8
T20616	CUB007	163	168.44	0
T20696	CUB007	202	232.87	0.5
T20701	CUB007	251	279.84	1
T20890	CUB007	301	315.31	2
T20798	CUB007	320	343.06	3
T20557	CUB007	356	369.11	4
T20721	CUB007	404	394.01	5
T20570	CUB007	419	413.44	7
T20515	CUB007	432	432	8
T20662	CUB009	204	187.42	0
T20628	CUB009	317	264.33	0.5
T20712	CUB009	341	314.94	1
T20786	CUB009	372	357.07	2
T20879	CUB009	400	388.56	3
T20858	CUB009	429	413.99	4
T20526	CUB009	438	437.33	5
T20560	CUB009	458	458.01	6
T20550	CUB009	480	476.27	7
T20856	CUB009	492	492	8
T20640	CUB010	179	186.06	0
T21000	CUB010	273	252.17	0.5
T20755	CUB010	324	293.71	1
T20752	CUB010	345	326.35	2
T20818	CUB010	371	352.67	3
T20578	CUB010	387	373.91	4
T20860	CUB010	398	392.44	5
T20882	CUB010	407	407.95	6
T20801	CUB010	423	422.49	7
T20527	CUB010	436	436	8
T20669	CUB011	159	153.31	0
T20708	CUB011	196	217.13	1
T20785	CUB011	232	255.05	2
T20889	CUB011	241	283.35	3
T20839	CUB011	269	307.7	5
T20821	CUB011	287	327.72	6
T20577	CUB011	333	344.06	7
T21594	CUB011	360	360	8
T20658	CUB012	151	138.14	0
T20671	CUB012	186	193.55	0.5
T20705	CUB012	219	229.14	1
T20762	CUB012	245	255.16	2
T20898	CUB012	286	278.71	3
T20536	CUB012	309	296.91	4
T20783	CUB012	330	314.22	5
T20539	CUB012	335	329.17	6
T20809	CUB012	342	342.62	7
T20574	CUB012	355	355	8
T20732	CUB015	179	142.88	0
T20702	CUB015	212	207.51	1
T20794	CUB015	274	251.56	2
T20734	CUB015	323	289.08	3
T20505	CUB015	339	319.26	4
T20808	CUB015	354	345.93	5
T20796	CUB015	370	369.86	6
T20594	CUB015	400	387.84	7
T21585	CUB015	409	409	8
T20602	CUB016	256	187.99	0
T20626	CUB016	328	286.24	0.5
T20710	CUB016	350	355.23	1
T20759	CUB016	377	411.18	2
T20884	CUB016	396	464.53	3
T20580	CUB016	411	503.55	5
T20782	CUB016	570	538.35	6
T20573	CUB016	582	573.39	7
T20566	CUB016	614	614	8
T20670	CUB017	98	118.68	0
T20637	CUB017	195	173.21	1
T20779	CUB017	231	220.01	2
T20791	CUB017	276	251.85	3
T20510	CUB017	311	278.38	4
T20531	CUB017	326	299.9	5
T20596	CUB017	343	324.68	6
T20516	CUB017	353	346.87	7
T20517	CUB017	368	368	8
T20621	CUB019	144	174.39	0
T20655	CUB019	227	234.68	1
T20771	CUB019	262	273	2
T20846	CUB019	288	301.98	3
T20530	CUB019	307	324.52	4
T20834	CUB019	332	343.59	5
T20739	CUB019	358	358.54	6
T20735	CUB019	369	372.34	7
T20836	CUB019	384	384	8
T20656	CUB026	177	157.85	0
T20647	CUB026	235	226.49	1
T20717	CUB026	262	271.95	2
T20787	CUB026	304	309.73	3
T20579	CUB026	322	339.61	4
T20896	CUB026	363	367.03	5
T20533	CUB026	377	390.17	7
T20891	CUB026	411	411	8
T20605	CUB027	161	137.57	0
T20677	CUB027	218	193.84	1
T20881	CUB027	234	230.76	2
T20770	CUB027	247	258.66	3
T20581	CUB027	274	281.28	4
T20575	CUB027	290	300.34	5
T20815	CUB027	309	314.98	6
T20565	CUB027	325	327.88	7
T20830	CUB027	339	339	8
T20700	CUB028	117	135.05	0
T20691	CUB028	171	188.55	1
T20756	CUB028	218	223.75	2
T20738	CUB028	247	250.49	4
T20837	CUB028	261	271.08	5
T20885	CUB028	281	289.51	6
T20592	CUB028	298	305.58	7
T20583	CUB028	319	319	8
T20685	CUB029	119	150.23	0
T20726	CUB029	184	219.64	0.5
T20654	CUB029	267	265.79	1
T20749	CUB029	351	311.11	2
T20747	CUB029	391	345.86	3
T20765b	CUB029	429	376.35	5
T20716	CUB029	446	409.85	6
T20598	CUB029	456	437.32	7
T20589	CUB029	464	464	8
T20619	CUB032	92	145.2	0
T20742	CUB032	148	206.14	1
T20784	CUB032	208	244.86	2
T20764	CUB032	259	277.74	3
T20600	CUB032	307	302.63	4
T20523	CUB032	335	326.09	5
T20859	CUB032	347	343.97	6
T20520	CUB032	359	359	8
T20606	CUB033	130	146.01	0
T20693	CUB033	207	218.64	0.5
T20745	CUB033	240	272.05	1
T20778	CUB033	280	315.08	2
T20795	CUB033	319	349.7	3
T20774	CUB033	390	381.87	4
T20851	CUB033	420	405.81	5
T20871	CUB033	445	431.51	6
T20812	CUB033	462	454.93	7
T20571	CUB033	478	478	8
T20634	CUB036	150	139.67	0
T20687	CUB036	203	196.26	0.5
T20697	CUB036	243	235.02	1
T20725	CUB036	259	267.06	2
T20746	CUB036	292	292.54	3
T20529	CUB036	307	314.92	4
T20829	CUB036	317	334.46	5
T20528	CUB036	354	354	6
T20636	CUB037	152	174.55	0
T20684	CUB037	223	235.94	0.5
T20683	CUB037	260	273.21	1
T20800	CUB037	295	301.34	2
T20718	CUB037	323	322.69	3
T20835	CUB037	337	341.65	4
T20887	CUB037	353	358.18	5
T20838	CUB037	366	373.2	6
T20593	CUB037	381	386.35	7
T20519	CUB037	398	398	8
T20649	CUB038	138	194.54	0
T20613	CUB038	244	303.13	0.5
T20740	CUB038	292	394.23	1
T20799	CUB038	317	479.95	2
T20888	CUB038	350	542.77	3
T20847	CUB038	369	603.12	5
T20817	CUB038	715	664.07	6
T20568	CUB038	740	711.71	7
T20502	CUB038	759	759	8
T20614	CUB040	159	161.08	0
T20639	CUB040	213	218.18	0.5
T20627	CUB040	275	256.3	1
T20754	CUB040	290	284.25	2
T20852	CUB040	308	307.55	3
T20524	CUB040	321	326.82	4
T20549	CUB040	344	344.64	5
T20506	CUB040	361	359.95	6
T20843	CUB040	378	374.25	7
T20545	CUB040	388	388	8
T20624	CUB042	123	129.37	0
T20681	CUB042	172	183.82	0.5
T20733	CUB042	229	221.75	1
T20729	CUB042	257	250.39	2
T20873	CUB042	271	275.16	3
T20556	CUB042	284	296.97	4
T20841	CUB042	306	315.03	5
T20599	CUB042	332	332	6
T20547	CUB042	346	347.15	7
T21590	CUB042	361	361	8
T20611	CUB044	168	135.86	0
T20937	CUB044	206	189.68	0.5
T20630	CUB044	228	227.44	1
T20713	CUB044	256	255.43	2
T20831	CUB044	271	278.74	3
T20825	CUB044	290	299.7	5
T20819	CUB044	309	317.79	6
T20552	CUB044	333	334.92	7
T20805	CUB044	350	350	8
T20686	CUB048	135	170.25	0
T20625	CUB048	197	234.02	0.5
T20768	CUB048	244	274.51	1
T20728	CUB048	266	306.11	2
T20803	CUB048	299	330.37	3
T20532	CUB048	322	354.31	4
T20508	CUB048	341	376.83	5
T20823	CUB048	400	396.2	6
T20814	CUB048	416	410.87	7
T20587	CUB048	428	428	8
T20612	CUB049	150	162.27	0
T20680	CUB049	214	221.63	0.5
T20777	CUB049	251	259.17	1
T20842	CUB049	288	287.12	2
T20878	CUB049	303	308.75	3
T20563	CUB049	311	326.58	4
T20828	CUB049	328	341.85	5
T20511	CUB049	348	355.46	6
T20827	CUB049	366	367.3	7
T20866	CUB049	378	378	8
T20632	CUB050	138	145.04	0
T20699	CUB050	192	193.92	1
T20840	CUB050	229	227.95	2
T20849	CUB050	259	253.42	3
T20553	CUB050	267	274.85	4
T20807	CUB050	288	292.29	5
T20569	CUB050	304	308.09	6
T20558	CUB050	321	322.07	7
T21511	CUB050	335	335	8
T20660	CUB052	130	150.25	0
T20941	CUB052	182	199.01	0.5
T20789	CUB052	238	228.01	1
T20743	CUB052	266	250.4	2
T20544	CUB052	277	268.89	3
T20522	CUB052	290	284.71	4
T20824	CUB052	299	299.12	5
T20744	CUB052	312	311.77	6
T20595	CUB052	325	323.28	7
T20854	CUB052	334	334	8
T20603	CUB053	113	146.51	0
T20694	CUB053	179	204.5	0.5
T20714	CUB053	251	241.76	1
T20772	CUB053	276	270.2	2
T20857	CUB053	300	291.77	3
T20543	CUB053	310	310.96	4
T20572	CUB053	326	328.06	5
T20845	CUB053	337	341.69	6
T20513	CUB053	352	354.44	7
T21509	CUB053	366	366	8
T20623	CUB056	117	146.65	0
T20707	CUB056	167	195.71	1
T20869	CUB056	221	231.34	2
T20865	CUB056	250	260.09	3
T20509	CUB056	297	282.5	4
T20540	CUB056	313	303.66	5
T20554	CUB056	323	322.36	6
T20883	CUB056	339	339	8
T20667	CUB061	142	141.38	0
T20676	CUB061	206	215.51	0.5
T20793	CUB061	235	269.04	2
T20900	CUB061	305	312.73	4
T20551	CUB061	341	347.36	5
T20514	CUB061	367	375.74	7
T20588b	CUB061	402	402	8
T21200	NAU101	140	138.6	0
T21196	NAU101	212	190.97	1
T20981	NAU101	250	226.49	2
T21167	NAU101	271	253.09	3
T21155	NAU101	291	275.98	4
T21156	NAU101	304	295.15	5
T21215	NAU101	318	311.84	6
T21273	NAU101	331	326.58	8
T21236	NAU101	339	339	9
T21112	NAU102	145	166.72	0
T21105	NAU102	207	221.71	1
T20983	NAU102	243	256.64	2
T21230	NAU102	268	283.13	3
T21175	NAU102	284	304.52	4
T21163	NAU102	314	322.76	5
T21202	NAU102	338	338	9
T20978	NAU105	117	150.6	0
T20982	NAU105	184	206.52	1
T20949	NAU105	229	242.06	2
T21179	NAU105	261	270.24	3
T21151	NAU105	294	291.86	5
T20216	NAU105	316	310.74	6
T20256	NAU105	327	327	8
T20977	NAU106	152	156.38	0
T20090	NAU106	219	212.71	1
T20984	NAU106	250	249.2	2
T21115	NAU106	275	277.55	3
T21217	NAU106	297	299.8	4
T20204	NAU106	315	318.85	5
T21145	NAU106	335	335.17	6
T21316	NAU106	345	349.39	8
T20302	NAU106	363	363	9
T20963	NAU107	152	177.21	0
T21256	NAU107	221	251.98	1
T20928	NAU107	282	297.94	2
T21160	NAU107	318	331.92	3
T21396	NAU107	337	365.8	4
T20254	NAU107	407	389.26	5
T20275	NAU107	424	411.11	6
T21277	NAU107	432	431.38	8
T20322	NAU107	447	447	9
T21153	NAU108	167	197.75	0
T21103	NAU108	258	269.3	1
T20948	NAU108	292	313.38	2
T21177	NAU108	325	345.82	3
T21178	NAU108	364	372.46	4
T21191	NAU108	386	394.58	5
T21275	NAU108	413	413	6
T21164	NAU109	232	201.98	0
T21113	NAU109	283	264.63	1
T20997	NAU109	314	305.37	2
T21184	NAU109	335	335.09	3
T21195	NAU109	362	359.6	4
T21212	NAU109	377	380.67	5
T21250	NAU109	388	399.14	6
T21296	NAU109	409	415.77	8
T21243	NAU109	431	431	9
T20996	NAU110	164	168.23	0
T20992	NAU110	216	225.66	1
T21173	NAU110	250	265.91	2
T21119	NAU110	282	297.75	3
T21354	NAU110	304	321.76	4
T21333	NAU110	331	342.39	5
T21308	NAU110	337	360.62	6
T20255	NAU110	384	378.01	8
T20285	NAU110	392	392	9
T20910	NAU114	150	160.41	0
T20926	NAU114	218	220.87	1
T21252	NAU114	245	260.37	2
T20211	NAU114	274	290.44	3
T20221	NAU114	316	316.13	4
T20278	NAU114	331	336.5	5
