PersonalID	c	r	t
T20292	NAU114	358	355.06	6
T20973	NAU114	377	371.1	8
T20363	NAU114	386	386	9
T20942	NAU117	179	152.4	0
T20966	NAU117	259	233.06	1
T21116	NAU117	290	291.84	2
T21125	NAU117	310	334.5	3
T20249	NAU117	352	374.41	6
T20222	NAU117	378	408.21	7
T20262	NAU117	437	437.49	8
T21118	NAU117	462	462	9
T20998	NAU119	153	155.2	0
T20999	NAU119	213	220.95	1
T20945	NAU119	252	263.6	2
T20265	NAU119	281	298.49	3
T20215	NAU119	327	325.76	5
T21201	NAU119	348	349.3	6
T21320	NAU119	364	369.09	8
T21453	NAU119	385	385	9
T20976	NAU121	137	155.6	0
T20967	NAU121	229	218.51	1
T20930	NAU121	280	259.77	2
T21139	NAU121	302	293.51	3
T20208	NAU121	328	320.48	4
T20217	NAU121	347	343.01	5
T20232	NAU121	363	363.35	6
T21305	NAU121	380	380.87	8
T20318	NAU121	396	396	9
T20912	NAU123	183	185.9	0
T20952	NAU123	287	262.94	1
T21174	NAU123	339	317.39	2
T20298	NAU123	363	356.7	3
T21324	NAU123	418	386.1	4
T20245	NAU123	440	413.59	5
T21299	NAU123	450	436.08	6
T20960	NAU123	457	456.64	8
T20379	NAU123	475	475	9
T20917	NAU124	151	149.36	0
T20935	NAU124	217	203.96	1
T21120	NAU124	260	238.36	2
T21307	NAU124	285	265.89	3
T20286	NAU124	301	287.36	4
T20240	NAU124	322	306.51	5
T21325	NAU124	329	323.09	6
T21310	NAU124	341	337.19	8
T20365	NAU124	350	350	9
T20907	NAU129	143	157.58	0
T20940	NAU129	237	232.68	1
T21107	NAU129	319	282.48	2
T21143	NAU129	346	315.46	3
T21282	NAU129	392	345.8	4
T20234	NAU129	402	372.34	5
T21389	NAU129	416	394.95	6
T20248	NAU129	423	415.46	8
T20391	NAU129	434	434	9
T21102	NAU130	185	165.78	0
T20971	NAU130	273	236.1	1
T21110	NAU130	295	282.89	2
T20213	NAU130	355	323.96	3
T20223	NAU130	384	352.86	4
T20288	NAU130	417	380.23	5
T21317	NAU130	425	401.94	7
T21408	NAU130	433	421.05	8
T20386	NAU130	441	441	9
T20906	NAU132	246	249.14	0
T20956	NAU132	308	328.02	1
T21147	NAU132	361	378.55	2
T21318	NAU132	409	416.03	3
T20271	NAU132	445	445.7	4
T20246	NAU132	474	470.76	5
T21331	NAU132	502	492.35	6
T20224	NAU132	518	512.56	8
T20312	NAU132	532	532	9
T20946	NAU133	151	132.83	0
T21128	NAU133	201	185.84	1
T21264	NAU133	226	222.57	2
T21367	NAU133	253	251.42	3
T20225	NAU133	264	274.52	4
T20290	NAU133	276	294.26	5
T20264	NAU133	312	312	7
T20918	NAU134	132	141.61	0
T20968	NAU134	196	198.52	1
T20920	NAU134	222	234.02	2
T21193	NAU134	253	261.46	3
T20235	NAU134	275	284.5	4
T20269	NAU134	301	303.24	6
T20393	NAU134	319	319	8
T20959	NAU136	131	150.81	0
T20194	NAU136	185	229.77	1
T21142	NAU136	241	296.01	2
T21347	NAU136	274	345.11	3
T20205	NAU136	291	383.95	4
T20280	NAU136	477	436.48	5
T20293	NAU136	494	469.97	6
T20335	NAU136	504	504	9
T20951	NAU137	93	127.46	0
T21312	NAU137	146	179.41	3
T20244	NAU137	206	214.67	4
T20207	NAU137	230	242.56	5
T20266	NAU137	247	263.03	6
T20986	NAU137	285	279.39	8
T20905	NAU137	295	295	9
T20923	NAU139	156	155.08	0
T21134	NAU139	213	225.92	1
T21140	NAU139	297	272	2
T21219	NAU139	327	309.63	3
T20206	NAU139	344	338.43	4
T20300	NAU139	371	368.31	5
T20228	NAU139	393	390.07	7
T20989	NAU139	422	414.39	8
T20964	NAU139	441	441	9
T20902	NAU144	158	151.11	0
T21188	NAU144	198	202.77	2
T21172	NAU144	238	236.73	3
T21181	NAU144	255	263.23	4
T21182	NAU144	276	285.37	5
T21131	NAU144	287	304.5	7
T21111	NAU144	318	321.22	8
T21180	NAU144	335	335	9
T21157	NAU148	162	152.34	0
T20947	NAU148	207	207	1
T21357	NAU148	231	243.83	2
T20267	NAU148	246	274.09	4
T20202	NAU148	261	295.23	5
T21289	NAU148	318	316.34	6
T20400	NAU148	332	334.63	8
T20383	NAU148	351	351	9
T21121	NAU149	131	151.33	0
T21197	NAU149	214	201.79	1
T21207	NAU149	258	237.73	2
T21392	NAU149	281	269.27	3
T20238	NAU149	295	293.57	4
T20259	NAU149	315	313.17	5
T20297	NAU149	326	331.36	7
T20373	NAU149	345	346.24	8
T20314	NAU149	360	360	9
T20903	NAU150	166	160.41	0
T21189	NAU150	212	222.25	1
T21232	NAU150	258	264.83	2
T21369	NAU150	325	300.98	3
T20242	NAU150	347	329.57	4
T20263	NAU150	372	357.73	5
T20294	NAU150	390	380.82	7
T20326	NAU150	408	401.06	8
T20315	NAU150	417	417	9
T21154	NAU153	145	131.64	0
T20909	NAU153	191	177.5	1
T20929	NAU153	217	209.18	2
T21122	NAU153	230	233.18	3
T20273	NAU153	251	251.44	4
T20214	NAU153	258	268.17	5
T20296	NAU153	276	282.83	6
T20303	NAU153	297	297	9
T20291	NAU154	182	167.18	0
T20936	NAU154	281	235	1
T21108	NAU154	327	284.11	2
T21170	NAU154	356	318.8	3
T20282	NAU154	367	350.56	4
T20239	NAU154	395	376.12	5
T20231	NAU154	408	398.52	6
T21306	NAU154	420	419.03	8
T20972	NAU154	438	438	9
T20919	NAU155	130	136.37	0
T20916	NAU155	167	188.52	1
T20913	NAU155	217	223.84	2
T21355	NAU155	246	250.74	3
T20233	NAU155	262	271.41	4
T20261	NAU155	271	289.05	5
T21141	NAU155	308	304.69	6
T20316	NAU155	321	318.01	8
T20353	NAU155	330	330	9
T20915	NAU156	207	196.85	0
T20970	NAU156	255	275.4	1
T21138	NAU156	305	331.63	2
T21338	NAU156	355	376.92	3
T21372	NAU156	415	416.73	4
T20270	NAU156	438	447.8	5
T21302	NAU156	480	480	8
T20993	NAU157	127	132.77	0
T21166	NAU157	172	180.64	1
T21185	NAU157	194	211.8	2
T21194	NAU157	218	236.25	3
T20209	NAU157	245	256.89	4
T20276	NAU157	262	274.63	5
T21314	NAU157	279	290.17	6
T20390	NAU157	303	303.5	8
T21280	NAU157	317	317	9
T20965	NAU159	170	163.93	0
T20975	NAU159	217	225.66	1
T21104	NAU159	251	264.47	2
T21199	NAU159	269	297.16	3
T20272	NAU159	304	322.73	4
T20220	NAU159	323	342.56	5
T21385	NAU159	366	359.74	6
T20299	NAU159	374	375.17	8
T20370	NAU159	389	389	9
T21148	NAU160	156	166	0
T21127	NAU160	218	235.82	1
T21267	NAU160	259	280.46	2
T21359	NAU160	301	314.54	3
T20212	NAU160	330	343.04	4
T20258	NAU160	358	366.42	5
T20268	NAU160	394	387.76	8
T21265	NAU160	407	407	9
T21159	NAU161	196	159.32	0
T20957	NAU161	245	225.63	1
T20279	NAU161	284	265.43	4
T20219	NAU161	300	295.43	5
T20277	NAU161	322	320.19	7
T21421	NAU161	345	341.07	8
T21203	NAU161	361	361	9
T20924	NAU164	181	174.16	0
T20974	NAU164	311	250.71	1
T21149	NAU164	332	306.23	2
T21327	NAU164	359	346.27	3
T20295	NAU164	386	376.22	4
T20237	NAU164	411	403.36	5
T21335	NAU164	427	427	6
T20062	NCS203	104	122.46	0
T21457	NCS203	145	157.92	1
T21432	NCS203	158	181.25	2
T21019	NCS203	190	199.6	3
T21484	NCS203	203	215.33	5
T21068	NCS203	219	228.25	6
T21055	NCS203	232	239.29	7
T21449	NCS203	248	249.23	8
T21486	NCS203	258	258	9
T20092	NCS204	98	127.36	0
T20004	NCS204	145	180.51	1
T21407	NCS204	181	213.18	2
T21054	NCS204	195	243.75	3
T21479	NCS204	217	269.2	5
T21011	NCS204	233	293.5	6
T21049	NCS204	251	315.06	7
T21500	NCS204	264	333.66	8
T21037	NCS204	357	357	9
T21413	NCS210	135	170.41	0
T20095	NCS210	206	248.52	1
T21443	NCS210	258	298.89	2
T21416	NCS210	311	341.71	3
T21465	NCS210	343	376.51	5
T21029	NCS210	370	405.97	6
T21042	NCS210	406	433.17	7
T21086	NCS210	456	456	9
T20079	NCS212	167	183.3	0
T20064	NCS212	234	261.79	1
T21455	NCS212	271	319.61	2
T21436	NCS212	314	361.52	3
T21492	NCS212	340	395.42	5
T21071	NCS212	395	426.41	6
T21406	NCS212	447	454.13	7
T21494	NCS212	476	476	9
T20468	NCS213	126	137.5	0
T20069	NCS213	186	187.94	1
T20477	NCS213	213	220.99	2
T20458	NCS213	240	246.01	3
T20423	NCS213	258	266.21	5
T20401	NCS213	282	284.06	6
T20467	NCS213	292	298.24	7
T20406	NCS213	311	311	8
T20452	NCS214	148	143.74	0
T21471	NCS214	218	212.44	1
T20480	NCS214	259	258.4	2
T20457	NCS214	305	292.6	5
T20442	NCS214	323	321.07	6
T20439	NCS214	347	343.75	7
T20446	NCS214	367	364.93	8
T20469	NCS214	383	383	9
T20454	NCS233	128	147.24	0
T21423	NCS233	190	208.17	2
T20478	NCS233	263	251.73	3
T20444	NCS233	286	287.67	5
T20407	NCS233	326	318.25	6
T20447	NCS233	361	343.56	7
T20438	NCS233	375	367.46	8
T20414	NCS233	388	388	9
T20465	NCS234	124	156.77	0
T20098	NCS234	205	214.35	1
T20485	NCS234	237	255.39	2
T20433	NCS234	313	287.92	3
T20424	NCS234	348	314.75	5
T20417	NCS234	360	338.29	6
T20499	NCS234	368	357.4	7
T20443	NCS234	381	375.77	8
T20427	NCS234	395	395	9
T21417	NCS236	140	207.13	0
T20083	NCS236	226	307.63	1
T20471	NCS236	351	380.78	2
T20497	NCS236	407	434.95	3
T20430	NCS236	505	481.23	5
T20410	NCS236	543	523.82	6
T20484	NCS236	596	564.61	7
T20428	NCS236	623	598.69	8
T20449	NCS236	632	632	9
T21025	NCS243	142	166.82	0
T21475	NCS243	219	239.11	1
T21044	NCS243	275	286.15	2
T21048	NCS243	306	321.53	3
T21033	NCS243	324	352	5
T21488	NCS243	345	378.36	6
T21052	NCS243	372	399.44	8
T21094	NCS243	422	422	9
T21023	NCS248	67	133.67	0
T21064	NCS248	171	185.14	1
T21467	NCS248	212	219.32	2
T21434	NCS248	236	245.73	3
T21402	NCS248	262	268.12	5
T21004	NCS248	276	286.8	6
T21495	NCS248	301	303.4	8
T21066	NCS248	318	318	9
T20074	NCS253	126	160.43	0
T21091	NCS253	199	226	1
T21438	NCS253	255	269.41	2
T21472	NCS253	292	301.39	3
T21081	NCS253	312	331.95	5
T21063	NCS253	338	353.82	6
T21480	NCS253	380	371.86	7
T21013	NCS253	395	388.22	8
T21490	NCS253	404	404	9
T21007	NCS255	117	141.97	0
T21043	NCS255	195	192.87	1
T21038	NCS255	221	227.48	2
T21430	NCS255	243	255.01	3
T21448	NCS255	261	276.59	5
T21498	NCS255	278	294.92	6
T21433	NCS255	298	309.99	7
T21020	NCS255	324	323.96	8
T21468	NCS255	337	337	9
T21003	NCS263	138	133.96	1
T21482	NCS263	186	194.74	2
T21451	NCS263	232	232.9	5
T21045	NCS263	258	264.06	6
T21441	NCS263	290	289.69	7
T21452	NCS263	309	310.58	8
T21425	NCS263	330	330	9
