PersonalID	c	r	t
P15260	CUB000	559	615.12	0
P15222	CUB000	1060	949.3	0.5
P15976	CUB000	1352	1202.38	1
P15923	CUB000	1474	1395.23	2
P16504	CUB000	1617	1595.71	3
P15076	CUB000	1681	1770.15	4
P15091	CUB000	1783	1913.03	5
P15096	CUB000	1970	2046.53	6
P15077	CUB000	2109	2175.18	7
P16581	CUB000	2300	2300	8
P15267	CUB003	280	466.49	0
P15272	CUB003	475	843.88	0.5
P15205	CUB003	909	1155.58	1
P15909	CUB003	1191	1452.3	2
P15945	CUB003	1253	1673.93	3
P15052	CUB003	1395	1898.96	4
P15025	CUB003	1664	2124.63	5
P16600	CUB003	2250	2311.41	6
P15007	CUB003	2403	2507.94	7
P16576	CUB003	2689	2689	8
P15231	CUB004	473	527.11	0
P15264	CUB004	734	876.59	0.5
P15989	CUB004	1042	1150.42	1
P15920	CUB004	1213	1385.65	2
P16507	CUB004	1583	1588.23	3
P16539	CUB004	1718	1764.83	4
P16546	CUB004	1841	1971.59	5
P16526	CUB004	1954	2125.9	6
P16597	CUB004	2289	2275.14	7
P15074	CUB004	2406	2406	8
P15279	CUB007	280	401.23	0
P15996	CUB007	536	664.9	1
P16519	CUB007	774	872.2	2
P15939	CUB007	1120	1060.98	3
P15981	CUB007	1239	1219.74	5
P16533	CUB007	1495	1383.1	6
P15067	CUB007	1594	1528.7	7
P15093	CUB007	1653	1653	8
P15249	CUB008	420	490.8	0
P15237	CUB008	944	778.09	0.5
P15953	CUB008	1089	1015.67	1
P15954	CUB008	1257	1208.58	2
P16542	CUB008	1379	1386.13	4
P15090	CUB008	1451	1541.28	5
P15948	CUB008	1565	1688.45	6
P15072	CUB008	1777	1816.02	7
P15032	CUB008	1952	1952	8
P15245	CUB009	1178	673.15	0
P15247	CUB009	1594	1111.87	0.5
P15968	CUB009	2014	1460.21	1
P15910	CUB009	2223	1764.77	2
P16551	CUB009	2353	2020.88	3
P16538	CUB009	2491	2302.28	4
P15088	CUB009	2574	2507.21	5
P15027	CUB009	2785	2696.3	7
P16560	CUB009	2879	2879	8
P15250	CUB010	359	337.76	0
P15504	CUB010	489	563.8	0.5
P15957	CUB010	653	735.35	1
P15963	CUB010	929	880.27	2
P16555	CUB010	1115	1024.44	3
P16550	CUB010	1194	1155.21	5
P16530	CUB010	1305	1274.98	6
P16595	CUB010	1389	1389	7
P15223	CUB011	374	431.08	0
P15966	CUB011	656	688.61	1
P15914	CUB011	832	899.69	2
P16577	CUB011	1004	1080.39	5
P16553	CUB011	1156	1241.08	6
P15005	CUB011	1312	1382.94	7
P15683	CUB011	1513	1513	8
P15229	CUB012	487	465.29	0
P15240	CUB012	912	733.33	0.5
P15988	CUB012	1186	934.6	1
P15938	CUB012	1302	1097.16	2
P16516	CUB012	1445	1243.14	3
P15050	CUB012	1499	1385.81	4
P15926	CUB012	1562	1509.22	5
P15083	CUB012	1625	1629.48	6
P16601	CUB012	1672	1731.67	7
P15010	CUB012	1835	1835	8
P15950	CUB015	367	440.83	0
P16001	CUB015	709	742.12	1
P15921	CUB015	904	958.83	2
P15977	CUB015	1034	1162.01	3
P15100	CUB015	1197	1343.04	4
P16587	CUB015	1334	1498.17	5
P15933	CUB015	1453	1644.58	6
P15028	CUB015	1643	1783.77	7
P15686	CUB015	1914	1914	8
P15278	CUB016	364	387.36	0
P15263	CUB016	596	643.93	0.5
P15925	CUB016	857	862.92	2
P16535	CUB016	1009	1049.58	3
P15002	CUB016	1179	1217.96	5
P15013	CUB016	1443	1368.04	7
P15042	CUB016	1505	1505	8
P15230	CUB017	425	575.3	0
P15271	CUB017	589	933.98	1
P15930	CUB017	861	1242.01	2
P15916	CUB017	1048	1502.02	3
P15089	CUB017	1312	1747.21	4
P15064	CUB017	1462	1935.77	5
P15016	CUB017	1596	2155.22	6
P15082	CUB017	2343	2320.3	7
P15061	CUB017	2488	2488	8
P15266	CUB019	358	430.27	0
P15234	CUB019	626	683.67	1
P15915	CUB019	818	880.62	2
P16547	CUB019	934	1044.02	3
P15051	CUB019	1086	1196.96	4
P16584	CUB019	1192	1337.03	5
P15970	CUB019	1461	1456.99	6
P15971	CUB019	1578	1570.32	7
P16575	CUB019	1670	1670	8
P15277	CUB026	219	339.04	0
P15258	CUB026	426	532.98	1
