PersonalID	c	r	t
P15999	CUB026	559	694.45	2
P15932	CUB026	697	833.57	3
P15036	CUB026	962	948.29	4
P16527	CUB026	1045	1043.39	5
P15054	CUB026	1159	1142.33	7
P16524	CUB026	1239	1239	8
P15295	CUB027	409	365.92	0
P15213	CUB027	594	578.97	1
P16508	CUB027	692	737.14	2
P15919	CUB027	843	880.19	3
P15021	CUB027	956	1004.29	4
P15047	CUB027	1085	1108.13	5
P16586	CUB027	1168	1203.39	6
P15039	CUB027	1268	1291.6	7
P16557	CUB027	1377	1377	8
P15207	CUB028	498	429.22	0
P15201	CUB028	793	696.08	1
P15990	CUB028	900	901.63	4
P16590	CUB028	1143	1087.98	5
P16531	CUB028	1261	1250.41	6
P15003	CUB028	1396	1382.54	7
P15001	CUB028	1518	1518	8
P15289	CUB029	542	396.78	0
P16000	CUB029	699	654.79	0.5
P15253	CUB029	916	840.27	1
P15959	CUB029	1015	998.08	2
P15942	CUB029	1183	1156.74	3
P15934	CUB029	1255	1289.61	5
P15965	CUB029	1341	1400.89	6
P15008	CUB029	1478	1524.45	7
P15023	CUB029	1636	1636	8
P15294	CUB033	469	436.68	0
P15209	CUB033	791	702.72	0.5
P15956	CUB033	980	908.09	1
P15928	CUB033	1069	1100.32	2
P15922	CUB033	1207	1262.15	3
P15935	CUB033	1386	1408.32	4
P16591	CUB033	1479	1547.98	5
P16541	CUB033	1608	1668.75	6
P16603	CUB033	1715	1784.46	7
P15038	CUB033	1892	1892	8
P15257	CUB037	352	391.8	0
P15211	CUB037	680	642.26	0.5
P15217	CUB037	832	838.71	1
P15904	CUB037	957	1009.43	2
P15985	CUB037	1102	1160.78	3
P16554	CUB037	1220	1292.83	4
P16534	CUB037	1432	1415.54	5
P16537	CUB037	1528	1527.04	6
P15071	CUB037	1636	1636	8
P15252	CUB038	472	534.06	0
P15275	CUB038	787	881.17	0.5
P15972	CUB038	1061	1168.15	1
P15908	CUB038	1222	1440.18	2
P16506	CUB038	1361	1659.49	3
P16565	CUB038	1532	1878.74	5
P15081	CUB038	2154	2078.81	7
P15075	CUB038	2276	2276	8
P15283	CUB040	460	583.24	0
P15297	CUB040	825	958.16	0.5
P15224	CUB040	1048	1226.46	1
P15955	CUB040	1160	1464.98	2
P16572	CUB040	1344	1676.55	3
P15086	CUB040	1473	1865.51	4
P15020	CUB040	1858	2023.74	5
P15060	CUB040	2020	2162.23	6
P16602	CUB040	2362	2322.57	7
P15045	CUB040	2453	2453	8
P15256	CUB042	1072	1001.68	0
P15221	CUB042	1447	1575.36	0.5
P15997	CUB042	1760	1990.7	1
P15962	CUB042	1925	2325.03	2
P16536	CUB042	2252	2618.61	3
P15073	CUB042	2734	2871.54	4
P16582	CUB042	2888	3076.32	5
P15018	CUB042	3209	3279.95	6
P15087	CUB042	3322	3468.58	7
P15679	CUB042	3656	3656	8
P15269	CUB044	272	451.99	0
P15556	CUB044	757	749.82	0.5
P15251	CUB044	1012	976.2	1
P15993	CUB044	1244	1183.35	2
P16552	CUB044	1494	1365.49	3
P15031	CUB044	1590	1517.59	4
P16579	CUB044	1654	1668.7	5
P15043	CUB044	1798	1805.7	7
P16561	CUB044	1923	1923	8
P15208	CUB048	789	630.59	0
P15268	CUB048	1110	989.3	0.5
P15978	CUB048	1443	1243.8	1
P15951	CUB048	1676	1459.34	2
P16568	CUB048	1733	1637.37	3
P15098	CUB048	1836	1792.87	4
P15068	CUB048	1992	1949.3	5
P16562	CUB048	2174	2079.39	6
P16598	CUB048	2298	2216.74	7
P15024	CUB048	2330	2330	8
P15281	CUB050	1126	782.61	0
P15200	CUB050	1400	1190.44	1
P16559	CUB050	1651	1534.26	2
P16566	CUB050	1852	1838.13	3
P15030	CUB050	2042	2071.12	4
P16569	CUB050	2429	2279.44	5
P15011	CUB050	2591	2463.39	6
P15037	CUB050	2715	2630.13	7
P15618	CUB050	2796	2796	8
P15244	CUB051	744	951.22	0
P15969	CUB051	1343	1508.83	0.5
P15912	CUB051	1735	1936.75	1
P16545	CUB051	1939	2256.63	2
P16544	CUB051	2411	2551.9	5
P15058	CUB051	2568	2816.61	7
P15682	CUB051	3067	3067	8
P15235	CUB052	533	634.97	0
P15539	CUB052	937	983.66	0.5
P15949	CUB052	1229	1240.98	1
P15964	CUB052	1408	1467.8	2
P15048	CUB052	1539	1660.83	3
P15069	CUB052	1755	1846.93	4
P16578	CUB052	2081	2030.53	5
P15979	CUB052	2220	2181.1	6
P15019	CUB052	2400	2329.85	7
P16528	CUB052	2466	2466	8
P15284	CUB053	342	382.67	0
P15215	CUB053	483	606.8	0.5
P16003	CUB053	812	791.04	1
P15936	CUB053	889	947.55	2
P16556	CUB053	990	1081.33	3
P15056	CUB053	1163	1207.77	4
P15012	CUB053	1290	1325.1	5
P16563	CUB053	1453	1436.74	6
P15066	CUB053	1534	1534	7
P15280	CUB056	369	459.67	0
P15998	CUB056	608	714.7	1
P16523	CUB056	815	923.91	2
P16521	CUB056	1000	1098.64	3
P15092	CUB056	1082	1266.13	4
P15063	CUB056	1288	1406.9	5
P15095	CUB056	1479	1537.07	6
P16525	CUB056	1658	1658	8
P16309	NAU101	496	662.27	0
P16403	NAU101	696	999.06	1
P15516	NAU101	932	1262.96	2
P16314	NAU101	1222	1458	3
P16336	NAU101	1523	1621.95	4
P16347	NAU101	1798	1773.21	5
P16163	NAU101	1924	1905.17	6
P16169	NAU101	2040	2027.23	8
P16149	NAU101	2137	2137	9
P15514	NAU105	322	365.22	0
P15553	NAU105	557	589.58	1
P15547	NAU105	661	766.53	2
P16334	NAU105	858	906.11	3
P16350	NAU105	995	1037.07	5
P15781	NAU105	1128	1149.42	6
P15723	NAU105	1256	1256	8
P15521	NAU106	433	405.84	0
P15561	NAU106	660	640.1	2
P16383	NAU106	853	823.13	3
P16154	NAU106	1020	975.62	4
P15798	NAU106	1120	1114.67	5
P16342	NAU106	1234	1237.3	6
P16065	NAU106	1346	1346.75	8
P16303	NAU106	1449	1449	9
P16315	NAU109	407	401.36	0
P16399	NAU109	653	667.14	1
P16326	NAU109	801	891.32	3
P16340	NAU109	909	1059	4
P16174	NAU109	1061	1218.93	5
P16186	NAU109	1370	1347.55	6
P16157	NAU109	1493	1465.56	8
P16187	NAU109	1598	1598	9
P15520	NAU110	845	1174.02	0
P15554	NAU110	1481	1901.56	1
P16310	NAU110	2180	2387.21	2
P16370	NAU110	3036	2819.49	3
P16066	NAU110	3313	3188.71	4
P16099	NAU110	3730	3504.05	5
P16086	NAU110	3883	3778.28	6
P15728	NAU110	4129	4022.8	8
P15712	NAU110	4262	4262	9
P15519	NAU121	300	368.98	0
P15563	NAU121	524	620.33	1
P15569	NAU121	730	817.96	2
P16371	NAU121	922	986.22	3
P15777	NAU121	1069	1138.02	5
P15747	NAU121	1252	1275.82	6
P16101	NAU121	1442	1406.33	8
P16262	NAU121	1525	1525	9
P15599	NAU123	347	474.7	0
P15548	NAU123	514	776.05	1
P16313	NAU123	897	1026.59	2
P15710	NAU123	1048	1218.02	3
P16089	NAU123	1309	1388.63	4
P15757	NAU123	1401	1540.97	5
P16176	NAU123	1479	1685.77	6
P15531	NAU123	1685	1817.94	8
P16222	NAU123	1934	1934	9
P15592	NAU132	251	307.47	0
P15568	NAU132	673	440.45	1
P16364	NAU132	732	541.25	2
P16097	NAU132	787	623.69	3
P15745	NAU132	823	707.82	4
P15760	NAU132	868	791.89	5
P16091	NAU132	894	863.8	6
P15768	NAU132	924	931.63	8
P16263	NAU132	976	976	9
P15598	NAU133	368	426.49	0
P16377	NAU133	627	661.83	1
P16158	NAU133	856	833.13	2
P16088	NAU133	977	971.09	3
P15782	NAU133	1095	1095.35	4
P15731	NAU133	1205	1203.16	7
P16297	NAU133	1296	1299.69	8
P16284	NAU133	1386	1386	9
P15591	NAU134	414	318.54	0
P15557	NAU134	526	522.72	1
P15575	NAU134	716	688.09	2
P16357	NAU134	845	834.85	3
P15771	NAU134	989	967.13	4
P15711	NAU134	1098	1089.8	6
P16248	NAU134	1208	1208	8
P15581	NAU136	335	373.24	0
P15703	NAU136	569	603.42	1
P16382	NAU136	776	786.82	2
P16074	NAU136	930	949.57	3
P15725	NAU136	1053	1091.03	5
P15715	NAU136	1133	1230.74	6
P16070	NAU136	1359	1359	8
P15594	NAU147	832	670.98	0
P16190	NAU147	1186	1080.53	1
P16400	NAU147	1542	1397.74	3
P16392	NAU147	1700	1664.66	4
P15705	NAU147	1950	1902.35	5
P15750	NAU147	2171	2108.4	6
P16126	NAU147	2292	2292	9
P16312	NAU148	565	721.36	0
P15585	NAU148	908	1183.07	1
P16094	NAU148	1202	1543.71	2
P15796	NAU148	1503	1839.96	4
P15787	NAU148	1824	2125.09	5
P16217	NAU148	2213	2407.27	8
P16204	NAU148	2649	2649	9
P16391	NAU149	575	588.91	0
P16339	NAU149	877	913.38	1
P16165	NAU149	1190	1165.92	2
P16015	NAU149	1386	1370.1	3
P15774	NAU149	1528	1557.81	4
P15740	NAU149	1629	1711.84	5
P15726	NAU149	1809	1862.87	7
P16215	NAU149	2006	2005.79	8
P16286	NAU149	2139	2139	9
P15600	NAU150	494	569.56	0
P16337	NAU150	1026	932.42	1
P16180	NAU150	1399	1230.07	2
P16014	NAU150	1520	1456.3	3
P15766	NAU150	1690	1668.84	4
P15724	NAU150	1900	1843.75	5
P15717	NAU150	2032	2010.63	7
P16287	NAU150	2190	2169.57	8
P16270	NAU150	2321	2321	9
P15803	NAU154	332	395.87	0
P16369	NAU154	585	641.91	2
P16317	NAU154	785	841.48	3
P15716	NAU154	981	1010	4
P15784	NAU154	1111	1159.48	5
P15799	NAU154	1291	1296.59	6
P15532	NAU154	1419	1419	9
P15587	NAU155	694	568.2	0
P15582	NAU155	993	931.54	1
P15566	NAU155	1491	1244.52	2
P16098	NAU155	1669	1502.29	3
P15770	NAU155	1860	1726.35	4
P15743	NAU155	2100	1944.64	5
P16396	NAU155	2232	2155.89	6
P16299	NAU155	2402	2335.18	8
P16247	NAU155	2508	2508	9
P15513	NAU157	437	527.56	0
P16332	NAU157	832	866.79	1
P16321	NAU157	1082	1139.13	2
P16345	NAU157	1310	1372	3
P15790	NAU157	1522	1581.66	4
P15727	NAU157	1740	1773.42	5
P16078	NAU157	1871	1946.7	6
P16214	NAU157	2056	2107.78	8
P16173	NAU157	2265	2265	9
P16360	NAU160	469	493.83	1
P16178	NAU160	811	788.32	2
P16062	NAU160	1025	1004.08	3
P15779	NAU160	1163	1184.99	4
P15749	NAU160	1301	1338.89	5
P15732	NAU160	1469	1479.16	8
P16148	NAU160	1600	1600	9
P15546	NAU164	670	681.48	0
P15567	NAU164	949	1085.95	1
P16354	NAU164	1296	1381.19	2
P16083	NAU164	1689	1657.17	3
P15783	NAU164	1850	1881.54	4
P15748	NAU164	1972	2069.02	5
P16063	NAU164	2249	2249	6
P15425	NCS203	428	604.1	0
P16439	NCS203	861	1036.3	1
P16494	NCS203	999	1358.05	2
P15395	NCS203	1650	1711.15	3
P16414	NCS203	1810	1957.6	5
P15336	NCS203	1922	2202.49	6
P15355	NCS203	2690	2450.22	7
P16440	NCS203	2793	2648.5	8
P16404	NCS203	2868	2868	9
P15415	NCS204	411	384.13	0
P15495	NCS204	592	626.33	1
P16478	NCS204	810	825.41	2
P16467	NCS204	1018	997.05	5
P15368	NCS204	1250	1162.34	6
P15348	NCS204	1348	1308.39	7
P15333	NCS204	1440	1440	9
P16502	NCS210	564	437.92	0
P15413	NCS210	781	646.77	1
P16447	NCS210	924	836.54	2
P16449	NCS210	990	996.69	3
P16503	NCS210	1055	1127.02	5
P15342	NCS210	1192	1237.99	6
P15325	NCS210	1258	1347.62	7
P15327	NCS210	1445	1445	9
P15420	NCS212	329	379.41	0
P15427	NCS212	584	624.9	1
P16488	NCS212	768	811.94	2
P16442	NCS212	951	969.64	3
P16411	NCS212	1082	1117.01	5
P15365	NCS212	1147	1247.66	6
P16491	NCS212	1339	1373.84	7
P16419	NCS212	1479	1479	9
P15121	NCS213	361	516.62	0
P15407	NCS213	657	870.86	1
P15124	NCS213	907	1189.71	2
P15111	NCS213	1305	1493.54	3
P15163	NCS213	1496	1737.77	5
P15181	NCS213	2018	1955.59	6
P15149	NCS213	2177	2177	7
P15114	NCS214	666	1069.72	0
P16496	NCS214	1369	1880.25	1
P15122	NCS214	1691	2482.59	2
P15156	NCS214	1908	2941.33	5
P15171	NCS214	2527	3348.54	6
P15159	NCS214	3337	3739.22	7
P15166	NCS214	3928	4091.77	8
P15117	NCS214	4409	4409	9
P15125	NCS233	381	545.43	0
P15399	NCS233	756	890.1	1
P16473	NCS233	924	1157.87	2
P15130	NCS233	1056	1379.44	3
P15172	NCS233	1342	1585.95	5
P15192	NCS233	1544	1783.32	6
P15145	NCS233	1770	1945.57	7
P15158	NCS233	2043	2100.06	8
P15152	NCS233	2244	2244	9
P15126	NCS234	637	610.38	0
P15410	NCS234	841	978.7	1
P15129	NCS234	1148	1290.54	2
P15153	NCS234	1370	1562.04	3
P15175	NCS234	1559	1814.24	5
P15188	NCS234	1681	2003.73	6
P15137	NCS234	2168	2171.63	7
P15151	NCS234	2357	2357	8
P15370	NCS243	732	550.06	0
P16463	NCS243	942	836.7	1
P15308	NCS243	1211	1065.19	2
P15331	NCS243	1324	1267.3	3
P15354	NCS243	1446	1437.13	5
P16432	NCS243	1568	1602.25	6
P15320	NCS243	1766	1747.39	8
P15299	NCS243	1879	1879	9
P15391	NCS248	447	507.37	0
P15321	NCS248	847	799.54	1
P16472	NCS248	1119	1035.66	2
P16427	NCS248	1365	1233.55	3
P16443	NCS248	1495	1402.62	5
P15389	NCS248	1694	1565.68	6
P15303	NCS248	1861	1716.35	7
P16486	NCS248	1934	1861.59	8
P15353	NCS248	1999	1999	9
P15400	NCS253	1185	940.13	0
P15300	NCS253	1538	1531.12	1
P16482	NCS253	2044	2037.73	2
P16462	NCS253	3081	2381.72	3
P15350	NCS253	3278	2786.16	5
P15362	NCS253	3492	3099.14	6
P16413	NCS253	3601	3338.62	7
P15347	NCS253	3727	3608.6	8
P16452	NCS253	3854	3854	9
P16477	NCS263	385	523.06	0
P15383	NCS263	906	840.97	1
P16453	NCS263	1160	1108.07	2
P16464	NCS263	1349	1332.97	5
P15356	NCS263	1576	1532.91	6
P16436	NCS263	1758	1704.59	7
P16448	NCS263	1873	1865.66	8
P16465	NCS263	2016	2016	9
