PersonalID	c	r	t
F05661	CUB000	677	634.45	0
F05619	CUB000	1027	954.1	0.5
F06378	CUB000	1336	1194.29	1
F06319	CUB000	1473	1383.93	2
F06510	CUB000	1596	1551.58	3
F06483	CUB000	1678	1697.03	5
F06482	CUB000	1799	1841.29	6
F06493	CUB000	1958	1979.03	7
F06580	CUB000	2097	2097	8
F05692	CUB003	364	511.24	0
F05662	CUB003	527	885.02	0.5
F05603	CUB003	777	1168.33	1
F06309	CUB003	963	1417.81	2
F06338	CUB003	1107	1612.54	3
F06452	CUB003	1237	1814.61	4
F06436	CUB003	1650	2018.62	5
F06586	CUB003	1879	2201.74	6
F06407	CUB003	2231	2353.2	7
F06581	CUB003	2499	2499	8
F06397	CUB004	615	559.92	1
F06323	CUB004	883	822.54	2
F06509	CUB004	1087	1016.94	3
F06529	CUB004	1190	1177.41	4
F06530	CUB004	1346	1317.05	5
F06540	CUB004	1446	1446.2	6
F06599	CUB004	1584	1559.28	7
F06495	CUB004	1665	1665	8
F05680	CUB007	322	345.92	0
F05636	CUB007	542	538.23	0.5
F06393	CUB007	678	688.16	1
F06316	CUB007	810	809.11	3
F06426	CUB007	971	915.05	4
F06360	CUB007	1051	1009.57	5
F06523	CUB007	1127	1103.7	6
F06472	CUB007	1197	1185.54	7
F06484	CUB007	1265	1265	8
F05660	CUB008	335	276	0
F05639	CUB008	509	425.72	0.5
F06361	CUB008	585	558.69	1
F06352	CUB008	653	663.43	2
F06305	CUB008	745	763.44	3
F06533	CUB008	816	853.55	4
F06499	CUB008	898	930.12	5
F06356	CUB008	972	1012.18	6
F06485	CUB008	1012	1083.35	7
F06413	CUB008	1144	1144	8
F05685	CUB009	1095	694.87	0
F05690	CUB009	1611	1069.15	0.5
F06366	CUB009	1936	1370.59	1
F06300	CUB009	2066	1642.49	2
F06549	CUB009	2193	1896.68	3
F06541	CUB009	2332	2094.79	4
F06473	CUB009	2455	2307.58	5
F06480	CUB009	2552	2503.37	6
F06562	CUB009	2671	2671	8
F05659	CUB010	387	397.16	0
F05502	CUB010	571	615.6	0.5
F06372	CUB010	730	796.09	1
F06339	CUB010	845	954.55	2
F06557	CUB010	997	1094.86	3
F06417	CUB010	1068	1232.99	4
F06543	CUB010	1218	1354.44	5
F06505	CUB010	1431	1458.93	6
F06598	CUB010	1518	1553.45	7
F06498	CUB010	1650	1650	8
F05617	CUB011	355	478.75	0
F06326	CUB011	535	777.46	2
F06500	CUB011	875	997.96	3
F06585	CUB011	1080	1192.23	5
F06558	CUB011	1251	1363.25	6
F06400	CUB011	1411	1539.05	7
F06181	CUB011	1679	1679	8
F05648	CUB012	503	519.94	0
F05635	CUB012	818	809.91	0.5
F06381	CUB012	1055	1033.43	1
F06346	CUB012	1208	1219.61	2
F06519	CUB012	1395	1392.32	3
F06446	CUB012	1556	1548.15	4
F06317	CUB012	1657	1686.47	5
F06489	CUB012	1693	1826.37	6
F06591	CUB012	1826	1960.93	7
F06410	CUB012	2079	2079	8
F06350	CUB015	345	431.4	0
F06387	CUB015	542	721.8	1
F06302	CUB015	755	956.27	2
F06386	CUB015	998	1156.06	3
F06470	CUB015	1366	1348.09	4
F06576	CUB015	1507	1521.43	5
F06318	CUB015	1605	1673.23	6
F06423	CUB015	1744	1822.56	7
F06196	CUB015	1967	1967	8
F05693	CUB016	317	450.43	0
F05658	CUB016	721	765.4	0.5
F06399	CUB016	939	1007.52	1
F06329	CUB016	1078	1202.52	2
F06532	CUB016	1181	1404.28	3
F06415	CUB016	1326	1579.6	5
F06420	CUB016	1764	1746.53	7
F06448	CUB016	1903	1903	8
F05614	CUB017	518	548.18	0
F05654	CUB017	788	844.96	1
F06336	CUB017	1192	1075.24	2
F06334	CUB017	1324	1268.39	3
F06475	CUB017	1488	1443.08	4
F06469	CUB017	1582	1601.17	5
F06401	CUB017	1794	1737.91	6
F06491	CUB017	1911	1873.47	7
F06460	CUB017	1992	1992	8
F05669	CUB019	402	376.13	0
F05624	CUB019	596	590.19	1
F06304	CUB019	759	764.65	2
F06542	CUB019	867	903.54	3
F06457	CUB019	976	1027.74	4
F06578	CUB019	1102	1141.84	5
F06369	CUB019	1224	1246.11	6
F06359	CUB019	1318	1343.41	7
F06553	CUB019	1434	1434	8
F05684	CUB026	613	420.01	0
F05689	CUB026	804	658.72	1
F06391	CUB026	934	843.47	2
F06311	CUB026	1069	1000.35	3
F06433	CUB026	1174	1149.29	4
F06520	CUB026	1239	1270.64	5
F06458	CUB026	1410	1391.84	7
F06531	CUB026	1503	1503	8
F05682	CUB027	274	334.57	0
F05615	CUB027	374	531.63	1
F06503	CUB027	501	692.43	2
F06330	CUB027	631	818.61	3
F06440	CUB027	719	940	4
F06439	CUB027	826	1049.62	5
F06589	CUB027	1118	1140.12	6
F06441	CUB027	1245	1229.8	7
F06563	CUB027	1308	1308	8
F05613	CUB028	544	310.33	0
F05605	CUB028	651	510.14	1
F06337	CUB028	801	658.9	2
F06382	CUB028	865	813	4
F06590	CUB028	1028	921.53	5
F06526	CUB028	1127	1035.76	6
F06403	CUB028	1176	1129.44	7
F06405	CUB028	1238	1238	8
F05675	CUB029	392	383.67	0
F05651	CUB029	637	606.65	1
F06353	CUB029	816	784.28	2
F06331	CUB029	991	937.36	3
F06340	CUB029	1125	1073.09	5
F06367	CUB029	1198	1198.03	6
F06421	CUB029	1317	1317	8
F05652	CUB032	430	391.11	0
F06343	CUB032	745	633.78	1
F06301	CUB032	943	824.06	2
F06363	CUB032	1037	991.21	3
F06404	CUB032	1146	1126.76	4
F06487	CUB032	1262	1259.02	5
F06567	CUB032	1348	1384.58	6
F06471	CUB032	1500	1500	8
F05674	CUB033	429	368.38	0
F05629	CUB033	653	587.88	0.5
F06349	CUB033	790	757.78	1
F06310	CUB033	852	901.82	2
F06320	CUB033	897	1018.13	3
F06324	CUB033	1009	1137.88	4
F06579	CUB033	1088	1236.92	5
F06534	CUB033	1177	1324.55	6
F06583	CUB033	1295	1410.56	7
F06422	CUB033	1480	1480	8
F05640	CUB036	373	385.26	0
F05611	CUB036	730	614.98	0.5
F05604	CUB036	991	807.15	1
F06345	CUB036	1100	963.75	2
F06351	CUB036	1223	1091.63	3
F06456	CUB036	1316	1233.47	4
F06570	CUB036	1354	1354.87	5
F06464	CUB036	1467	1467	6
F05686	CUB037	487	442.18	0
F05601	CUB037	725	693.16	0.5
F05607	CUB037	902	888.97	1
F06303	CUB037	1125	1054.22	2
F06396	CUB037	1258	1208.09	3
F06548	CUB037	1373	1345.08	4
F06504	CUB037	1484	1464.44	5
F06536	CUB037	1619	1583.87	6
F06461	CUB037	1696	1696	8
F05645	CUB038	493	462.12	0
F05665	CUB038	789	764.33	0.5
F06384	CUB038	914	1018.33	1
F06335	CUB038	1117	1231.62	2
F06502	CUB038	1208	1426.06	3
F06568	CUB038	1305	1582.27	5
F06488	CUB038	1764	1748.34	7
F06494	CUB038	1889	1889	8
F05679	CUB040	528	556.9	0
F05664	CUB040	789	909.95	0.5
F05644	CUB040	970	1178.38	1
F06362	CUB040	1155	1408.97	2
F06550	CUB040	1304	1599.67	3
F06467	CUB040	1509	1788.06	4
F06424	CUB040	2005	1954.39	5
F06479	CUB040	2117	2113.33	6
F06584	CUB040	2296	2248.99	7
F06425	CUB040	2390	2390	8
F05646	CUB042	1000	1044.15	0
F05620	CUB042	1474	1528.87	0.5
F06355	CUB042	1702	1906.97	2
F06514	CUB042	1867	2231.26	3
F06492	CUB042	2278	2536.39	4
F06577	CUB042	2482	2782.75	5
F06414	CUB042	2684	2979.64	6
F06468	CUB042	3121	3186.19	7
F06186	CUB042	3386	3386	8
F05656	CUB044	403	375.44	0
F05542	CUB044	559	617.46	0.5
F05647	CUB044	767	827.12	1
F06377	CUB044	871	1000.59	2
F06559	CUB044	954	1163.6	3
F06437	CUB044	1013	1300.31	4
F06575	CUB044	1119	1414.81	5
F06582	CUB044	1569	1543.97	6
F06445	CUB044	1718	1688.42	7
F06552	CUB044	1791	1791	8
F05606	CUB048	535	516.78	0
F05697	CUB048	864	793.07	0.5
F06385	CUB048	1028	991.99	1
F06342	CUB048	1198	1162.8	2
F06546	CUB048	1288	1315.62	3
F06474	CUB048	1466	1450.04	4
F06466	CUB048	1653	1569.39	5
F06574	CUB048	1771	1680.84	6
F06597	CUB048	1857	1780.06	7
F06411	CUB048	1882	1882	8
F05671	CUB049	521	429.44	0
F05609	CUB049	746	681.91	0.5
F06306	CUB049	946	876.93	1
F06551	CUB049	1062	1041.07	2
F06538	CUB049	1209	1193.7	3
F06434	CUB049	1320	1329.47	4
F06478	CUB049	1449	1449	6
F05676	CUB050	1383	941.43	0
F05628	CUB050	1761	1453.52	1
F06556	CUB050	2051	1825.06	2
F06537	CUB050	2276	2140.71	3
F06432	CUB050	2440	2442.8	4
F06565	CUB050	2622	2684.03	5
F06416	CUB050	2793	2925.36	6
F06435	CUB050	3144	3148.47	7
F06123	CUB050	3363	3363	8
F05650	CUB051	481	489.34	0
F06354	CUB051	766	778.89	0.5
F06312	CUB051	1053	1001.23	1
F06545	CUB051	1325	1196.42	2
F06555	CUB051	1459	1371.87	5
F06462	CUB051	1585	1535.93	7
F06175	CUB051	1673	1673	8
F05622	CUB052	744	676.39	0
F05538	CUB052	1011	1029.94	0.5
F06307	CUB052	1210	1294.05	1
F06357	CUB052	1418	1517.38	2
F06449	CUB052	1607	1708.72	3
F06447	CUB052	1839	1874.9	4
F06572	CUB052	2057	2034.66	5
F06370	CUB052	2181	2178.13	6
F06402	CUB052	2316	2313.42	7
F06528	CUB052	2439	2439	8
F05683	CUB053	301	274.81	0
F05608	CUB053	379	469.03	0.5
F06389	CUB053	493	628.65	1
F06333	CUB053	540	742.17	2
F06539	CUB053	580	869.78	3
F06451	CUB053	733	972.8	4
F06412	CUB053	826	1075.61	5
F06564	CUB053	852	1176.96	6
F06454	CUB053	893	1274.86	7
F06127	CUB053	1347	1347	8
F05672	CUB056	308	440.15	0
F06398	CUB056	579	696.97	1
F06508	CUB056	698	911.27	2
F06522	CUB056	864	1091.84	3
F06490	CUB056	965	1252.11	4
F06465	CUB056	1161	1387.99	5
F06476	CUB056	1372	1523.17	6
F06524	CUB056	1646	1646	8
F05625	CUB061	408	435.74	0
F05626	CUB061	595	661.26	0.5
F06332	CUB061	754	831.66	2
F06501	CUB061	862	985.19	4
F06453	CUB061	1068	1118.82	5
F06443	CUB061	1208	1236.93	7
F06429	CUB061	1350	1350	8
F05862	NAU101	449	502.3	0
F05875	NAU101	688	751.39	1
F05503	NAU101	832	933.82	2
F05815	NAU101	1011	1087.5	3
F05839	NAU101	1102	1210.07	4
F05879	NAU101	1236	1318.85	5
F05233	NAU101	1389	1418.72	6
F05253	NAU101	1516	1512.62	8
F05282	NAU101	1605	1605	9
F05828	NAU102	536	470.18	0
F05838	NAU102	850	736.65	1
F05512	NAU102	1096	955.97	2
F05226	NAU102	1266	1139.69	3
F05814	NAU102	1381	1296.53	4
F05810	NAU102	1477	1433.03	5
F05293	NAU102	1567	1567	9
F05511	NAU105	356	343.05	0
F05540	NAU105	517	519.93	1
F05546	NAU105	617	663.72	2
F05807	NAU105	743	780.19	3
F05851	NAU105	851	888.43	5
F05418	NAU105	976	983.41	6
F05451	NAU105	1074	1074	8
F05530	NAU106	392	437.28	0
F05484	NAU106	592	685.2	1
F05857	NAU106	884	879.09	3
F05223	NAU106	1024	1037.79	4
F05412	NAU106	1154	1176.21	5
F05854	NAU106	1287	1302.26	6
F05119	NAU106	1424	1413.64	8
F06291	NAU106	1517	1517	9
F05521	NAU107	548	426.52	0
F05250	NAU107	843	692.52	1
F05597	NAU107	1018	906.22	2
F05835	NAU107	1198	1078.76	3
F05155	NAU107	1380	1234.1	4
F05496	NAU107	1471	1383.86	5
F05470	NAU107	1579	1514.8	6
F05201	NAU107	1693	1635.64	8
F06292	NAU107	1756	1756	9
F05834	NAU108	420	371.22	0
F05833	NAU108	815	629.43	1
F05537	NAU108	1022	845.76	2
F05869	NAU108	1163	1027.11	3
F05820	NAU108	1177	1161.15	4
F05841	NAU108	1287	1288.74	5
F05213	NAU108	1412	1412	6
F05812	NAU109	274	341.07	0
F05852	NAU109	447	535.61	1
F05510	NAU109	640	689.82	2
F05898	NAU109	744	818.43	3
F05874	NAU109	849	941.98	4
F05209	NAU109	971	1038.83	5
F05276	NAU109	1157	1135.39	6
F05207	NAU109	1217	1220.81	8
F05227	NAU109	1303	1303	9
F05515	NAU110	982	1011.62	0
F05553	NAU110	1498	1553.26	1
F05884	NAU110	1845	1964.07	2
F05813	NAU110	2189	2305.83	3
F05120	NAU110	2511	2597.06	4
F05157	NAU110	2842	2849.07	5
F05124	NAU110	3094	3082.73	6
F05442	NAU110	3296	3292.34	8
F05477	NAU110	3485	3485	9
F05534	NAU114	405	472.08	0
F05575	NAU114	621	776.1	1
F05210	NAU114	819	1012.5	2
F05441	NAU114	1021	1215.25	3
F05458	NAU114	1306	1388.27	4
F05453	NAU114	1463	1549.31	5
F05497	NAU114	1665	1696.21	6
F05516	NAU114	1836	1836	8
F05544	NAU117	313	592.33	0
F05557	NAU117	536	961.79	1
F05870	NAU117	715	1251.2	2
F05842	NAU117	996	1519.03	3
F05489	NAU117	1378	1735.17	6
F05417	NAU117	1788	1934.86	7
F05429	NAU117	1965	2107.13	8
F05890	NAU117	2287	2287	9
F05517	NAU121	501	453.51	0
F05565	NAU121	765	730.61	1
F05570	NAU121	901	959.45	2
F05891	NAU121	1115	1155.25	3
F05424	NAU121	1287	1334.24	4
F05419	NAU121	1440	1491.54	5
F05471	NAU121	1600	1635.47	6
F05111	NAU121	1782	1770.07	8
F06250	NAU121	1898	1898	9
F05598	NAU123	359	382.83	0
F05550	NAU123	512	604.41	1
F05826	NAU123	653	770.03	2
F05487	NAU123	841	911.68	3
F05104	NAU123	974	1033.43	4
F05403	NAU123	1068	1143.27	5
F05279	NAU123	1176	1243.76	6
F05525	NAU123	1285	1340.15	8
F06220	NAU123	1425	1425	9
F05562	NAU124	242	301.04	0
F05588	NAU124	399	499.34	1
F05804	NAU124	517	656.1	2
F05109	NAU124	662	790.78	3
F05463	NAU124	825	911.46	4
F05426	NAU124	901	1016.48	5
F05113	NAU124	1078	1119.35	6
F05116	NAU124	1176	1213.88	8
F06247	NAU124	1301	1301	9
F05592	NAU129	408	530.18	0
F05518	NAU129	664	870	1
F05861	NAU129	904	1128.79	2
F05888	NAU129	1302	1348.13	3
F05255	NAU129	1521	1547.39	4
F05402	NAU129	1691	1722.45	5
F05183	NAU129	1835	1890.6	6
F05446	NAU129	2011	2034.05	8
F06209	NAU129	2172	2172	9
F05548	NAU130	290	331.9	1
F05843	NAU130	514	523.44	2
F05421	NAU130	719	678.53	3
F05481	NAU130	824	807.35	4
F05474	NAU130	922	918.9	5
F05136	NAU130	1048	1025.6	7
F05036	NAU130	1125	1123	8
F06211	NAU130	1220	1220	9
F05587	NAU132	387	384.42	0
F05556	NAU132	516	586.59	1
F05847	NAU132	696	735.82	2
F05108	NAU132	805	860.28	3
F05466	NAU132	933	973.66	4
F05427	NAU132	1062	1072.39	5
F05138	NAU132	1148	1167.67	6
F05472	NAU132	1224	1252.66	8
F06257	NAU132	1330	1330	9
F05583	NAU133	296	372.52	0
F05845	NAU133	521	533.1	1
F05200	NAU133	662	661.39	2
F05158	NAU133	781	760.79	3
F05410	NAU133	844	846.79	4
F05475	NAU133	900	924.12	5
F05409	NAU133	1019	994.77	7
F06299	NAU133	1063	1060.35	8
F06293	NAU133	1119	1119	9
F05572	NAU134	309	290.3	0
F05551	NAU134	463	469.89	1
F05586	NAU134	590	608.58	2
F05897	NAU134	701	727.86	3
F05485	NAU134	787	836.31	4
F05483	NAU134	879	930.79	6
F06219	NAU134	1022	1022	8
F05566	NAU136	364	389.78	0
F05449	NAU136	592	599.8	1
