PersonalID	c	r	t
F05855	NAU136	803	763.6	2
F05199	NAU136	927	897.54	3
F05450	NAU136	1033	1016.64	4
F05444	NAU136	1141	1122.26	5
F05114	NAU136	1238	1218.73	8
F06261	NAU136	1304	1304	9
F05582	NAU139	366	398.79	0
F05873	NAU139	601	638.35	1
F05863	NAU139	843	823.88	2
F05265	NAU139	993	984.34	3
F05482	NAU139	1132	1131.6	4
F05479	NAU139	1279	1264.79	5
F05401	NAU139	1424	1384.38	7
F05522	NAU139	1528	1491.6	8
F05526	NAU139	1593	1593	9
F05527	NAU144	469	504.41	0
F05849	NAU144	677	796.26	2
F05889	NAU144	913	1033.2	3
F05803	NAU144	1066	1222.85	4
F05864	NAU144	1298	1402.99	5
F05840	NAU144	1570	1553.4	7
F05893	NAU144	1754	1701.65	8
F05805	NAU144	1834	1834	9
F05591	NAU147	817	656.5	0
F05236	NAU147	1045	1060.42	1
F05865	NAU147	1431	1394.23	3
F05809	NAU147	1510	1651.05	4
F05443	NAU147	1808	1874.91	5
F05495	NAU147	2139	2090.67	6
F05299	NAU147	2272	2272	9
F05885	NAU148	498	609.8	0
F05568	NAU148	626	998.56	1
F05106	NAU148	1012	1303.3	2
F05457	NAU148	1289	1530.55	4
F05405	NAU148	1633	1747.35	5
F05268	NAU148	1837	1945.26	6
F06210	NAU148	2080	2136.79	8
F06201	NAU148	2303	2303	9
F05821	NAU149	381	324.75	0
F05844	NAU149	508	509.66	1
F05252	NAU149	695	660.01	2
F05161	NAU149	781	776.68	3
F05461	NAU149	931	881.07	4
F05456	NAU149	968	976.34	5
F05425	NAU149	1089	1066.62	7
F06226	NAU149	1152	1155.11	8
F06282	NAU149	1234	1234	9
F05594	NAU150	333	493.22	0
F05831	NAU150	892	834.5	1
F05180	NAU150	1135	1084.6	3
F05433	NAU150	1400	1289.8	4
F05432	NAU150	1574	1478.78	5
F05414	NAU150	1674	1654.12	7
F06274	NAU150	1815	1829.27	8
F06277	NAU150	1979	1979	9
F05832	NAU153	325	363	0
F05593	NAU153	539	571.04	1
F05580	NAU153	634	739.41	2
F05848	NAU153	802	883.92	3
F05467	NAU153	915	1008.16	4
F05445	NAU153	1047	1125.81	5
F05455	NAU153	1201	1228.19	6
F06284	NAU153	1327	1327	9
F05343	NAU154	473	497.94	0
F05560	NAU154	737	773.95	1
F05816	NAU154	1000	1007.29	2
F05808	NAU154	1174	1211.35	3
F05408	NAU154	1342	1394.44	4
F05465	NAU154	1418	1559.29	5
F05416	NAU154	1695	1709.14	6
F05126	NAU154	1842	1852.82	8
F05520	NAU154	1976	1976	9
F05576	NAU155	1234	699.08	0
F05571	NAU155	1406	1125.7	1
F05564	NAU155	1622	1490.46	2
F05133	NAU155	1836	1760.61	3
F05431	NAU155	2023	2024.47	4
F05452	NAU155	2270	2265.94	5
F05850	NAU155	2595	2500.94	6
F06286	NAU155	2712	2688.85	8
F06249	NAU155	2869	2869	9
F05507	NAU157	381	495	0
F05802	NAU157	693	777.2	1
F05881	NAU157	927	1050.58	2
F05867	NAU157	1303	1255.68	2
F05876	NAU157	1545	1446.71	3
F05447	NAU157	1655	1618.51	4
F05476	NAU157	1865	1778.49	5
F05170	NAU157	1946	1917.49	6
F06208	NAU157	2082	2046.81	8
F05287	NAU157	2157	2157	9
F05524	NAU159	300	328.89	0
F05811	NAU159	445	514.82	2
F05837	NAU159	611	664.41	3
F05407	NAU159	767	796.69	4
F05448	NAU159	905	913.83	5
F05192	NAU159	1034	1020.21	6
F06236	NAU159	1123	1123	9
F05883	NAU160	665	517.81	0
F05859	NAU160	940	820.79	1
F05225	NAU160	1141	1053.87	2
F05143	NAU160	1249	1246.43	3
F05404	NAU160	1355	1404.79	4
F05435	NAU160	1519	1548.77	5
F05454	NAU160	1700	1671.15	8
F05295	NAU160	1800	1800	9
F05858	NAU161	438	446.41	0
F05555	NAU161	632	669.34	1
F05490	NAU161	825	847.05	4
F05423	NAU161	934	985.96	5
F05439	NAU161	1043	1103.88	7
F05056	NAU161	1181	1212.31	8
F05202	NAU161	1313	1313	9
F05543	NAU164	547	603.25	0
F05567	NAU164	914	941.45	1
F05866	NAU164	1160	1186.56	2
F05102	NAU164	1518	1401.23	3
F05400	NAU164	1686	1575.79	4
F05438	NAU164	1783	1737.7	5
F05105	NAU164	1890	1890	6
F05314	NCS203	457	460.26	0
F05060	NCS203	632	744.28	1
F05004	NCS203	774	958.1	2
F06085	NCS203	1001	1155.33	3
F05068	NCS203	1237	1326.18	5
F06039	NCS203	1305	1505.12	6
F06063	NCS203	1746	1653.02	7
F05063	NCS203	1840	1791.73	8
F05094	NCS203	1909	1909	9
F05362	NCS204	315	297.62	0
F05322	NCS204	488	471.38	1
F05021	NCS204	668	618.33	2
F06018	NCS204	723	744.88	3
F05039	NCS204	845	853.91	5
F06072	NCS204	954	953.11	6
F06051	NCS204	1035	1042.66	7
F05088	NCS204	1146	1126.85	8
F06022	NCS204	1209	1209	9
F05009	NCS210	569	576.62	0
F05357	NCS210	832	903.09	1
F05046	NCS210	1075	1175.78	2
F05050	NCS210	1208	1377.59	3
F05008	NCS210	1375	1557.59	5
F06062	NCS210	1486	1722.83	6
F06004	NCS210	1574	1910.42	7
F06026	NCS210	2053	2053	9
F05340	NCS212	669	434.19	0
F05345	NCS212	965	728.31	1
F05029	NCS212	1120	932.27	2
F05058	NCS212	1308	1130.66	3
F05043	NCS212	1451	1301.49	5
F06052	NCS212	1537	1453.55	6
F05006	NCS212	1646	1593.84	7
F05084	NCS212	1745	1745	9
F05941	NCS213	626	643.64	0
F05365	NCS213	1068	1070.67	1
F05990	NCS213	1490	1438.62	2
F05947	NCS213	1804	1735.89	3
F05909	NCS213	1994	1991	5
F05969	NCS213	2106	2242.14	6
F05987	NCS213	2244	2460.12	7
F05936	NCS213	2659	2659	8
F05985	NCS214	338	983.16	0
F05012	NCS214	789	1647.11	1
F05995	NCS214	1290	2186.29	2
F05903	NCS214	1872	2648.53	5
F05925	NCS214	2504	3043.17	6
F05974	NCS214	3259	3371.84	8
F05980	NCS214	3711	3711	9
F05993	NCS233	351	454.67	0
F05373	NCS233	669	726.54	1
F05030	NCS233	779	942.86	2
F05986	NCS233	921	1111.4	3
F05910	NCS233	1064	1258.75	5
F05927	NCS233	1311	1410.22	6
F05964	NCS233	1475	1539.13	7
F05907	NCS233	1585	1670.96	8
F05901	NCS233	1787	1787	9
F05923	NCS234	549	586.51	0
F05387	NCS234	724	976.54	1
F05989	NCS234	865	1269.18	2
F05973	NCS234	1972	1514.36	3
F05902	NCS234	2095	1725.18	5
F05920	NCS234	2145	1965.62	6
F05960	NCS234	2253	2190.36	7
F05976	NCS234	2462	2386.51	8
F05912	NCS234	2525	2525	9
F05966	NCS237	1274	930.06	0
F05382	NCS237	2255	1566.33	1
F05991	NCS237	2515	2126.88	2
F05911	NCS237	2736	2645.86	3
F05945	NCS237	2883	3037.87	6
F05928	NCS237	3084	3364.78	7
F05961	NCS237	3699	3699	9
F06064	NCS243	368	325.24	0
F05031	NCS243	556	509.17	1
F06009	NCS243	677	645.74	2
F06045	NCS243	829	769.33	3
F06060	NCS243	908	872.06	5
F05077	NCS243	999	959.27	6
F06034	NCS243	1066	1042.06	8
F06002	NCS243	1113	1113	9
F06097	NCS248	390	489.95	0
F06024	NCS248	667	766.89	1
F05045	NCS248	932	1000.41	2
F05062	NCS248	1149	1196.4	3
F05069	NCS248	1394	1359.77	5
F06075	NCS248	1545	1519.7	6
F06001	NCS248	1734	1668.44	7
F05028	NCS248	1820	1799.93	8
F06054	NCS248	1925	1925	9
F05321	NCS253	1054	863.51	0
F06005	NCS253	1473	1354.47	1
F05003	NCS253	1858	1719.78	2
F05024	NCS253	2315	2000.18	3
F06059	NCS253	2505	2244.83	5
F06055	NCS253	2654	2487.63	6
F05091	NCS253	2772	2704.29	7
F05053	NCS253	2909	2909	9
F06094	NCS255	621	441.66	0
F06088	NCS255	927	722.35	1
F05051	NCS255	1150	967.36	3
F05025	NCS255	1328	1151.49	5
F05066	NCS255	1471	1328.22	6
F05001	NCS255	1593	1497.54	7
F06086	NCS255	1696	1647.5	8
F05055	NCS255	1784	1784	9
F05002	NCS263	247	304.67	0
F06092	NCS263	429	495.58	1
F05049	NCS263	597	643.42	2
F05034	NCS263	703	777.76	5
F06057	NCS263	867	891.72	6
F05059	NCS263	954	1006.4	7
F05038	NCS263	1110	1110	8
