Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.34760608
CUB000	1	0.489461891
CUB000	2	0.354147775
CUB000	3	0.13948735
CUB000	4	0.362547037
CUB000	5	0.18057946
CUB000	6	0.17015044
CUB000	7	0.108938183
CUB000	8	0.193994868
CUB003	0.5	0.141648694
CUB003	1	0.562086589
CUB003	2	0.596086551
CUB003	3	0.291118371
CUB003	4	0.241997594
CUB003	5	0.172766066
CUB003	6	0.113636741
CUB003	7	0.25080605
CUB003	8	0.151808525
CUB004	0.5	0.387682938
CUB004	1	0.151411817
CUB004	2	0.288695028
CUB004	3	0.099096753
CUB004	4	0.12450301
CUB004	5	0.238708637
CUB004	6	0.182130942
CUB004	7	0.203183491
CUB004	8	0.195773716
CUB007	0.5	0.260432619
CUB007	1	0.252228082
CUB007	2	0.561423401
CUB007	3	0.592710847
CUB007	4	0.334688964
CUB007	5	0.274368815
CUB007	7	0.257157503
CUB007	8	0.299075689
CUB009	0.5	0.350498652
CUB009	1	0.252365128
CUB009	2	0.257876398
CUB009	3	0.164443462
CUB009	4	0.29066943
CUB009	5	0.406880698
CUB009	6	0.420433783
CUB009	7	0.624162218
CUB009	8	0.475018108
CUB010	0.5	0.482496032
CUB010	1	0.494872183
CUB010	2	0.383836394
CUB010	3	0.200956204
CUB010	4	0.269140738
CUB010	5	0.31308447
CUB010	6	0.4158464
CUB010	7	0.494127321
CUB010	8	0.207937282
CUB011	1	0.132489133
CUB011	2	0.287692953
CUB011	3	0.172229038
CUB011	5	0.282293935
CUB011	6	0.243897988
CUB011	7	0.362482189
CUB011	8	0.45984955
CUB012	0.5	0.224128877
CUB012	1	0.245581431
CUB012	2	0.153231199
CUB012	3	0.358087316
CUB012	4	0.357445011
CUB012	5	0.378783223
CUB012	6	0.18682467
CUB012	7	0.244231635
CUB012	8	0.272424205
CUB015	1	0.234644263
CUB015	2	0.653345866
CUB015	3	0.26027815
CUB015	4	0.216806051
CUB015	5	0.156067605
CUB015	6	0.351783277
CUB015	7	0.458475942
CUB015	8	0.370187322
CUB016	0.5	0.147365723
CUB016	1	0.25741367
CUB016	2	0.395460685
CUB016	3	0.233658119
CUB016	5	0.367190278
CUB016	6	0.438033961
CUB016	7	0.323912778
CUB016	8	0.223145728
CUB017	1	0.580809962
CUB017	2	0.404301715
CUB017	3	0.636713777
CUB017	4	0.192796769
CUB017	5	0.206205176
CUB017	6	0.357636669
CUB017	7	0.242084873
CUB017	8	0.3710881
CUB019	1	0.338092233
CUB019	2	0.226020847
CUB019	3	0.23427071
CUB019	4	0.239460621
CUB019	5	0.200786738
CUB019	6	0.258556204
CUB019	7	0.242052761
CUB019	8	0.20717959
CUB026	1	0.532017208
CUB026	2	0.417415079
CUB026	3	0.328510461
CUB026	4	0.356601953
CUB026	5	0.322273749
CUB026	7	0.226013001
CUB026	8	0.43103537
CUB027	1	0.302999823
CUB027	2	0.443932099
CUB027	3	0.295708283
CUB027	4	0.290626999
CUB027	5	0.129901508
CUB027	6	0.204669242
CUB027	7	0.275542931
CUB027	8	0.174524913
CUB028	1	0.491967301
CUB028	2	0.545183408
CUB028	4	0.242682632
CUB028	5	0.224000249
CUB028	6	0.352006968
CUB028	7	0.244392413
CUB028	8	0.27264803
CUB029	0.5	0.317880324
CUB029	1	0.203661846
CUB029	2	0.695506781
CUB029	3	0.739393412
CUB029	5	0.232661699
CUB029	6	0.210547043
CUB029	7	0.302449093
CUB029	8	0.306573283
CUB032	1	0.119457232
CUB032	2	0.217111213
CUB032	3	0.364446596
CUB032	4	0.466848869
CUB032	5	0.320660616
CUB032	6	0.526248033
CUB032	8	0.334786399
CUB033	0.5	0.58505225
CUB033	1	0.174363705
CUB033	2	0.392549514
CUB033	3	0.163759875
CUB033	4	0.831382672
CUB033	5	0.697511402
CUB033	6	0.523678358
CUB033	7	0.494740998
CUB033	8	0.203556523
CUB036	0.5	0.146368955
CUB036	1	0.213466499
CUB036	2	0.29697538
CUB036	3	0.079430503
CUB036	4	0.188919457
CUB036	5	0.365207933
CUB036	6	0.789296427
CUB037	0.5	0.329283425
CUB037	1	0.136563789
CUB037	2	0.271785657
CUB037	3	0.158227587
CUB037	4	0.224087337
CUB037	5	0.30058699
CUB037	6	0.356279242
CUB037	7	0.262282283
CUB037	8	0.149830566
CUB038	0.5	0.474105272
CUB038	1	0.358911541
CUB038	2	0.175631854
CUB038	3	0.178170284
CUB038	5	0.323440635
CUB038	6	0.474591778
CUB038	7	0.656264368
CUB038	8	0.437841128
CUB040	0.5	0.351103833
CUB040	1	0.292055197
CUB040	2	0.249359287
CUB040	3	0.157805558
CUB040	4	0.175313603
CUB040	5	0.212709877
CUB040	6	0.100997977
CUB040	7	0.191323431
CUB040	8	0.309703634
CUB042	0.5	0.107021027
CUB042	1	0.340656785
CUB042	2	0.360314333
CUB042	3	0.252029467
CUB042	4	0.2616683
CUB042	5	0.233583263
CUB042	6	0.26750187
CUB042	7	0.271115745
CUB042	8	0.20759107
CUB044	0.5	0.474670246
CUB044	1	0.648945792
CUB044	2	0.316392554
CUB044	3	0.12055747
CUB044	5	0.119541347
CUB044	6	0.228284314
CUB044	7	0.320046242
CUB044	8	0.253186725
CUB048	0.5	0.384302303
CUB048	1	0.263959736
CUB048	2	0.328366191
CUB048	3	0.163464045
CUB048	4	0.253489459
CUB048	5	0.121484161
CUB048	6	0.343426064
CUB048	7	0.402968351
CUB048	8	0.09499402
CUB049	0.5	0.31894877
CUB049	1	0.396031968
CUB049	2	0.231143406
CUB049	3	0.170579348
CUB049	4	0.175944222
CUB049	5	0.267037109
CUB049	6	0.175630836
CUB049	7	0.229346822
CUB049	8	0.369501278
CUB050	1	0.287171829
CUB050	2	0.226095776
CUB050	3	0.192478498
CUB050	4	0.288721865
CUB050	5	0.128909771
CUB050	6	0.127048866
CUB050	7	0.157681427
CUB050	8	0.156162865
CUB052	0.5	0.129325925
CUB052	1	0.111437398
CUB052	2	0.318141193
CUB052	3	0.411693223
CUB052	4	0.147978134
CUB052	5	0.120730584
CUB052	6	0.140220826
CUB052	7	0.130136241
CUB052	8	0.144026728
CUB053	0.5	0.440781732
CUB053	1	0.538627022
CUB053	2	0.217768778
CUB053	3	0.466476339
CUB053	4	0.177921493
CUB053	5	0.44194089
CUB053	6	0.586657862
CUB053	7	0.562406723
CUB053	8	0.171289003
CUB056	1	0.339782502
CUB056	2	0.333917887
CUB056	3	0.311771103
CUB056	4	0.249444196
CUB056	5	0.187382914
CUB056	6	0.267044888
CUB056	8	0.305198647
CUB061	0.5	0.504896181
CUB061	2	0.116174406
CUB061	4	0.644775498
CUB061	5	0.247720365
CUB061	7	0.406784859
CUB061	8	0.52247113
NAU101	1	0.323124594
NAU101	2	0.389418477
NAU101	3	0.315626799
NAU101	4	0.358861614
NAU101	5	0.418355449
NAU101	6	0.159494138
NAU101	8	0.251788651
NAU101	9	0.342425357
NAU102	1	0.2555229
NAU102	2	0.283908446
NAU102	3	0.507503611
NAU102	4	0.278662152
NAU102	5	0.45289426
NAU102	9	0.539205458
NAU105	1	0.621197562
NAU105	2	0.566843793
NAU105	3	0.191179
NAU105	5	0.332419529
NAU105	6	0.359765255
NAU105	8	0.49741104
NAU106	1	0.601776101
NAU106	2	0.625949721
NAU106	3	0.512774913
NAU106	4	0.312045434
NAU106	5	0.122595496
NAU106	6	0.310330889
NAU106	8	0.155402905
NAU106	9	0.468023684
NAU107	1	0.144766443
NAU107	2	0.457468174
NAU107	3	0.473638307
NAU107	4	0.300268656
NAU107	5	0.403213501
NAU107	6	0.206690007
NAU107	8	0.446362802
NAU107	9	0.18130781
NAU108	1	0.468825436
NAU108	2	0.216021052
NAU108	3	0.384715863
NAU108	4	0.429737654
NAU108	5	0.259708747
NAU108	6	0.303758939
NAU109	1	0.083417897
NAU109	2	0.328215499
NAU109	3	0.213057246
NAU109	4	0.365416029
NAU109	5	0.219386375
NAU109	6	0.290139374
NAU109	8	0.404663459
NAU109	9	0.262780153
NAU110	1	0.179132013
NAU110	2	0.281870327
NAU110	3	0.163207873
NAU110	4	0.126924264
NAU110	5	0.26284326
NAU110	6	0.266034483
NAU110	8	0.505183275
NAU110	9	0.418255377
NAU114	1	0.127952484
NAU114	2	0.17871565
NAU114	3	0.186949162
NAU114	4	0.360560423
NAU114	5	0.189405255
NAU114	6	0.57799412
NAU114	8	0.55159237
NAU114	9	0.214259882
NAU117	1	0.282352931
NAU117	2	0.600263345
NAU117	3	0.149415203
NAU117	6	0.635871317
NAU117	7	0.825598355
NAU117	8	0.661293093
NAU117	9	0.750660809
NAU119	1	0.17338779
NAU119	2	0.396749343
NAU119	3	0.361838322
NAU119	5	0.527756082
NAU119	6	0.462561643
NAU119	8	0.567880067
NAU119	9	0.340189991
NAU121	1	0.317764603
NAU121	2	0.407009883
NAU121	3	0.283161123
NAU121	4	0.175326438
NAU121	5	0.284492652
NAU121	6	0.344023703
NAU121	8	0.260015961
NAU121	9	0.445460015
NAU123	1	0.244709715
NAU123	2	0.206915566
NAU123	3	0.521843767
NAU123	4	0.355098105
NAU123	5	0.147405151
NAU123	6	0.247013309
NAU123	8	0.206789202
NAU123	9	0.186804754
NAU124	1	0.271573726
NAU124	2	0.536783115
NAU124	3	0.521141216
NAU124	4	0.424220283
NAU124	5	0.194447121
NAU124	6	0.278990355
NAU124	8	0.272644097
NAU124	9	0.210552836
NAU129	1	0.371895927
NAU129	2	0.340434221
NAU129	3	0.351279648
NAU129	4	0.209109703
NAU129	5	0.37278372
NAU129	6	0.232747595
NAU129	8	0.642346247
NAU129	9	0.555385122
NAU130	1	0.400771356
NAU130	2	0.19981065
NAU130	3	0.571475966
NAU130	4	0.559939105
NAU130	5	0.313442278
NAU130	7	0.325748185
NAU130	8	0.24722796
NAU130	9	0.348706028
NAU132	1	0.448739854
NAU132	2	0.252733733
NAU132	3	0.260302537
NAU132	4	0.230502809
NAU132	5	0.27094258
NAU132	6	0.234648769
NAU132	8	0.254753347
NAU132	9	0.171184342
NAU133	1	0.241092563
NAU133	2	0.255125167
NAU133	3	0.234245105
NAU133	4	0.194111914
NAU133	5	0.15402883
NAU133	7	0.400129799
NAU134	1	0.205083488
NAU134	2	0.304914072
NAU134	3	0.210234559
NAU134	4	0.374855982
NAU134	6	0.326011287
NAU134	8	0.548957725
NAU136	1	0.268311782
NAU136	2	0.419973817
NAU136	3	0.302753552
NAU136	4	0.401061923
NAU136	5	0.575871642
NAU136	6	0.440035116
NAU136	9	0.26397004
NAU137	3	0.29471534
NAU137	4	0.30552936
NAU137	5	0.158802937
NAU137	6	0.030436766
NAU137	8	0.277200651
NAU137	9	0.378777252
NAU139	1	0.125506855
NAU139	2	0.62651198
NAU139	3	0.441139552
NAU139	4	0.332733763
NAU139	5	0.444769507
NAU139	7	0.255004738
NAU139	8	0.260989647
NAU139	9	0.463739302
NAU144	2	0.224891057
NAU144	3	0.286766947
NAU144	4	0.159164383
NAU144	5	0.374302515
NAU144	7	0.266464146
NAU144	8	0.390432126
NAU144	9	0.316758303
NAU148	1	0.222575248
NAU148	2	0.208942298
NAU148	4	0.16656769
NAU148	5	0.202301793
NAU148	6	0.303703027
NAU148	8	0.358585692
NAU148	9	0.532087715
NAU149	1	0.446915868
NAU149	2	0.109973248
NAU149	3	0.22117232
NAU149	4	0.354470124
NAU149	5	0.162534472
NAU149	7	0.376563459
NAU149	8	0.323548309
NAU149	9	0.366333407
NAU150	1	0.266339895
NAU150	2	0.331225264
NAU150	3	0.465202865
NAU150	4	0.296787525
NAU150	5	0.240010506
NAU150	7	0.383675085
NAU150	8	0.548256225
NAU150	9	0.165559074
NAU153	1	0.204908319
NAU153	2	0.146284909
NAU153	3	0.180613124
NAU153	4	0.244212194
NAU153	5	0.297999478
NAU153	6	0.491008525
NAU153	9	0.236638114
NAU154	1	0.475893603
NAU154	2	0.425725491
NAU154	3	0.293328733
NAU154	4	0.265496367
NAU154	5	0.305545758
NAU154	6	0.391120423
NAU154	8	0.258339029
NAU154	9	0.234217442
NAU155	1	0.320691737
NAU155	2	0.130479792
NAU155	3	0.228682379
NAU155	4	0.22389517
NAU155	5	0.186532334
NAU155	6	0.390554296
NAU155	8	0.452529493
NAU155	9	0.207450293
NAU156	1	0.159789535
NAU156	2	0.177435239
NAU156	3	0.467658154
NAU156	4	0.49593964
NAU156	5	0.261978198
NAU156	8	0.34809286
NAU157	1	0.259739155
NAU157	2	0.307248967
NAU157	3	0.385035017
NAU157	4	0.227409409
NAU157	5	0.361752316
NAU157	6	0.213134118
NAU157	8	0.130556918
NAU157	9	0.27960987
NAU159	1	0.130920564
NAU159	2	0.236724731
NAU159	3	0.302123933
NAU159	4	0.208764541
NAU159	5	0.223519658
NAU159	6	0.359371061
NAU159	8	0.244218536
NAU159	9	0.189172005
NAU160	1	0.246573749
NAU160	2	0.359016951
NAU160	3	0.442946473
NAU160	4	0.495221065
NAU160	5	0.186222416
NAU160	8	0.539473601
NAU160	9	0.536201866
NAU161	1	0.627919224
NAU161	4	0.630498757
NAU161	5	0.263478423
NAU161	7	0.35703149
NAU161	8	0.352286847
NAU161	9	0.181765344
NAU164	1	0.20890651
NAU164	2	0.383227193
NAU164	3	0.176176464
NAU164	4	0.281236923
NAU164	5	0.194835323
NAU164	6	0.348392794
NCS203	1	0.232219541
NCS203	2	0.109703883
NCS203	3	0.21235758
NCS203	5	0.216611663
NCS203	6	0.191396963
NCS203	7	0.108242159
NCS203	8	0.16076379
NCS203	9	0.201186492
NCS204	1	0.200261138
NCS204	2	0.198591289
NCS204	3	0.157272429
NCS204	5	0.171962806
NCS204	6	0.113224726
NCS204	7	0.227158153
NCS204	8	0.254896716
NCS204	9	0.313450089
NCS210	1	0.242731579
NCS210	2	0.298182585
NCS210	3	0.632348986
NCS210	5	0.693375099
NCS210	6	0.535174862
NCS210	7	0.162356776
NCS210	9	0.384570325
NCS212	1	0.273539608
NCS212	2	0.172715972
NCS212	3	0.522390532
NCS212	5	0.36513097
NCS212	6	0.182948941
NCS212	7	0.198839063
NCS212	9	0.275807454
NCS213	1	0.358119177
NCS213	2	0.206285922
NCS213	3	0.345534909
NCS213	5	0.168250817
NCS213	6	0.210992398
NCS213	7	0.215500807
NCS213	8	0.382912626
NCS214	1	0.446191295
NCS214	2	0.458355215
NCS214	5	0.163188974
NCS214	6	0.783591607
NCS214	7	0.409320673
NCS214	8	0.338330749
NCS214	9	0.227892934
NCS233	2	0.243432252
NCS233	3	0.73870474
NCS233	5	0.781648731
NCS233	6	0.434798547
NCS233	7	0.491291948
NCS233	8	0.441553698
NCS233	9	0.295919368
NCS234	1	0.312544087
NCS234	2	0.181979308
NCS234	3	0.239770768
NCS234	5	0.282046602
NCS234	6	0.493597264
NCS234	7	0.29373371
NCS234	8	0.143665538
NCS234	9	0.250609474
NCS236	1	0.325312458
NCS236	2	0.344276496
NCS236	3	0.201980659
NCS236	5	0.259682298
NCS236	6	0.407457624
NCS236	7	0.257957738
NCS236	8	0.17700464
NCS236	9	0.214837928
NCS243	1	0.290997656
NCS243	2	0.121395808
NCS243	3	0.172206735
NCS243	5	0.132475439
NCS243	6	0.159527246
NCS243	8	0.256350439
NCS243	9	0.109555553
NCS248	1	0.734106931
NCS248	2	0.295415269
NCS248	3	0.169440094
NCS248	5	0.317306761
NCS248	6	0.324142596
NCS248	8	0.255476285
NCS248	9	0.242049585
NCS253	1	0.498464336
NCS253	2	0.329144938
NCS253	3	0.5599389
NCS253	5	0.482571953
NCS253	6	0.31784837
NCS253	7	0.531177894
NCS253	8	0.180285508
NCS253	9	0.186664683
NCS255	1	0.513814184
NCS255	2	0.266233565
NCS255	3	0.254205163
NCS255	5	0.242423358
NCS255	6	0.175664041
NCS255	7	0.259586169
NCS255	8	0.400039146
NCS255	9	0.316411649
NCS263	2	0.187821371
NCS263	5	0.370808401
NCS263	6	0.75774406
NCS263	7	0.725190525
NCS263	8	0.281394954
NCS263	9	0.267649768
