Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.426192956
CUB000	1	0.477831166
CUB000	2	0.153138105
CUB000	3	0.22575464
CUB000	4	0.160178292
CUB000	5	0.241318073
CUB000	6	0.363679866
CUB000	7	0.347296704
CUB000	8	0.234550876
CUB003	0.5	0.57655493
CUB003	1	0.449321867
CUB003	2	0.350225097
CUB003	3	0.278169985
CUB003	4	0.255798626
CUB003	5	0.459935167
CUB003	6	0.303857321
CUB003	7	0.535466531
CUB003	8	0.53898348
CUB004	0.5	0.389005201
CUB004	1	0.445444585
CUB004	2	0.574824772
CUB004	3	0.457057998
CUB004	4	0.589958061
CUB004	5	0.531672399
CUB004	6	0.303800055
CUB004	7	0.389684978
CUB004	8	0.25618245
CUB007	1	0.538854213
CUB007	2	0.404835589
CUB007	3	0.539914726
CUB007	5	0.457795692
CUB007	6	0.287959415
CUB007	7	0.321548224
CUB007	8	0.251635437
CUB008	0.5	0.182054542
CUB008	1	0.239943757
CUB008	2	0.25041922
CUB008	4	0.285205812
CUB008	5	0.369544097
CUB008	6	0.513809789
CUB008	7	0.246909299
CUB008	8	0.157947061
CUB009	0.5	0.171464453
CUB009	1	0.319408986
CUB009	2	0.231616569
CUB009	3	0.355431754
CUB009	4	0.291304643
CUB009	5	0.188498702
CUB009	7	0.33720724
CUB009	8	0.244228621
CUB010	0.5	0.512201717
CUB010	1	0.438779681
CUB010	2	0.495319248
CUB010	3	0.388118384
CUB010	5	0.205465641
CUB010	6	0.251748259
CUB010	7	0.482696847
CUB011	1	0.247666645
CUB011	2	0.290864942
CUB011	5	0.207786495
CUB011	6	0.433880714
CUB011	7	0.438108106
CUB011	8	0.359138809
CUB012	0.5	0.325345487
CUB012	1	0.20938216
CUB012	2	0.253559734
CUB012	3	0.163603193
CUB012	4	0.185086562
CUB012	5	0.631745427
CUB012	6	0.596648467
CUB012	7	0.135169565
CUB012	8	0.319327687
CUB015	1	0.271235892
CUB015	2	0.416194428
