Individual	WeeksSinceStart	distFromPrevious
CUB050	5	0.076887547
CUB050	6	0.16290317
CUB050	7	0.463259543
CUB050	8	0.413115508
CUB052	0.5	0.338751918
CUB052	1	0.259796225
CUB052	2	0.075429364
CUB052	3	0.07956665
CUB052	4	0.140646518
CUB052	5	0.144334866
CUB052	6	0.278756464
CUB052	7	0.505454042
CUB052	8	0.203994321
CUB053	0.5	0.280365281
CUB053	1	0.141113822
CUB053	2	0.433411004
CUB053	3	0.406434226
CUB053	4	0.242740924
CUB053	5	0.224965623
CUB053	6	0.370688205
CUB053	7	0.429734163
CUB053	8	0.552157108
CUB056	1	0.191630768
CUB056	2	0.181854637
CUB056	3	0.161656355
CUB056	4	0.149509789
CUB056	5	0.340383211
CUB056	6	0.273040109
CUB056	8	0.137893479
NAU101	1	0.438901159
NAU101	2	0.437793276
NAU101	3	0.427905
NAU101	4	0.332203832
NAU101	5	0.110516512
NAU101	6	0.347110807
NAU101	8	0.300388578
NAU101	9	0.361368068
NAU105	1	0.211508191
NAU105	2	0.143068083
NAU105	3	0.145474212
NAU105	5	0.254321529
NAU105	6	0.107573905
NAU105	8	0.162176208
NAU106	1	0.36672846
NAU106	2	0.311480394
NAU106	3	0.164985067
NAU106	4	0.231464875
NAU106	5	0.158487802
NAU106	6	0.2409268
NAU106	8	0.104877019
NAU106	9	0.225019373
NAU107	1	0.510773918
NAU107	3	0.510206902
NAU107	4	0.372710028
NAU107	5	0.448252141
NAU107	6	0.267957185
NAU107	8	0.200010278
NAU107	9	0.209583468
NAU108	1	0.642552702
NAU108	2	0.161240847
NAU108	3	0.796235518
NAU108	4	0.69186375
NAU108	5	0.241900832
NAU108	6	0.548185778
NAU109	1	0.294947161
NAU109	2	0.218444005
NAU109	3	0.100277789
NAU109	4	0.166872791
NAU109	5	0.201657879
NAU109	6	0.430148064
NAU109	8	0.289066108
NAU109	9	0.197692961
NAU110	1	0.315378533
NAU110	2	0.149023932
NAU110	3	0.202352026
NAU110	4	0.319133671
NAU110	5	0.22141229
NAU110	6	0.28032669
NAU110	8	0.209692819
NAU110	9	0.269832779
NAU114	1	0.46829921
NAU114	2	0.130251757
NAU114	3	0.83326862
NAU114	4	0.456990476
NAU114	5	0.615933809
NAU114	6	0.189705773
NAU114	8	0.737469357
NAU114	9	0.116851648
NAU117	1	0.225353219
NAU117	2	0.745506307
NAU117	3	0.219672228
NAU117	6	0.639764492
NAU117	7	0.455360987
NAU117	8	0.426675375
NAU119	1	0.275620443
NAU119	2	0.464300929
NAU119	3	0.432504618
NAU119	5	0.329671905
NAU119	6	0.158374507
NAU119	8	0.454511037
NAU119	9	0.092776537
NAU121	1	0.352165676
NAU121	2	0.426604308
NAU121	3	0.25452237
NAU121	4	0.59335618
NAU121	5	0.444332565
NAU121	6	0.279083767
NAU121	8	0.112144772
NAU121	9	0.436386486
NAU123	1	0.253372506
NAU123	2	0.241479201
NAU123	4	0.171150564
NAU123	5	0.40719574
NAU123	6	0.372943674
NAU123	8	0.262921027
NAU123	9	0.288186505
NAU124	1	0.100266447
NAU124	2	0.115921139
NAU124	3	0.784830999
NAU124	4	0.821293787
NAU124	5	0.152210606
NAU124	6	0.25362552
NAU124	8	0.307909997
NAU124	9	0.481128084
NAU129	2	0.239618486
NAU129	3	0.333810894
NAU129	4	0.286146586
NAU129	5	0.317268288
NAU129	6	0.729631985
NAU129	8	0.472788202
NAU129	9	0.281213267
NAU130	1	0.35434823
NAU130	2	0.087335783
NAU130	3	0.142137195
NAU130	4	0.094249549
NAU130	5	0.206559953
NAU130	7	0.140889571
NAU130	8	0.088352416
NAU130	9	0.244687342
NAU132	1	0.649812805
NAU132	2	0.251321329
NAU132	3	0.421224724
NAU132	4	0.82146245
NAU132	5	0.108307214
NAU132	6	0.184587568
NAU132	8	1.013313229
NAU132	9	0.976266834
NAU133	1	0.461188354
NAU133	2	0.234331916
NAU133	3	0.383709516
NAU133	4	0.581808676
NAU133	5	0.138278758
NAU133	7	0.658202494
NAU133	8	0.441377555
NAU133	9	0.124293585
NAU136	1	0.22615418
NAU136	2	0.095302988
NAU136	3	0.271794942
NAU136	4	0.184998033
NAU136	5	0.248712285
NAU136	6	0.469960675
NAU136	8	0.404006588
NAU136	9	0.220651949
NAU137	3	0.493393648
NAU137	4	0.381048454
NAU137	5	0.419529662
NAU137	6	0.647784014
NAU137	8	0.084447061
NAU137	9	0.586704209
NAU139	1	0.413094366
NAU139	2	0.245549408
NAU139	3	0.130672992
NAU139	4	0.089986135
NAU139	5	0.1180558
NAU139	7	0.194472363
NAU139	8	0.132392099
NAU139	9	0.230484246
NAU144	2	0.082021195
NAU144	3	0.10152358
NAU144	4	0.097372478
NAU144	5	0.162987037
NAU144	7	0.100598591
NAU144	8	0.37829517
NAU144	9	0.333046487
NAU146	1	0.444867724
NAU146	2	0.329014222
NAU146	3	0.136971665
NAU146	4	0.147279067
NAU146	5	0.234128428
NAU146	9	0.322223619
NAU147	1	0.072580224
NAU147	3	0.290999487
NAU147	4	0.235034904
NAU147	5	0.263243263
NAU147	6	0.173184021
NAU147	9	0.274027092
NAU148	1	0.203361101
NAU148	2	0.356460508
NAU148	4	0.222407306
NAU148	5	0.329252323
NAU148	6	0.19581398
NAU148	8	0.139621711
NAU148	9	0.22254681
NAU149	1	0.319606808
NAU149	2	0.595459897
NAU149	3	0.70334088
NAU149	4	0.679504849
NAU149	5	0.298790297
NAU149	7	0.228125133
NAU149	8	0.156241623
NAU149	9	0.284075193
NAU150	1	0.069917368
NAU150	2	0.287063121
NAU150	3	0.130877931
NAU150	4	0.275047463
NAU150	5	0.31658186
NAU150	7	0.145163492
NAU150	8	0.149850639
NAU150	9	0.196270867
NAU153	1	0.592038514
NAU153	2	0.354961025
NAU153	3	0.162883813
NAU153	4	0.212072448
NAU153	5	0.146076528
NAU153	6	0.123565319
NAU153	9	0.190427462
NAU154	1	0.104241948
NAU154	2	0.138583741
NAU154	3	0.364973016
NAU154	4	0.107597454
NAU154	5	0.125771597
NAU154	6	0.215629862
NAU154	8	0.336293154
NAU154	9	0.442790228
NAU155	1	0.792338924
NAU155	2	0.784532923
NAU155	3	0.629496439
NAU155	4	0.705582378
NAU155	5	0.829292541
NAU155	6	0.452459318
NAU155	8	0.916724839
NAU155	9	0.210878918
NAU156	1	0.559016189
NAU156	2	0.518884991
NAU156	3	0.23904432
NAU156	4	0.312691948
NAU156	5	0.615122695
NAU156	8	0.595929391
NAU157	1	0.363003899
NAU157	2	0.383886262
NAU157	3	0.239759035
NAU157	4	0.341061916
NAU157	5	0.31556504
NAU157	6	0.243847208
NAU157	8	0.176984021
NAU157	9	0.306030394
NAU159	1	0.168472592
NAU159	2	0.587116289
NAU159	3	0.099103258
NAU159	4	0.591056061
NAU159	5	0.054229366
NAU159	8	0.451439578
NAU159	9	0.637844849
NAU160	1	0.574773341
NAU160	2	0.397183994
NAU160	3	0.260699362
NAU160	4	0.28905422
NAU160	5	0.146845074
NAU160	8	0.289617832
NAU160	9	0.161679186
NAU164	1	0.559795571
NAU164	2	0.381904594
NAU164	3	0.203519907
NAU164	4	0.120728853
NAU164	5	0.449098794
NAU164	6	0.192032039
NCS203	1	0.101376961
NCS203	2	0.208849401
NCS203	3	0.19947462
NCS203	5	0.159568314
NCS203	6	0.27314659
NCS203	8	0.255749089
NCS204	1	0.075818867
NCS204	2	0.073541421
NCS204	3	0.179087677
NCS204	5	0.633696401
NCS204	6	0.707864318
NCS204	7	0.405924924
NCS204	8	0.209839605
NCS204	9	0.17380615
NCS212	1	0.624784151
NCS212	2	0.595731205
NCS212	3	0.177765091
NCS212	5	0.312600057
NCS212	6	0.361643787
NCS212	7	0.349803435
NCS212	9	0.512924847
NCS213	1	0.588120702
NCS213	2	0.071566898
NCS213	3	0.392114599
NCS213	5	0.301655264
NCS213	6	0.376997745
NCS213	7	0.585566401
NCS213	8	0.49699726
NCS214	1	0.661527737
NCS214	2	0.252322503
NCS214	5	0.34640734
NCS214	6	0.602233446
NCS214	7	0.536877603
NCS214	8	0.735862222
NCS233	2	0.321692202
NCS233	5	0.295319306
NCS233	6	0.098294842
NCS233	7	0.103357934
NCS233	8	0.261931932
NCS233	9	0.370079352
NCS237	1	0.400618682
NCS237	2	0.400571822
NCS237	3	0.126402148
NCS237	6	0.199097011
NCS237	7	0.184120675
NCS237	9	0.176734376
NCS248	1	0.511927524
NCS248	2	0.281944515
NCS248	3	0.378114405
NCS248	6	0.161056834
NCS248	7	0.606766364
NCS248	8	0.272912767
NCS248	9	0.242363458
NCS253	1	0.165059694
NCS253	2	0.216027169
NCS253	3	0.316562715
NCS253	5	0.626540161
NCS253	6	0.051961567
NCS253	7	0.136450428
NCS253	8	0.18025305
NCS253	9	0.29881862
NCS255	1	0.517187308
NCS255	2	0.688909204
NCS255	3	0.682204845
NCS255	5	0.469064075
NCS255	6	0.429462285
NCS255	7	0.698441535
NCS255	8	0.277557684
NCS255	9	0.260075823
NCS263	1	0.307678614
NCS263	2	0.363824396
NCS263	5	0.616538411
NCS263	6	0.633169141
NCS263	7	0.573706473
NCS263	8	0.570183233
NCS263	9	0.528795407
