Feature_id	Mean_decrease_in_accuracy	Standard_deviation
246477	0.00668007464263428	0.000960082394710108
2862781	0.00356093772026617	0.000941655765026419
1042479	0.00261093323147441	0.000328258068225706
28952	0.00244561178988989	0.000624655089460708
74391	0.00210260820363979	0.000830570526955325
6378	0.00202291025086303	0.000693507649433958
3801267	0.00181491108572423	0.000565194753285161
74655	0.00180868167835174	0.000310860850355388
471141	0.00175091877043676	0.000462517123389721
970302	0.00168339357965264	0.000395532136231125
4200871	0.0016748359968833	0.000345867450384633
370432	0.00165105633117972	0.000454908323075949
1017181	0.00160736928665178	0.000388251560392168
958078	0.00157239807447983	0.00054857610654334
530206	0.00147035825295231	0.000229495311879963
56203	0.00146471889562254	0.000739303649961635
63123	0.00143224676063471	0.000415587736290192
60136	0.00138445006851349	0.000192806741085312
93000	0.00136662380268931	0.000599053274844809
535825	0.00134757244437871	0.000250027827772303
654696	0.00133184470114039	0.000406628139203208
148259	0.00120043342542863	0.000534158074761477
3228684	0.00119528288045868	0.000561969963389839
582722	0.00116545425364723	0.000283930715618658
342427	0.00112619936865421	0.000182642394694921
70038	0.00112057048621467	0.000576555447958121
1866742	0.00107202676361894	0.000593223559578122
705241	0.00106521674716676	0.000141641957984329
328331	0.00105907525968136	0.000262823454242371
239506	0.00104098024727514	0.000428213807674761
548730	0.00098275816078874	0.000311736188060946
470477	0.00094577938677432	0.000265535666693963
652802	0.000922965021466838	0.000338217163330586
4030370	0.000913072378356853	0.000535764856968526
621651	0.000893437138127509	0.000388538952744323
104043	0.00088687674723124	0.000336069257239566
526872	0.000869759565768951	0.000393485922779625
132328	0.000856018760692401	0.00026364999817646
17538	0.000854113080893977	0.000300449802788239
932077	0.00083904416306132	0.000557665893061653
865469	0.000824879820015422	0.000321689281654775
244710	0.00081942530839125	0.000359127574172239
4213913	0.00081557849887327	0.000290420181448445
2654263	0.000775353049947207	0.000458378518935786
529659	0.000771930227410455	0.000139645368299507
204197	0.000667449356305959	0.000354108868273725
3445563	0.000649469072972104	0.000282590529898055
142000	0.000643476575956214	0.000214397077299556
539347	0.000633306754710972	6.2903648883646e-05
210076	0.000616982619117942	0.000283499580922314
676957	0.000591375046103932	0.000274145536767939
13354	0.000578549715519407	0.000112212749196651
569912	0.000549712706877544	0.000361964396541883
525942	0.000539452313118832	0.000171903147242853
92034	0.000529406007406106	0.000235018024867242
585419	0.000513666559785108	0.000141159524476675
1065569	0.000491527179662317	0.000195693488728527
4062649	0.000491243690879886	0.000419693742042395
2510538	0.000484394491839513	0.000150833854287906
