#SampleID	CU	NAU	NCS
T20537	0.294	0.56	0.146
T20809	0.594	0.294	0.112
NAUMCON10	0.566	0.35	0.084
T20990	0.56	0.35	0.09
T20803	0.458	0.362	0.18
T20271	0.21	0.632	0.158
T20578	0.346	0.488	0.166
T21108	0.334	0.608	0.058
T20626	0.398	0.476	0.126
T20557	0.262	0.564	0.174
T20522	0.46	0.4	0.14
T20822	0.594	0.34	0.066
T21180	0.226	0.618	0.156
T20306	0.364	0.508	0.128
T20749	0.61	0.308	0.082
T21157	0.392	0.488	0.12
T20667	0.364	0.474	0.162
T20325	0.274	0.53	0.196
T20734	0.6	0.308	0.092
T21190	0.524	0.384	0.092
T21317	0.326	0.492	0.182
T20570	0.268	0.506	0.226
T20303	0.324	0.5	0.176
T20282	0.376	0.552	0.072
T20555	0.548	0.36	0.092
T20802	0.598	0.322	0.08
T20890	0.266	0.55	0.184
T20539	0.416	0.464	0.12
T20571	0.446	0.474	0.08
T20064	0.286	0.492	0.222
T21252	0.292	0.602	0.106
T20634	0.59	0.354	0.056
T21469	0.4	0.39	0.21
T20647	0.284	0.508	0.208
T20322	0.346	0.56	0.094
T21467	0.456	0.46	0.084
T20524	0.488	0.41	0.102
T20360	0.536	0.334	0.13
T20332	0.246	0.454	0.3
T20568	0.202	0.62	0.178
T20906	0.276	0.586	0.138
T20606	0.444	0.422	0.134
T20391	0.416	0.442	0.142
T20323	0.26	0.464	0.276
T20849	0.6	0.344	0.056
T20269	0.306	0.45	0.244
T21327	0.492	0.386	0.122
T20549	0.578	0.342	0.08
T20577	0.456	0.452	0.092
T20309	0.574	0.38	0.046
T20454	0.198	0.5	0.302
T20591	0.556	0.404	0.04
T20242	0.374	0.528	0.098
T20796	0.548	0.362	0.09
NCSMCON17	0.52	0.39	0.09
T20444	0.382	0.466	0.152
T21178	0.422	0.438	0.14
T21086	0.28	0.486	0.234
T20395	0.24	0.666	0.094
T20569	0.51	0.336	0.154
T20756	0.422	0.434	0.144
T21219	0.35	0.474	0.176
T21118	0.532	0.41	0.058
T21069	0.248	0.526	0.226
