#SampleID	CU	NAU	NCS
F05497	0.424	0.444	0.132
NAUFCON09	0.326	0.452	0.222
F05425	0.254	0.704	0.042
F05456	0.222	0.728	0.05
F05252	0.262	0.662	0.076
F05453	0.398	0.486	0.116
F05389	0.33	0.416	0.254
F06282	0.258	0.686	0.056
NCSFCON13	0.27	0.542	0.188
F05821	0.242	0.692	0.066
CUFCON03	0.34	0.406	0.254
F06286	0.354	0.492	0.154
F06208	0.296	0.644	0.06
F06598	0.478	0.368	0.154
F06127	0.52	0.304	0.176
F05884	0.312	0.518	0.17
F05295	0.316	0.548	0.136
F06216	0.266	0.65	0.084
F05486	0.218	0.618	0.164
F05961	0.412	0.192	0.396
F05828	0.4	0.54	0.06
F05936	0.396	0.31	0.294
F05100	0.316	0.598	0.086
F05282	0.218	0.682	0.1
F05373	0.266	0.458	0.276
F06162	0.472	0.41	0.118
F06577	0.506	0.374	0.12
F05443	0.366	0.568	0.066
F05646	0.558	0.32	0.122
F05925	0.32	0.316	0.364
F05365	0.362	0.34	0.298
F05490	0.34	0.53	0.13
F05620	0.534	0.344	0.122
F06447	0.638	0.264	0.098
F05024	0.432	0.28	0.288
F05157	0.332	0.526	0.142
F05268	0.252	0.586	0.162
F06366	0.466	0.354	0.18
F06468	0.602	0.266	0.132
F05382	0.346	0.208	0.446
F06414	0.546	0.382	0.072
F05106	0.264	0.602	0.134
F05255	0.28	0.464	0.256
F05966	0.414	0.21	0.376
F05903	0.286	0.382	0.332
F05628	0.562	0.346	0.092
F05974	0.252	0.336	0.412
F06294	0.286	0.626	0.088
F06584	0.522	0.252	0.226
F05458	0.368	0.514	0.118
F06015	0.358	0.31	0.332
F05060	0.334	0.412	0.254
F05629	0.48	0.468	0.052
F06581	0.508	0.316	0.176
F06386	0.514	0.418	0.068
F05523	0.266	0.634	0.1
F06528	0.53	0.36	0.11
F06436	0.506	0.374	0.12
F06562	0.392	0.404	0.204
F06582	0.548	0.334	0.118
F06219	0.478	0.354	0.168
F06407	0.462	0.262	0.276
F05980	0.298	0.416	0.286
F05321	0.396	0.374	0.23
F06443	0.444	0.442	0.114
F05923	0.412	0.284	0.304
F05850	0.368	0.504	0.128
F06186	0.548	0.34	0.112
F05510	0.314	0.5	0.186
F05442	0.3	0.478	0.222
F05433	0.368	0.512	0.12
F06560	0.47	0.372	0.158
F05520	0.214	0.704	0.082
F06055	0.354	0.3	0.346
F05120	0.412	0.39	0.198
F06005	0.446	0.4	0.154
F05984	0.364	0.228	0.408
F05813	0.264	0.654	0.082
F05471	0.344	0.56	0.096
F05227	0.264	0.584	0.152
F05003	0.4	0.328	0.272
F06370	0.634	0.304	0.062
F06264	0.436	0.466	0.098
F06522	0.49	0.378	0.132
F05973	0.352	0.282	0.366
F06492	0.54	0.266	0.194
F06001	0.288	0.35	0.362
F05232	0.24	0.646	0.114
F05606	0.666	0.21	0.124
F05995	0.334	0.426	0.24
F06503	0.458	0.39	0.152
F06466	0.578	0.304	0.118
F05656	0.45	0.404	0.146
F06465	0.54	0.36	0.1
F05207	0.314	0.546	0.14
F06352	0.488	0.38	0.132
F05909	0.372	0.338	0.29
F05857	0.466	0.414	0.12
F05901	0.41	0.292	0.298
F05288	0.214	0.684	0.102
F06451	0.644	0.27	0.086
F06514	0.428	0.45	0.122
F06546	0.538	0.348	0.114
F05387	0.368	0.37	0.262
F06574	0.498	0.386	0.116
F05866	0.228	0.714	0.058
F06550	0.42	0.408	0.172
F05986	0.29	0.42	0.29
F05418	0.344	0.516	0.14
F05436	0.394	0.458	0.148
F05200	0.266	0.644	0.09
F05689	0.488	0.384	0.128
F05556	0.318	0.618	0.064
F06493	0.524	0.334	0.142
F06019	0.334	0.172	0.494
F06385	0.496	0.412	0.092
F05937	0.356	0.418	0.226
F06464	0.448	0.486	0.066
F05088	0.318	0.222	0.46
F06204	0.31	0.486	0.204
F06293	0.256	0.628	0.116
F05807	0.268	0.654	0.078
F05449	0.374	0.562	0.064
F06332	0.538	0.304	0.158
F06335	0.398	0.394	0.208
F05669	0.48	0.376	0.144
F06106	0.488	0.35	0.162
F05253	0.172	0.728	0.1
F06597	0.454	0.442	0.104
F05637	0.364	0.44	0.196
F05625	0.404	0.464	0.132
F06432	0.558	0.344	0.098
F06232	0.23	0.692	0.078
F05648	0.486	0.33	0.184
F05105	0.222	0.67	0.108
F06501	0.562	0.326	0.112
F05503	0.31	0.482	0.208
F05138	0.278	0.616	0.106
F05867	0.416	0.47	0.114
NCSFCON16	0.47	0.35	0.18
F06382	0.428	0.34	0.232
F05852	0.424	0.44	0.136
F05839	0.21	0.694	0.096
F05410	0.248	0.554	0.198
F05836	0.242	0.63	0.128
F06524	0.562	0.254	0.184
F05847	0.266	0.578	0.156
F05941	0.406	0.364	0.23
F06445	0.502	0.416	0.082
F05858	0.264	0.554	0.182
F05898	0.324	0.518	0.158
F06429	0.514	0.37	0.116
F05819	0.326	0.594	0.08
F06439	0.562	0.348	0.09
F05209	0.332	0.542	0.126
F05064	0.37	0.232	0.398
F05672	0.55	0.262	0.188
F05511	0.262	0.612	0.126
F06306	0.372	0.52	0.108
F05874	0.326	0.524	0.15
F06059	0.352	0.348	0.3
F06437	0.414	0.406	0.18
