#SampleID	CU	NAU	NCS
F06009	0.358	0.382	0.26
F05101	0.306	0.536	0.158
F06241	0.296	0.572	0.132
F06563	0.476	0.374	0.15
F05314	0.334	0.336	0.33
F05242	0.304	0.56	0.136
F06435	0.622	0.288	0.09
F05500	0.286	0.568	0.146
F05890	0.396	0.498	0.106
F05091	0.332	0.322	0.346
F05815	0.254	0.63	0.116
F05451	0.246	0.63	0.124
F05276	0.36	0.506	0.134
F05435	0.382	0.522	0.096
F06391	0.464	0.346	0.19
F05447	0.258	0.656	0.086
F06310	0.504	0.392	0.104
F06109	0.51	0.386	0.104
F05802	0.28	0.602	0.118
F05812	0.274	0.642	0.084
F06362	0.51	0.358	0.132
F05063	0.322	0.364	0.314
F05835	0.318	0.548	0.134
F06453	0.492	0.376	0.132
F05855	0.292	0.566	0.142
F06541	0.494	0.348	0.158
F06311	0.438	0.388	0.174
F05638	0.35	0.402	0.248
F06537	0.508	0.34	0.152
F06398	0.5	0.296	0.204
F05247	0.404	0.432	0.164
F05661	0.408	0.418	0.174
F05845	0.246	0.584	0.17
F06458	0.498	0.374	0.128
F05879	0.23	0.672	0.098
F05622	0.52	0.388	0.092
F05177	0.386	0.546	0.068
F05400	0.368	0.558	0.074
F06336	0.554	0.292	0.154
F06343	0.526	0.374	0.1
F05803	0.2	0.71	0.09
F06471	0.508	0.398	0.094
F05117	0.224	0.67	0.106
F05684	0.474	0.388	0.138
F06312	0.264	0.6	0.136
F05206	0.294	0.552	0.154
F05158	0.282	0.556	0.162
F06462	0.448	0.45	0.102
F05692	0.34	0.576	0.084
F05094	0.3	0.492	0.208
F05697	0.47	0.384	0.146
F05495	0.378	0.476	0.146
F05989	0.388	0.38	0.232
F05912	0.312	0.372	0.316
F05008	0.376	0.286	0.338
F06599	0.472	0.382	0.146
F06075	0.292	0.388	0.32
F05555	0.324	0.554	0.122
F05536	0.324	0.556	0.12
F06002	0.326	0.424	0.25
F06295	0.406	0.494	0.1
F05475	0.232	0.652	0.116
F05668	0.39	0.49	0.12
F05076	0.422	0.31	0.268
F05521	0.296	0.572	0.132
F05533	0.26	0.53	0.21
F06526	0.468	0.366	0.166
F06031	0.406	0.378	0.216
F05216	0.296	0.542	0.162
F06022	0.302	0.228	0.47
F06365	0.404	0.304	0.292
F05077	0.322	0.392	0.286
F06045	0.364	0.332	0.304
F05469	0.328	0.548	0.124
F05572	0.372	0.51	0.118
F05685	0.476	0.386	0.138
F05170	0.238	0.642	0.12
F05910	0.282	0.488	0.23
F05927	0.386	0.382	0.232
F05920	0.498	0.272	0.23
F05650	0.36	0.562	0.078
F05599	0.374	0.432	0.194
F05542	0.358	0.498	0.144
F05676	0.594	0.314	0.092
F05875	0.246	0.69	0.064
F05987	0.382	0.298	0.32
F06367	0.368	0.55	0.082
F06305	0.446	0.398	0.156
F05897	0.462	0.338	0.2
F06559	0.368	0.404	0.228
F05108	0.282	0.632	0.086
F05671	0.456	0.406	0.138
F06123	0.506	0.368	0.126
F06012	0.256	0.364	0.38
F06034	0.35	0.324	0.326
F05233	0.214	0.698	0.088
F05439	0.318	0.558	0.124
F06139	0.624	0.27	0.106
F05591	0.356	0.516	0.128
F06377	0.422	0.484	0.094
F05474	0.298	0.61	0.092
F05405	0.25	0.666	0.084
F06092	0.288	0.174	0.538
F05834	0.386	0.38	0.234
F05674	0.382	0.474	0.144
F05065	0.33	0.368	0.302
F05515	0.278	0.598	0.124
F05236	0.274	0.638	0.088
F05229	0.33	0.448	0.222
F05993	0.232	0.572	0.196
F05041	0.196	0.366	0.438
F05031	0.258	0.392	0.35
F06057	0.362	0.222	0.416
F05049	0.3	0.218	0.482
F05626	0.528	0.32	0.152
F06261	0.388	0.528	0.084
F05219	0.274	0.628	0.098
F05513	0.238	0.62	0.142
F06265	0.366	0.566	0.068
F05660	0.518	0.398	0.084
F06063	0.362	0.288	0.35
F05969	0.382	0.358	0.26
F05682	0.398	0.394	0.208
F05833	0.388	0.498	0.114
F06320	0.542	0.346	0.112
F05621	0.386	0.526	0.088
F06428	0.462	0.386	0.152
F05893	0.246	0.644	0.11
F05876	0.238	0.67	0.092
F06556	0.45	0.464	0.086
F05409	0.352	0.534	0.114
F05690	0.474	0.362	0.164
F05583	0.192	0.716	0.092
F06060	0.242	0.41	0.348
F06441	0.566	0.302	0.132
F05416	0.374	0.486	0.14
F06290	0.21	0.674	0.116
F05816	0.41	0.448	0.142
F06476	0.5	0.334	0.166
F05034	0.266	0.158	0.576
NAUFCON11	0.486	0.256	0.258
F06490	0.588	0.278	0.134
F06349	0.526	0.364	0.11
F06555	0.464	0.44	0.096
F05990	0.292	0.438	0.27
F05444	0.348	0.518	0.134
F06449	0.546	0.372	0.082
F05012	0.414	0.294	0.292
F06263	0.31	0.55	0.14
F06296	0.35	0.554	0.096
F06201	0.256	0.664	0.08
F06361	0.492	0.404	0.104
F06495	0.526	0.36	0.114
F05639	0.56	0.296	0.144
F05576	0.262	0.59	0.148
F05887	0.288	0.572	0.14
F06085	0.296	0.386	0.318
F05403	0.378	0.514	0.108
F05287	0.244	0.662	0.094
F05869	0.38	0.456	0.164
F05957	0.366	0.426	0.208
F06342	0.462	0.424	0.114
F06489	0.472	0.264	0.264
F06299	0.22	0.628	0.152
F05036	0.31	0.558	0.132
F05126	0.402	0.504	0.094
F06416	0.634	0.292	0.074
F06384	0.372	0.426	0.202
F06356	0.542	0.312	0.146
F05431	0.388	0.488	0.124
F05574	0.2	0.726	0.074
F05463	0.292	0.604	0.104
F06119	0.386	0.436	0.178
F05932	0.432	0.288	0.28
F05466	0.29	0.574	0.136
F06520	0.36	0.506	0.134
F05485	0.392	0.504	0.104
F06425	0.414	0.416	0.17
F05092	0.27	0.372	0.358
F05537	0.352	0.504	0.144
F06334	0.516	0.358	0.126
F05814	0.308	0.614	0.078
F06051	0.332	0.18	0.488
F05546	0.39	0.494	0.116
F05964	0.346	0.424	0.23
F05053	0.394	0.374	0.232
F06469	0.494	0.356	0.15
F06583	0.382	0.482	0.136
F06217	0.394	0.482	0.124
F05351	0.342	0.456	0.202
F06575	0.568	0.282	0.15
F05476	0.27	0.612	0.118
F05056	0.298	0.57	0.132
F05151	0.274	0.566	0.16
F05050	0.374	0.298	0.328
F06340	0.374	0.484	0.142
F05570	0.286	0.59	0.124
F06210	0.272	0.588	0.14
F05438	0.258	0.646	0.096
F05213	0.368	0.502	0.13
F05069	0.38	0.372	0.248
F06307	0.55	0.338	0.112
F06357	0.526	0.398	0.076
F06509	0.408	0.388	0.204
F05357	0.422	0.292	0.286
F05630	0.408	0.466	0.126
F06287	0.296	0.568	0.136
F06402	0.522	0.382	0.096
F05862	0.254	0.638	0.108
F05902	0.286	0.45	0.264
F06250	0.246	0.696	0.058
F05496	0.378	0.452	0.17
F06499	0.576	0.286	0.138
F05479	0.314	0.586	0.1
F05039	0.272	0.252	0.476
F05519	0.318	0.546	0.136
F06446	0.52	0.336	0.144
F06474	0.538	0.36	0.102
F05806	0.272	0.538	0.19
F06440	0.476	0.376	0.148
F06346	0.492	0.352	0.156
F06317	0.488	0.302	0.21
F06072	0.296	0.132	0.572
F05293	0.306	0.608	0.086
F05554	0.338	0.5	0.162
F06519	0.562	0.304	0.134
F05256	0.332	0.544	0.124
F05665	0.46	0.406	0.134
F06097	0.24	0.476	0.284
F05028	0.304	0.476	0.22
F06039	0.416	0.366	0.218
F06585	0.502	0.36	0.138
F06531	0.52	0.306	0.174
F05162	0.366	0.5	0.134
F06500	0.418	0.474	0.108
F05550	0.302	0.582	0.116
F06271	0.234	0.638	0.128
F05644	0.494	0.39	0.116
F05543	0.248	0.672	0.08
F05810	0.342	0.58	0.078
F06209	0.298	0.602	0.1
F05808	0.412	0.468	0.12
F05452	0.27	0.59	0.14
F06413	0.492	0.364	0.144
F05590	0.33	0.492	0.178
F05571	0.274	0.632	0.094
F05851	0.338	0.486	0.176
F05849	0.272	0.638	0.09
F05404	0.422	0.494	0.084
F06270	0.324	0.548	0.128
F06024	0.356	0.386	0.258
F06467	0.466	0.386	0.148
F05211	0.326	0.534	0.14
F06508	0.624	0.266	0.11
F06491	0.504	0.382	0.114
F06404	0.506	0.388	0.106
F05043	0.368	0.41	0.222
F05921	0.352	0.328	0.32
F05647	0.438	0.448	0.114
F05613	0.39	0.46	0.15
F05609	0.46	0.448	0.092
F05199	0.362	0.562	0.076
F06068	0.366	0.316	0.318
F05030	0.272	0.488	0.24
F05328	0.37	0.354	0.276
F05487	0.33	0.602	0.068
F05843	0.282	0.584	0.134
F05038	0.328	0.268	0.404
F05694	0.472	0.33	0.198
F06339	0.34	0.57	0.09
F05871	0.332	0.528	0.14
F05654	0.456	0.36	0.184
F05688	0.402	0.444	0.154
CUFCON00	0.394	0.394	0.212
F05009	0.324	0.394	0.282
F05864	0.274	0.588	0.138
F05133	0.31	0.45	0.24
F05865	0.33	0.514	0.156
F05907	0.246	0.488	0.266
F05062	0.312	0.466	0.222
F05985	0.336	0.32	0.344
F06473	0.418	0.424	0.158
F06460	0.556	0.298	0.146
F05086	0.306	0.23	0.464
F06211	0.302	0.552	0.146
F05114	0.298	0.64	0.062
F05643	0.436	0.438	0.126
F05649	0.4	0.396	0.204
F05340	0.404	0.26	0.336
F05587	0.24	0.612	0.148
F06223	0.272	0.64	0.088
F06433	0.512	0.366	0.122
F05202	0.282	0.596	0.122
F05538	0.524	0.358	0.118
F05826	0.44	0.466	0.094
F05679	0.524	0.328	0.148
F06018	0.274	0.138	0.588
F05299	0.45	0.442	0.108
F05059	0.258	0.262	0.48
F06590	0.366	0.412	0.222
F05084	0.424	0.308	0.268
F06044	0.314	0.214	0.472
F05274	0.416	0.394	0.19
F06372	0.356	0.396	0.248
F05294	0.316	0.642	0.042
F06175	0.476	0.42	0.104
F05553	0.316	0.51	0.174
F06510	0.576	0.314	0.11
F06411	0.456	0.366	0.178
F05246	0.252	0.606	0.142
F05509	0.314	0.54	0.146
CUFCON02	0.398	0.418	0.184
F06239	0.304	0.624	0.072
F06450	0.414	0.458	0.128
F05468	0.32	0.55	0.13
F06480	0.404	0.454	0.142
F05046	0.388	0.29	0.322
F05544	0.224	0.624	0.152
F05527	0.222	0.71	0.068
F05976	0.352	0.372	0.276
F05402	0.35	0.526	0.124
F06410	0.486	0.386	0.128
F06202	0.534	0.396	0.07
F06330	0.41	0.52	0.07
F06452	0.408	0.414	0.178
F05567	0.278	0.63	0.092
F06338	0.34	0.522	0.138
F06253	0.312	0.62	0.068
F06355	0.456	0.434	0.11
F06479	0.476	0.364	0.16
F05645	0.492	0.358	0.15
F05450	0.342	0.568	0.09
F06530	0.46	0.4	0.14
F06381	0.462	0.386	0.152
F05559	0.286	0.608	0.106
F05635	0.484	0.33	0.186
F06252	0.238	0.662	0.1
F05045	0.354	0.47	0.176
F06565	0.622	0.298	0.08
F06324	0.482	0.432	0.086
F05465	0.338	0.48	0.182
F06405	0.52	0.302	0.178
F05615	0.548	0.342	0.11
F05873	0.378	0.504	0.118
F05604	0.428	0.456	0.116
F06558	0.436	0.388	0.176
F05226	0.288	0.64	0.072
F05881	0.274	0.616	0.11
F05517	0.36	0.49	0.15
F05362	0.298	0.188	0.514
F06102	0.44	0.392	0.168
F05415	0.27	0.6	0.13
F05605	0.434	0.36	0.206
F05611	0.444	0.462	0.094
F05191	0.236	0.598	0.166
NCSFCON12	0.346	0.368	0.286
F05267	0.216	0.65	0.134
F05021	0.232	0.224	0.544
F05983	0.356	0.454	0.19
F06278	0.214	0.686	0.1
F05507	0.224	0.668	0.108
F06448	0.422	0.486	0.092
F06006	0.252	0.524	0.224
F06333	0.598	0.164	0.238
F06475	0.508	0.364	0.128
F05532	0.354	0.586	0.06
F05001	0.334	0.54	0.126
F05339	0.382	0.436	0.182
F05809	0.456	0.418	0.126
F06529	0.514	0.354	0.132
F05441	0.326	0.506	0.168
F06482	0.454	0.394	0.152
F05506	0.288	0.594	0.118
F06567	0.434	0.468	0.098
F05004	0.354	0.432	0.214
F06062	0.352	0.298	0.35
F05279	0.354	0.502	0.144
F05002	0.19	0.114	0.696
F05619	0.45	0.444	0.106
F06319	0.47	0.328	0.202
F05548	0.34	0.524	0.136
F05058	0.41	0.366	0.224
F05522	0.36	0.514	0.126
F05658	0.524	0.368	0.108
F05612	0.55	0.316	0.134
F05343	0.328	0.58	0.092
F06233	0.36	0.508	0.132
F05557	0.292	0.598	0.11
F05124	0.408	0.442	0.15
F05883	0.346	0.572	0.082
F06196	0.522	0.392	0.086
F05512	0.314	0.63	0.056
F06412	0.71	0.19	0.1
F05838	0.248	0.696	0.056
F05977	0.362	0.412	0.226
F06470	0.438	0.352	0.21
F06064	0.212	0.49	0.298
F06004	0.374	0.272	0.354
F05565	0.41	0.506	0.084
F06420	0.544	0.284	0.172
F06454	0.618	0.236	0.146
F05608	0.752	0.156	0.092
F06456	0.534	0.398	0.068
F05614	0.49	0.376	0.134
F06275	0.352	0.536	0.112
F06543	0.398	0.448	0.154
F06534	0.414	0.498	0.088
F06478	0.506	0.428	0.066
F05888	0.39	0.458	0.152
F05530	0.342	0.506	0.152
F05882	0.41	0.478	0.112
F05454	0.302	0.602	0.096
F05652	0.46	0.42	0.12
F05947	0.34	0.35	0.31
F05446	0.36	0.5	0.14
F05061	0.388	0.494	0.118
F06421	0.478	0.412	0.11
F06302	0.466	0.452	0.082
F05142	0.336	0.514	0.15
F06242	0.258	0.68	0.062
F06457	0.436	0.422	0.142
F05564	0.358	0.538	0.104
F06331	0.372	0.506	0.122
F06288	0.354	0.562	0.084
F06360	0.464	0.418	0.118
F05958	0.326	0.438	0.236
F05029	0.382	0.478	0.14
F05407	0.312	0.602	0.086
F06576	0.502	0.376	0.122
F05361	0.434	0.418	0.148
F06580	0.512	0.398	0.09
F05102	0.488	0.37	0.142
F06276	0.306	0.57	0.124
F06545	0.346	0.582	0.072
F05831	0.364	0.488	0.148
F05659	0.334	0.518	0.148
F05911	0.494	0.276	0.23
F05840	0.268	0.62	0.112
F05432	0.334	0.574	0.092
F06488	0.516	0.282	0.202
F05068	0.348	0.378	0.274
F05075	0.25	0.658	0.092
F05601	0.408	0.46	0.132
F06026	0.344	0.3	0.356
F06082	0.34	0.444	0.216
F06589	0.568	0.294	0.138
F06434	0.356	0.528	0.116
F05822	0.228	0.674	0.098
F05345	0.412	0.344	0.244
F06021	0.284	0.498	0.218
F05534	0.398	0.492	0.11
F05592	0.324	0.566	0.11
F06523	0.458	0.378	0.164
F05412	0.442	0.418	0.14
F06578	0.464	0.364	0.172
F05663	0.376	0.41	0.214
F06166	0.476	0.396	0.128
F06323	0.494	0.376	0.13
F06540	0.456	0.412	0.132
F05830	0.342	0.494	0.164
F06369	0.354	0.508	0.138
F06548	0.516	0.26	0.224
F06389	0.726	0.172	0.102
F06397	0.396	0.448	0.156
F06248	0.348	0.448	0.204
F05461	0.316	0.554	0.13
F05180	0.41	0.454	0.136
F06215	0.448	0.448	0.104
F06226	0.332	0.584	0.084
F05683	0.574	0.31	0.116
F06353	0.346	0.516	0.138
F06303	0.42	0.446	0.134
F05844	0.32	0.606	0.074
F06351	0.406	0.502	0.092
F06094	0.288	0.436	0.276
F05278	0.29	0.6	0.11
F06363	0.402	0.404	0.194
F05472	0.2	0.692	0.108
F06459	0.556	0.294	0.15
F06284	0.39	0.472	0.138
F06481	0.414	0.386	0.2
F06505	0.514	0.386	0.1
F06168	0.412	0.468	0.12
F06268	0.31	0.586	0.104
F06054	0.25	0.426	0.324
F06461	0.548	0.324	0.128
F05595	0.318	0.612	0.07
F05580	0.446	0.436	0.118
F05640	0.41	0.442	0.148
F06400	0.508	0.412	0.08
NAUFCON08	0.44	0.284	0.276
F06487	0.528	0.35	0.122
F05655	0.418	0.48	0.102
F06224	0.234	0.69	0.076
F05664	0.406	0.412	0.182
F05837	0.266	0.668	0.066
F05841	0.348	0.548	0.104
F06337	0.3	0.516	0.184
F05427	0.254	0.662	0.084
F05429	0.35	0.55	0.1
F05483	0.38	0.502	0.118
F06483	0.474	0.348	0.178
F06485	0.494	0.382	0.124
F05566	0.372	0.578	0.05
F06170	0.482	0.374	0.144
F06424	0.524	0.278	0.198
F06572	0.478	0.366	0.156
F05457	0.29	0.548	0.162
F05322	0.224	0.214	0.562
F06301	0.396	0.484	0.12
F06553	0.48	0.402	0.118
F06291	0.374	0.51	0.116
F06399	0.386	0.494	0.12
F06401	0.58	0.276	0.144
F06269	0.314	0.626	0.06
F05675	0.38	0.478	0.142
F05116	0.314	0.556	0.13
F06285	0.324	0.572	0.104
F06472	0.434	0.412	0.154
F05477	0.31	0.538	0.152
F06517	0.458	0.402	0.14
F05225	0.274	0.632	0.094
F05832	0.472	0.4	0.128
F05423	0.372	0.494	0.134
F06289	0.392	0.534	0.074
NCSFCON17	0.502	0.24	0.258
F05421	0.228	0.554	0.218
F05111	0.328	0.582	0.09
F05051	0.282	0.532	0.186
F05960	0.258	0.56	0.182
F06329	0.36	0.496	0.144
F06551	0.454	0.43	0.116
F05896	0.358	0.51	0.132
F06181	0.512	0.35	0.138
F05066	0.326	0.484	0.19
F06502	0.382	0.48	0.138
F06378	0.418	0.364	0.218
F05651	0.386	0.526	0.088
F05136	0.308	0.594	0.098
F06093	0.358	0.362	0.28
F05891	0.396	0.506	0.098
F06088	0.394	0.32	0.286
F05597	0.344	0.508	0.148
F05518	0.278	0.596	0.126
F06532	0.294	0.62	0.086
F06354	0.372	0.528	0.1
F05525	0.362	0.492	0.146
F06300	0.334	0.59	0.076
NCSFCON14	0.358	0.39	0.252
F06511	0.406	0.372	0.222
F05586	0.452	0.464	0.084
F05885	0.31	0.536	0.154
F05430	0.25	0.664	0.086
F05598	0.242	0.658	0.1
F05502	0.378	0.464	0.158
F05145	0.316	0.552	0.132
F05945	0.398	0.444	0.158
F05551	0.362	0.53	0.108
F06536	0.392	0.48	0.128
F05560	0.266	0.59	0.144
F06225	0.35	0.546	0.104
F05470	0.348	0.52	0.132
F06591	0.48	0.326	0.194
F05805	0.152	0.78	0.068
F05183	0.448	0.424	0.128
F05481	0.316	0.6	0.084
F06304	0.476	0.39	0.134
F05529	0.28	0.604	0.116
F05350	0.29	0.474	0.236
F05686	0.422	0.386	0.192
F06292	0.368	0.52	0.112
F05889	0.216	0.694	0.09
F06552	0.422	0.442	0.136
F05540	0.276	0.628	0.096
F06579	0.512	0.406	0.082
F05110	0.284	0.618	0.098
F05155	0.392	0.488	0.12
F05854	0.426	0.454	0.12
F05524	0.222	0.676	0.102
F06259	0.308	0.626	0.066
F05119	0.376	0.494	0.13
F06230	0.324	0.64	0.036
F05870	0.264	0.616	0.12
F06190	0.434	0.488	0.078
F06484	0.5	0.324	0.176
F05582	0.3	0.612	0.088
F06345	0.398	0.478	0.124
F06236	0.234	0.684	0.082
F05693	0.422	0.482	0.096
F05445	0.296	0.556	0.148
F06277	0.33	0.548	0.122
F06052	0.386	0.346	0.268
F06403	0.376	0.392	0.232
F06297	0.334	0.562	0.104
F05607	0.444	0.466	0.09
F05526	0.278	0.642	0.08
F06538	0.376	0.544	0.08
F05848	0.304	0.614	0.082
F05811	0.324	0.572	0.104
F05467	0.31	0.506	0.184
F06220	0.318	0.588	0.094
F06200	0.374	0.484	0.142
F05531	0.394	0.502	0.104
F06326	0.446	0.45	0.104
F05192	0.284	0.556	0.16
F05258	0.228	0.65	0.122
F06542	0.374	0.494	0.132
F05489	0.27	0.598	0.132
NAUFCON06	0.382	0.436	0.182
F06415	0.402	0.474	0.124
F05681	0.434	0.428	0.138
F06249	0.316	0.594	0.09
F05414	0.274	0.568	0.158
F06419	0.558	0.336	0.106
F05991	0.382	0.496	0.122
F06396	0.45	0.436	0.114
CUFCON01	0.374	0.36	0.266
F06257	0.328	0.578	0.094
F06243	0.322	0.624	0.054
F05025	0.326	0.456	0.218
F05861	0.378	0.504	0.118
F05113	0.344	0.55	0.106
F05817	0.292	0.586	0.122
F06244	0.404	0.48	0.116
F05568	0.29	0.51	0.2
F05161	0.284	0.67	0.046
F06237	0.304	0.608	0.088
F05201	0.32	0.574	0.106
F05863	0.344	0.556	0.1
F05636	0.392	0.434	0.174
CUFCON05	0.33	0.41	0.26
F06086	0.392	0.436	0.172
F05104	0.41	0.448	0.142
F06557	0.404	0.46	0.136
F05563	0.348	0.544	0.108
F05426	0.342	0.61	0.048
F06564	0.584	0.312	0.104
F06387	0.534	0.406	0.06
F05250	0.338	0.568	0.094
F05928	0.41	0.374	0.216
F06318	0.536	0.344	0.12
F05006	0.416	0.422	0.162
F05455	0.4	0.502	0.098
F06592	0.47	0.362	0.168
F06247	0.3	0.526	0.174
F06212	0.284	0.592	0.124
F05499	0.45	0.438	0.112
F05223	0.506	0.344	0.15
F05424	0.332	0.542	0.126
F06539	0.66	0.294	0.046
F05484	0.384	0.494	0.122
F05265	0.338	0.526	0.136
F05417	0.46	0.422	0.118
F06494	0.48	0.406	0.114
F06549	0.418	0.484	0.098
F05680	0.446	0.382	0.172
F06393	0.456	0.448	0.096
F05109	0.314	0.592	0.094
F05662	0.348	0.532	0.12
F05603	0.434	0.462	0.104
F05624	0.444	0.422	0.134
F05617	0.392	0.484	0.124
F06426	0.282	0.564	0.154
F05401	0.286	0.63	0.084
F05143	0.256	0.676	0.068
F06309	0.596	0.32	0.084
F05894	0.372	0.52	0.108
F06586	0.508	0.362	0.13
F05593	0.358	0.58	0.062
F05482	0.316	0.58	0.104
F06568	0.458	0.432	0.11
F05859	0.28	0.634	0.086
F05448	0.294	0.62	0.086
F05575	0.384	0.446	0.17
CUFCON04	0.316	0.41	0.274
F05588	0.426	0.502	0.072
F06423	0.596	0.312	0.092
F06417	0.424	0.402	0.174
F05842	0.26	0.668	0.072
F05516	0.428	0.448	0.124
F05569	0.28	0.652	0.068
F06272	0.338	0.568	0.094
F06504	0.44	0.478	0.082
F06422	0.446	0.436	0.118
F05408	0.33	0.528	0.142
NAUFCON10	0.474	0.252	0.274
F06498	0.368	0.554	0.078
F05055	0.274	0.504	0.222
F06274	0.402	0.474	0.124
F05419	0.312	0.606	0.082
F05820	0.596	0.278	0.126
NAUFCON07	0.43	0.39	0.18
F06350	0.5	0.392	0.108
F06533	0.43	0.474	0.096
F05594	0.356	0.554	0.09
NCSFCON15	0.47	0.288	0.242
F06316	0.406	0.516	0.078
F05562	0.4	0.47	0.13
F06570	0.592	0.34	0.068
F06205	0.34	0.534	0.126
F05825	0.266	0.65	0.084
F05210	0.364	0.576	0.06
F06359	0.46	0.394	0.146
F05804	0.31	0.63	0.06
