#SampleID	CU	NAU	NCS
G10414	0.302	0.626	0.072
G10403	0.226	0.714	0.06
G11185	0.386	0.532	0.082
G11014	0.284	0.67	0.046
G10896	0.57	0.356	0.074
G10876	0.472	0.414	0.114
CUGCON05	0.394	0.436	0.17
G11301	0.444	0.448	0.108
NCSGCON16	0.418	0.444	0.138
G10443	0.276	0.606	0.118
G10948	0.294	0.624	0.082
G10655	0.208	0.68	0.112
G10616	0.112	0.834	0.054
G11103	0.29	0.612	0.098
G10481	0.28	0.586	0.134
G10590	0.474	0.39	0.136
G11142	0.16	0.766	0.074
G11588	0.37	0.484	0.146
G10748	0.48	0.384	0.136
G10188	0.718	0.236	0.046
G11245	0.332	0.486	0.182
G10946	0.216	0.622	0.162
G10169	0.528	0.408	0.064
G11130	0.222	0.672	0.106
G10813	0.596	0.304	0.1
G10604	0.254	0.644	0.102
G11438	0.178	0.712	0.11
G10150	0.404	0.388	0.208
G11172	0.12	0.782	0.098
G11398	0.334	0.442	0.224
G10884	0.37	0.456	0.174
G10794	0.598	0.272	0.13
G10429	0.238	0.628	0.134
G11122	0.34	0.51	0.15
G11471	0.422	0.41	0.168
G10902	0.268	0.63	0.102
G11178	0.306	0.586	0.108
G11484	0.252	0.69	0.058
G11364	0.294	0.37	0.336
G10164	0.646	0.258	0.096
G10112	0.514	0.406	0.08
G10688	0.184	0.716	0.1
G10679	0.396	0.436	0.168
G11112	0.184	0.702	0.114
G10982	0.288	0.572	0.14
G10499	0.324	0.56	0.116
G10303	0.254	0.61	0.136
G11145	0.3	0.612	0.088
G11190	0.314	0.626	0.06
G11057	0.238	0.602	0.16
G11536	0.506	0.296	0.198
G10474	0.23	0.632	0.138
G10495	0.364	0.456	0.18
G10130	0.6	0.326	0.074
G10488	0.216	0.748	0.036
G10969	0.114	0.826	0.06
G10451	0.228	0.688	0.084
G10893	0.438	0.454	0.108
G10624	0.27	0.542	0.188
G10883	0.454	0.448	0.098
G11383	0.326	0.3	0.374
G11575	0.524	0.38	0.096
G11119	0.302	0.524	0.174
G11318	0.344	0.342	0.314
G11213	0.236	0.642	0.122
G10678	0.198	0.638	0.164
G10766	0.636	0.284	0.08
G10918	0.352	0.594	0.054
G10798	0.474	0.362	0.164
G10487	0.216	0.7	0.084
G10932	0.458	0.474	0.068
G11174	0.32	0.62	0.06
G11062	0.27	0.582	0.148
G10689	0.248	0.558	0.194
G10008	0.334	0.536	0.13
G10178	0.61	0.294	0.096
NAUGCON07	0.392	0.51	0.098
G11107	0.352	0.514	0.134
G10930	0.228	0.656	0.116
G10613	0.192	0.652	0.156
G11147	0.266	0.626	0.108
G10582	0.574	0.29	0.136
G10956	0.16	0.776	0.064
G11470	0.288	0.582	0.13
G11578	0.694	0.226	0.08
G10396	0.306	0.382	0.312
G10672	0.246	0.636	0.118
G10912	0.416	0.482	0.102
G10963	0.344	0.582	0.074
G11453	0.358	0.326	0.316
G11541	0.554	0.308	0.138
G10118	0.548	0.314	0.138
NCSGCON13	0.45	0.36	0.19
G10102	0.576	0.254	0.17
G10131	0.6	0.296	0.104
G11587	0.596	0.272	0.132
NAUGCON09	0.412	0.496	0.092
G10115	0.604	0.318	0.078
G11238	0.284	0.554	0.162
G11136	0.328	0.564	0.108
G10970	0.386	0.498	0.116
G10468	0.33	0.564	0.106
G11526	0.422	0.472	0.106
G11156	0.25	0.616	0.134
G10866	0.316	0.51	0.174
G10111	0.41	0.474	0.116
G11562	0.69	0.23	0.08
G11386	0.434	0.304	0.262
G11385	0.318	0.374	0.308
G11567	0.636	0.248	0.116
G10775	0.6	0.332	0.068
CUGCON01	0.45	0.39	0.16
G10739	0.564	0.362	0.074
G10339	0.262	0.342	0.396
G10133	0.498	0.416	0.086
G10887	0.562	0.348	0.09
G11184	0.27	0.504	0.226
G10971	0.382	0.428	0.19
G11406	0.276	0.424	0.3
G10687	0.284	0.602	0.114
G10860	0.54	0.328	0.132
G11196	0.336	0.61	0.054
G10712	0.408	0.472	0.12
CUGCON00	0.372	0.474	0.154
CUGCON03	0.404	0.476	0.12
G11551	0.484	0.406	0.11
G10783	0.556	0.392	0.052
G11351	0.358	0.288	0.354
G10640	0.498	0.424	0.078
NCSGCON17	0.432	0.42	0.148
G11070	0.338	0.582	0.08
G10020	0.39	0.444	0.166
G10862	0.398	0.418	0.184
G11461	0.254	0.32	0.426
G10998	0.316	0.606	0.078
G11516	0.478	0.422	0.1
G10322	0.29	0.24	0.47
G10665	0.366	0.584	0.05
G11139	0.39	0.514	0.096
G10923	0.342	0.482	0.176
G11015	0.352	0.56	0.088
G11547	0.614	0.276	0.11
NCSGCON12	0.442	0.376	0.182
G10972	0.256	0.692	0.052
CUGCON04	0.458	0.41	0.132
CUGCON02	0.402	0.436	0.162
NAUGCON11	0.364	0.508	0.128
G10174	0.55	0.322	0.128
G11571	0.546	0.39	0.064
G10815	0.474	0.346	0.18
G10356	0.334	0.426	0.24
G11540	0.542	0.368	0.09
G10630	0.226	0.694	0.08
G10891	0.674	0.256	0.07
G10944	0.336	0.562	0.102
G11128	0.298	0.618	0.084
G11189	0.312	0.628	0.06
G10018	0.228	0.268	0.504
G10681	0.302	0.664	0.034
G11440	0.392	0.352	0.256
G10949	0.334	0.46	0.206
G10166	0.502	0.4	0.098
G10905	0.482	0.448	0.07
G11367	0.264	0.404	0.332
G11188	0.284	0.654	0.062
G10631	0.472	0.444	0.084
G10101	0.588	0.28	0.132
G11520	0.488	0.396	0.116
NAUGCON06	0.456	0.408	0.136
G10367	0.382	0.212	0.406
G10975	0.234	0.686	0.08
G10635	0.226	0.644	0.13
NAUGCON10	0.446	0.446	0.108
G10116	0.48	0.41	0.11
G11207	0.244	0.602	0.154
G10877	0.468	0.492	0.04
G11143	0.254	0.58	0.166
G10603	0.352	0.538	0.11
G10929	0.294	0.55	0.156
G10664	0.228	0.672	0.1
G10460	0.28	0.66	0.06
G10842	0.23	0.56	0.21
G10691	0.39	0.494	0.116
G11146	0.232	0.598	0.17
G10417	0.224	0.638	0.138
G10014	0.318	0.496	0.186
G11214	0.222	0.66	0.118
G10338	0.25	0.476	0.274
G10733	0.602	0.332	0.066
G10865	0.304	0.512	0.184
G10489	0.246	0.658	0.096
G10785	0.682	0.284	0.034
G10910	0.376	0.512	0.112
G10409	0.336	0.482	0.182
G11203	0.336	0.618	0.046
G10677	0.232	0.56	0.208
G10878	0.326	0.428	0.246
G11514	0.68	0.266	0.054
G10466	0.256	0.578	0.166
G10744	0.6	0.276	0.124
G10662	0.312	0.57	0.118
G10511	0.69	0.256	0.054
G10428	0.316	0.578	0.106
G10602	0.27	0.636	0.094
G11159	0.36	0.582	0.058
G10476	0.278	0.626	0.096
G11224	0.298	0.558	0.144
G11034	0.418	0.438	0.144
G10786	0.702	0.242	0.056
G10444	0.3	0.558	0.142
G11415	0.36	0.384	0.256
G10325	0.312	0.348	0.34
G10892	0.708	0.236	0.056
G10897	0.472	0.406	0.122
G11258	0.28	0.606	0.114
G11152	0.23	0.572	0.198
G10753	0.632	0.226	0.142
G11585	0.416	0.412	0.172
G10825	0.622	0.25	0.128
G11319	0.312	0.326	0.362
G10995	0.346	0.494	0.16
G11403	0.344	0.416	0.24
G10801	0.43	0.422	0.148
G10157	0.51	0.374	0.116
G10776	0.674	0.276	0.05
G11504	0.65	0.276	0.074
G11179	0.344	0.578	0.078
G10538	0.616	0.318	0.066
G11280	0.46	0.47	0.07
G11419	0.268	0.496	0.236
G10492	0.18	0.748	0.072
G11110	0.192	0.74	0.068
G11202	0.272	0.6	0.128
G10702	0.628	0.316	0.056
G10473	0.328	0.574	0.098
G11008	0.298	0.652	0.05
G10496	0.408	0.468	0.124
