#SampleID	CU	NAU	NCS
G10810	0.436	0.484	0.08
G11228	0.274	0.576	0.15
G11226	0.322	0.63	0.048
G11545	0.534	0.346	0.12
G10663	0.312	0.528	0.16
G11532	0.564	0.376	0.06
G10121	0.506	0.344	0.15
G11460	0.296	0.492	0.212
G10654	0.318	0.594	0.088
G11193	0.24	0.642	0.118
G10799	0.712	0.214	0.074
G11524	0.684	0.236	0.08
G11140	0.352	0.606	0.042
G11555	0.428	0.318	0.254
G10600	0.152	0.772	0.076
G10820	0.65	0.278	0.072
G10774	0.452	0.468	0.08
G10197	0.616	0.25	0.134
G11298	0.196	0.648	0.156
G10419	0.372	0.458	0.17
G10637	0.274	0.572	0.154
G11582	0.47	0.48	0.05
G10462	0.304	0.614	0.082
G10705	0.432	0.472	0.096
G10818	0.682	0.242	0.076
G10104	0.51	0.428	0.062
G10914	0.368	0.554	0.078
G10980	0.364	0.55	0.086
G10406	0.198	0.664	0.138
G11124	0.3	0.63	0.07
G11546	0.686	0.254	0.06
G11123	0.382	0.564	0.054
G10389	0.47	0.402	0.128
G10353	0.44	0.314	0.246
G11407	0.366	0.47	0.164
G11528	0.574	0.372	0.054
G10161	0.576	0.332	0.092
G10771	0.444	0.444	0.112
G11598	0.632	0.282	0.086
G11242	0.308	0.596	0.096
G10808	0.292	0.548	0.16
G10880	0.462	0.38	0.158
G10392	0.312	0.366	0.322
G11129	0.284	0.526	0.19
G11424	0.444	0.37	0.186
G10358	0.274	0.482	0.244
G10402	0.264	0.612	0.124
G10754	0.43	0.482	0.088
G10954	0.402	0.47	0.128
G10176	0.502	0.394	0.104
G11496	0.264	0.316	0.42
G11206	0.246	0.628	0.126
G11168	0.222	0.634	0.144
G10831	0.414	0.436	0.15
G11428	0.17	0.284	0.546
G10139	0.378	0.4	0.222
G10330	0.222	0.246	0.532
G11433	0.314	0.376	0.31
G10899	0.424	0.368	0.208
G10336	0.268	0.184	0.548
G10888	0.5	0.318	0.182
G11278	0.198	0.664	0.138
G11485	0.276	0.212	0.512
G10989	0.188	0.726	0.086
G11436	0.35	0.454	0.196
G11004	0.238	0.692	0.07
G11125	0.326	0.45	0.224
G10796	0.528	0.386	0.086
G10399	0.332	0.482	0.186
G10007	0.298	0.306	0.396
G10868	0.342	0.498	0.16
G10136	0.51	0.426	0.064
G11565	0.322	0.49	0.188
G10671	0.33	0.542	0.128
G10471	0.33	0.548	0.122
G11506	0.55	0.266	0.184
G10313	0.326	0.4	0.274
G10441	0.262	0.66	0.078
G10992	0.174	0.748	0.078
G11413	0.362	0.36	0.278
G11336	0.376	0.452	0.172
G11169	0.234	0.602	0.164
G10764	0.462	0.404	0.134
G10927	0.316	0.556	0.128
G10190	0.566	0.354	0.08
G10617	0.432	0.372	0.196
G10575	0.462	0.39	0.148
G10812	0.282	0.554	0.164
G10634	0.354	0.568	0.078
G11505	0.426	0.416	0.158
G10760	0.62	0.248	0.132
G10784	0.382	0.53	0.088
G10609	0.356	0.506	0.138
G10693	0.278	0.63	0.092
G11322	0.258	0.36	0.382
G10757	0.496	0.352	0.152
G11167	0.208	0.7	0.092
G11175	0.412	0.448	0.14
G10709	0.376	0.444	0.18
G11186	0.238	0.654	0.108
G11569	0.648	0.232	0.12
G10714	0.596	0.288	0.116
G11019	0.386	0.534	0.08
G10996	0.218	0.7	0.082
G10721	0.59	0.324	0.086
G11010	0.384	0.444	0.172
G10657	0.244	0.628	0.128
G10965	0.218	0.598	0.184
G11529	0.508	0.394	0.098
G10737	0.542	0.366	0.092
G10147	0.662	0.264	0.074
G10198	0.576	0.382	0.042
G10103	0.548	0.288	0.164
G10828	0.412	0.446	0.142
G11458	0.274	0.384	0.342
G10309	0.288	0.288	0.424
G10599	0.456	0.386	0.158
G10974	0.31	0.536	0.154
G10173	0.342	0.516	0.142
G10002	0.254	0.598	0.148
G11267	0.276	0.674	0.05
G10780	0.452	0.43	0.118
G10968	0.368	0.51	0.122
G10993	0.226	0.676	0.098
G10162	0.506	0.388	0.106
G11408	0.25	0.436	0.314
G11197	0.394	0.486	0.12
G11490	0.372	0.39	0.238
G11065	0.372	0.55	0.078
G11158	0.442	0.402	0.156
G11154	0.166	0.706	0.128
G10861	0.384	0.504	0.112
G11491	0.382	0.412	0.206
G11170	0.216	0.71	0.074
G10107	0.59	0.248	0.162
G11234	0.256	0.66	0.084
G10605	0.322	0.518	0.16
G11394	0.29	0.502	0.208
G11457	0.248	0.488	0.264
G10871	0.368	0.458	0.174
G10795	0.606	0.31	0.084
G10193	0.404	0.536	0.06
G11260	0.26	0.654	0.086
G10628	0.328	0.55	0.122
G10606	0.246	0.666	0.088
G10195	0.452	0.448	0.1
G11150	0.192	0.666	0.142
G11361	0.336	0.492	0.172
G11047	0.29	0.574	0.136
G11223	0.302	0.606	0.092
G11370	0.308	0.31	0.382
G10997	0.236	0.658	0.106
G10874	0.68	0.24	0.08
G11323	0.378	0.396	0.226
G10856	0.368	0.498	0.134
G11151	0.174	0.688	0.138
G11580	0.498	0.426	0.076
G10945	0.212	0.674	0.114
G10022	0.352	0.502	0.146
G10684	0.334	0.568	0.098
G11568	0.44	0.34	0.22
G10526	0.706	0.23	0.064
G10340	0.366	0.43	0.204
G11191	0.194	0.672	0.134
G11561	0.576	0.356	0.068
G10167	0.314	0.538	0.148
G10184	0.658	0.286	0.056
G10435	0.424	0.456	0.12
G11199	0.194	0.692	0.114
G10840	0.47	0.454	0.076
G10745	0.422	0.452	0.126
G10119	0.466	0.398	0.136
G11194	0.218	0.624	0.158
G10966	0.608	0.246	0.146
G10187	0.442	0.46	0.098
G10113	0.686	0.236	0.078
G10472	0.348	0.59	0.062
G10021	0.428	0.406	0.166
G10749	0.736	0.202	0.062
G10497	0.282	0.64	0.078
G10484	0.324	0.572	0.104
G10034	0.306	0.506	0.188
G10756	0.542	0.334	0.124
G10846	0.61	0.286	0.104
G10494	0.288	0.62	0.092
G11352	0.258	0.436	0.306
G10615	0.388	0.554	0.058
G11183	0.332	0.576	0.092
G11549	0.544	0.362	0.094
G10180	0.524	0.328	0.148
G10651	0.412	0.476	0.112
G10809	0.496	0.402	0.102
G10191	0.502	0.402	0.096
G10779	0.596	0.3	0.104
G10669	0.392	0.546	0.062
G10412	0.226	0.716	0.058
G11508	0.528	0.346	0.126
G11423	0.428	0.408	0.164
G10941	0.228	0.71	0.062
G10137	0.49	0.462	0.048
G10647	0.336	0.564	0.1
G10400	0.276	0.654	0.07
G10787	0.518	0.306	0.176
G11510	0.662	0.284	0.054
G11482	0.434	0.448	0.118
G11030	0.366	0.496	0.138
G11477	0.378	0.234	0.388
G10752	0.706	0.236	0.058
G10959	0.332	0.52	0.148
G10735	0.724	0.236	0.04
G10682	0.384	0.55	0.066
G11599	0.398	0.472	0.13
G10981	0.362	0.582	0.056
G10416	0.368	0.546	0.086
G10192	0.6	0.264	0.136
G10000	0.432	0.448	0.12
G11581	0.582	0.354	0.064
G10643	0.31	0.514	0.176
G11344	0.314	0.416	0.27
G10680	0.252	0.688	0.06
G11548	0.8	0.148	0.052
G11120	0.342	0.464	0.194
G10853	0.714	0.242	0.044
G11230	0.212	0.718	0.07
G10819	0.582	0.29	0.128
G11552	0.646	0.27	0.084
G11023	0.342	0.584	0.074
G10670	0.3	0.628	0.072
G11090	0.344	0.53	0.126
G11501	0.678	0.222	0.1
G10614	0.32	0.56	0.12
G10387	0.354	0.344	0.302
G10700	0.334	0.5	0.166
G10156	0.672	0.246	0.082
G10967	0.508	0.354	0.138
G11494	0.306	0.29	0.404
G10026	0.354	0.388	0.258
G10940	0.334	0.646	0.02
G10448	0.36	0.502	0.138
G10935	0.582	0.332	0.086
G10889	0.592	0.314	0.094
G11563	0.504	0.41	0.086
G10769	0.486	0.332	0.182
G11456	0.278	0.374	0.348
G11489	0.462	0.312	0.226
G10987	0.316	0.646	0.038
G10676	0.42	0.536	0.044
G10903	0.296	0.554	0.15
G10911	0.412	0.464	0.124
G10917	0.438	0.474	0.088
G11522	0.466	0.48	0.054
G10163	0.54	0.4	0.06
G10621	0.32	0.564	0.116
G11239	0.22	0.714	0.066
G10922	0.248	0.698	0.054
G11553	0.674	0.282	0.044
G10632	0.126	0.792	0.082
G10425	0.454	0.468	0.078
G10960	0.304	0.582	0.114
G10704	0.492	0.376	0.132
G10128	0.45	0.396	0.154
G10373	0.274	0.284	0.442
G10126	0.514	0.372	0.114
G10707	0.546	0.398	0.056
G10458	0.27	0.606	0.124
G10921	0.35	0.52	0.13
G11045	0.372	0.502	0.126
G11210	0.272	0.638	0.09
G10175	0.63	0.24	0.13
G10976	0.252	0.54	0.208
G11426	0.284	0.66	0.056
G10836	0.656	0.266	0.078
G10485	0.356	0.576	0.068
G10827	0.544	0.348	0.108
G11349	0.294	0.398	0.308
G10696	0.28	0.65	0.07
G10329	0.314	0.208	0.478
G10145	0.554	0.37	0.076
G10763	0.612	0.304	0.084
G10459	0.358	0.552	0.09
G10642	0.222	0.572	0.206
G11163	0.396	0.5	0.104
G10939	0.272	0.608	0.12
G10833	0.46	0.382	0.158
G10962	0.39	0.546	0.064
G11269	0.368	0.578	0.054
G10153	0.552	0.36	0.088
G11005	0.396	0.448	0.156
G10619	0.308	0.586	0.106
G10612	0.29	0.628	0.082
G11227	0.294	0.528	0.178
G11131	0.22	0.714	0.066
G10675	0.356	0.606	0.038
G11222	0.254	0.624	0.122
G11517	0.616	0.308	0.076
G11007	0.176	0.746	0.078
G10649	0.424	0.514	0.062
G10741	0.572	0.344	0.084
G10498	0.298	0.662	0.04
G11325	0.398	0.268	0.334
G11311	0.468	0.332	0.2
G10426	0.304	0.498	0.198
G10316	0.3	0.484	0.216
G11176	0.338	0.568	0.094
G10867	0.428	0.482	0.09
G11328	0.322	0.546	0.132
G10151	0.578	0.318	0.104
G11118	0.422	0.462	0.116
G11309	0.28	0.42	0.3
G10950	0.228	0.68	0.092
G11217	0.272	0.57	0.158
G10936	0.21	0.636	0.154
G11348	0.238	0.468	0.294
G10449	0.318	0.528	0.154
G11006	0.384	0.522	0.094
G10841	0.344	0.626	0.03
G11312	0.256	0.44	0.304
G11296	0.25	0.664	0.086
G10852	0.476	0.412	0.112
G10456	0.262	0.612	0.126
G10152	0.514	0.388	0.098
G11559	0.352	0.352	0.296
G11371	0.228	0.518	0.254
G11487	0.394	0.38	0.226
G10332	0.38	0.47	0.15
G10012	0.352	0.442	0.206
G10890	0.532	0.266	0.202
G10311	0.36	0.494	0.146
G11148	0.23	0.676	0.094
G11523	0.424	0.428	0.148
G10168	0.45	0.332	0.218
G11080	0.248	0.63	0.122
G10830	0.398	0.418	0.184
G11001	0.196	0.698	0.106
G11389	0.33	0.464	0.206
G11542	0.412	0.422	0.166
G11153	0.228	0.65	0.122
G11117	0.264	0.668	0.068
G10659	0.362	0.492	0.146
G10983	0.25	0.668	0.082
G11166	0.274	0.592	0.134
G10625	0.348	0.57	0.082
G10750	0.596	0.346	0.058
G11530	0.64	0.262	0.098
G11573	0.452	0.432	0.116
G10542	0.614	0.302	0.084
G11063	0.372	0.56	0.068
G10698	0.24	0.608	0.152
G11164	0.27	0.592	0.138
G10743	0.504	0.418	0.078
G10132	0.562	0.37	0.068
G10843	0.436	0.438	0.126
G10906	0.236	0.604	0.16
G11162	0.306	0.626	0.068
G10697	0.244	0.624	0.132
G10182	0.638	0.266	0.096
G11307	0.4	0.278	0.322
G10847	0.442	0.458	0.1
G10742	0.594	0.304	0.102
G10032	0.226	0.72	0.054
G11211	0.194	0.728	0.078
G10618	0.364	0.536	0.1
G11544	0.276	0.62	0.104
G11027	0.278	0.52	0.202
G11276	0.176	0.734	0.09
G10470	0.172	0.746	0.082
G10380	0.456	0.362	0.182
G10715	0.532	0.362	0.106
G11097	0.268	0.61	0.122
G11108	0.25	0.642	0.108
G11418	0.28	0.39	0.33
G10978	0.314	0.596	0.09
G11286	0.258	0.652	0.09
G11570	0.42	0.436	0.144
G10692	0.272	0.598	0.13
G11236	0.274	0.61	0.116
G11500	0.578	0.344	0.078
G10850	0.364	0.474	0.162
G10822	0.694	0.212	0.094
G10433	0.254	0.608	0.138
G10879	0.38	0.438	0.182
G10955	0.292	0.582	0.126
G11379	0.286	0.568	0.146
G10650	0.21	0.748	0.042
G10408	0.174	0.76	0.066
G10751	0.456	0.39	0.154
G10765	0.644	0.266	0.09
G10854	0.22	0.594	0.186
G10165	0.636	0.254	0.11
G10601	0.354	0.582	0.064
G11557	0.414	0.486	0.1
G10937	0.33	0.58	0.09
G11171	0.228	0.716	0.056
G11480	0.378	0.396	0.226
G10436	0.344	0.542	0.114
G11411	0.472	0.406	0.122
G10477	0.312	0.582	0.106
G10656	0.272	0.66	0.068
G10658	0.302	0.628	0.07
G11518	0.476	0.38	0.144
G10928	0.346	0.56	0.094
G10695	0.252	0.638	0.11
G10135	0.524	0.392	0.084
G10824	0.522	0.414	0.064
G10023	0.434	0.44	0.126
G11554	0.706	0.246	0.048
G11104	0.284	0.64	0.076
G10386	0.438	0.39	0.172
G10142	0.502	0.256	0.242
G10913	0.352	0.576	0.072
G10629	0.282	0.616	0.102
G10703	0.666	0.238	0.096
G10181	0.492	0.398	0.11
G10430	0.246	0.646	0.108
G11101	0.306	0.624	0.07
G10364	0.412	0.306	0.282
G10469	0.228	0.682	0.09
G11498	0.264	0.296	0.44
G10407	0.208	0.714	0.078
G11000	0.22	0.666	0.114
G11003	0.336	0.546	0.118
G10143	0.704	0.216	0.08
G10859	0.516	0.4	0.084
G11132	0.264	0.644	0.092
G11550	0.52	0.406	0.074
G10952	0.562	0.344	0.094
G10608	0.168	0.756	0.076
G10108	0.512	0.43	0.058
G11512	0.648	0.288	0.064
G11208	0.388	0.53	0.082
G11198	0.344	0.55	0.106
G11138	0.32	0.598	0.082
G11013	0.246	0.664	0.09
G11018	0.24	0.684	0.076
G11574	0.328	0.638	0.034
G11368	0.346	0.4	0.254
G10732	0.556	0.382	0.062
G10420	0.194	0.756	0.05
G10722	0.582	0.332	0.086
G10523	0.612	0.312	0.076
G11503	0.48	0.446	0.074
G10713	0.674	0.222	0.104
G11353	0.366	0.492	0.142
G11597	0.66	0.288	0.052
G11016	0.338	0.572	0.09
G10855	0.57	0.374	0.056
G10800	0.658	0.264	0.078
G11187	0.372	0.526	0.102
G10791	0.666	0.272	0.062
G11116	0.276	0.614	0.11
G10500	0.512	0.374	0.114
G11229	0.192	0.786	0.022
G10185	0.566	0.328	0.106
G10129	0.458	0.38	0.162
G11012	0.368	0.55	0.082
G11020	0.384	0.49	0.126
G10438	0.32	0.568	0.112
G10773	0.624	0.326	0.05
G11462	0.18	0.394	0.426
G10158	0.556	0.36	0.084
G10661	0.432	0.508	0.06
G11285	0.31	0.658	0.032
G10573	0.63	0.328	0.042
G10413	0.23	0.72	0.05
G10718	0.622	0.284	0.094
G11002	0.394	0.548	0.058
G10768	0.44	0.464	0.096
G10155	0.524	0.398	0.078
G11079	0.356	0.556	0.088
G11216	0.342	0.564	0.094
G11447	0.486	0.426	0.088
G10660	0.212	0.552	0.236
G10761	0.496	0.426	0.078
G10755	0.542	0.314	0.144
G10611	0.32	0.606	0.074
G10924	0.294	0.634	0.072
G11141	0.4	0.536	0.064
G10368	0.258	0.436	0.306
G10986	0.274	0.672	0.054
G10127	0.532	0.374	0.094
G10898	0.648	0.26	0.092
G10146	0.656	0.262	0.082
G10610	0.342	0.61	0.048
G11448	0.376	0.38	0.244
G10171	0.628	0.306	0.066
G11144	0.256	0.668	0.076
G11255	0.306	0.654	0.04
G11533	0.7	0.23	0.07
G10872	0.46	0.474	0.066
G10359	0.392	0.422	0.186
G10123	0.458	0.418	0.124
G10907	0.292	0.638	0.07
G10581	0.56	0.38	0.06
G10531	0.612	0.332	0.056
G10885	0.538	0.336	0.126
G10394	0.47	0.448	0.082
G10031	0.494	0.388	0.118
G10179	0.556	0.336	0.108
G10105	0.556	0.324	0.12
G10793	0.48	0.444	0.076
G10666	0.376	0.542	0.082
G10558	0.55	0.408	0.042
G10724	0.436	0.452	0.112
G11589	0.542	0.368	0.09
G11127	0.34	0.588	0.072
G11215	0.256	0.666	0.078
G10144	0.544	0.376	0.08
G10138	0.568	0.368	0.064
G11558	0.618	0.316	0.066
G10720	0.468	0.458	0.074
G10685	0.442	0.484	0.074
G10140	0.566	0.342	0.092
G11330	0.352	0.516	0.132
G11182	0.132	0.828	0.04
G11556	0.614	0.33	0.056
G10931	0.304	0.602	0.094
G10778	0.644	0.264	0.092
G10991	0.25	0.688	0.062
G10725	0.668	0.278	0.054
G10442	0.392	0.538	0.07
G10351	0.238	0.296	0.466
G10706	0.586	0.328	0.086
G10478	0.342	0.604	0.054
G11572	0.562	0.318	0.12
G11511	0.608	0.318	0.074
G10759	0.626	0.296	0.078
G11417	0.228	0.344	0.428
G10730	0.576	0.348	0.076
G11306	0.29	0.41	0.3
G11081	0.274	0.648	0.078
G10595	0.694	0.248	0.058
G10934	0.222	0.718	0.06
G10990	0.284	0.59	0.126
G10838	0.662	0.254	0.084
G10404	0.342	0.614	0.044
G10782	0.384	0.53	0.086
G11527	0.69	0.256	0.054
G11292	0.306	0.626	0.068
G10482	0.272	0.69	0.038
G10694	0.326	0.568	0.106
G11283	0.28	0.576	0.144
G11009	0.362	0.544	0.094
G10797	0.602	0.322	0.076
G10082	0.302	0.23	0.468
G11161	0.312	0.582	0.106
G11564	0.568	0.348	0.084
G10199	0.694	0.244	0.062
G10690	0.314	0.576	0.11
G10125	0.538	0.372	0.09
G10964	0.402	0.488	0.11
G11584	0.554	0.38	0.066
G10483	0.256	0.726	0.018
G10490	0.216	0.742	0.042
G11052	0.262	0.598	0.14
G10415	0.26	0.7	0.04
G10875	0.618	0.338	0.044
G10881	0.654	0.29	0.056
G10447	0.34	0.622	0.038
G10431	0.316	0.578	0.106
G11590	0.55	0.4	0.05
G11084	0.244	0.71	0.046
G11212	0.37	0.502	0.128
G11596	0.734	0.218	0.048
G11195	0.31	0.598	0.092
G10149	0.55	0.388	0.062
G10728	0.652	0.278	0.07
G10994	0.434	0.5	0.066
NCSGCON15	0.452	0.428	0.12
G11149	0.432	0.462	0.106
G10148	0.584	0.302	0.114
G10455	0.356	0.536	0.108
G10646	0.282	0.676	0.042
G11137	0.29	0.664	0.046
G10951	0.32	0.59	0.09
G10806	0.656	0.258	0.086
G10961	0.334	0.608	0.058
G10738	0.628	0.294	0.078
G10977	0.444	0.492	0.064
G11535	0.68	0.252	0.068
G11100	0.43	0.49	0.08
G10863	0.46	0.448	0.092
G11225	0.324	0.588	0.088
G10100	0.76	0.182	0.058
G10916	0.36	0.548	0.092
G10638	0.364	0.54	0.096
G10845	0.63	0.28	0.09
G10639	0.348	0.6	0.052
G10177	0.544	0.38	0.076
G10823	0.504	0.382	0.114
G10849	0.522	0.412	0.066
G10189	0.64	0.288	0.072
G10710	0.632	0.32	0.048
NCSGCON14	0.39	0.416	0.194
G11409	0.434	0.332	0.234
G11583	0.6	0.312	0.088
G10804	0.582	0.378	0.04
G10636	0.408	0.558	0.034
G10423	0.306	0.676	0.018
G10349	0.33	0.336	0.334
